2019-12-23 17:51:44:247, no_human
2019-12-23 17:51:44:257, no_human
2019-12-23 17:51:44:487, no_human
2019-12-23 17:51:44:552, no_human
2019-12-23 17:51:44:569, no_human
2019-12-23 17:51:44:586, no_human
2019-12-23 17:51:44:602, no_human
2019-12-23 17:51:44:619, no_human
2019-12-23 17:51:44:636, no_human
2019-12-23 17:51:44:653, no_human
2019-12-23 17:51:44:670, no_human
2019-12-23 17:51:44:687, no_human
2019-12-23 17:51:44:704, no_human
2019-12-23 17:51:44:744, no_human
2019-12-23 17:51:44:752, no_human
2019-12-23 17:51:44:776, no_human
2019-12-23 17:51:44:785, no_human
2019-12-23 17:51:44:811, no_human
2019-12-23 17:51:44:818, no_human
2019-12-23 17:51:44:834, no_human
2019-12-23 17:51:44:851, no_human
2019-12-23 17:51:44:890, no_human
2019-12-23 17:51:44:922, no_human
2019-12-23 17:51:44:955, no_human
2019-12-23 17:51:44:985, no_human
2019-12-23 17:51:45:011, no_human
2019-12-23 17:51:45:018, no_human
2019-12-23 17:51:45:052, no_human
2019-12-23 17:51:45:077, no_human
2019-12-23 17:51:45:083, no_human
2019-12-23 17:51:45:120, no_human
2019-12-23 17:51:45:150, no_human
2019-12-23 17:51:45:177, no_human
2019-12-23 17:51:45:184, no_human
2019-12-23 17:51:45:221, no_human
2019-12-23 17:51:45:246, no_human
2019-12-23 17:51:45:276, no_human
2019-12-23 17:51:45:283, no_human
2019-12-23 17:51:45:320, no_human
2019-12-23 17:51:45:346, no_human
2019-12-23 17:51:45:356, no_human
2019-12-23 17:51:45:393, no_human
2019-12-23 17:51:45:425, no_human
2019-12-23 17:51:45:458, no_human
2019-12-23 17:51:45:491, no_human
2019-12-23 17:51:45:520, no_human
2019-12-23 17:51:45:568,1.424452,1.6786682.786003
2019-12-23 17:51:45:607,1.429225,1.6791882.78524
2019-12-23 17:51:45:645,1.434564,1.6786732.783112
2019-12-23 17:51:45:680,1.442629,1.6774972.780008
2019-12-23 17:51:45:714,1.447295,1.6749522.778253
2019-12-23 17:51:45:753,1.452579,1.6743112.775687
2019-12-23 17:51:45:794,1.459002,1.6722012.7709
2019-12-23 17:51:45:837,1.464349,1.6698642.768434
2019-12-23 17:51:45:886,1.4694,1.6689782.763465
2019-12-23 17:51:45:927,1.472041,1.668362.760131
2019-12-23 17:51:45:968,1.473444,1.6675372.757328
2019-12-23 17:51:46:009,1.473857,1.6661352.748428
2019-12-23 17:51:46:052,1.473035,1.6653422.746111
2019-12-23 17:51:46:106,1.471594,1.6638042.744555
2019-12-23 17:51:46:156,1.462556,1.6624522.738022
2019-12-23 17:51:46:197,1.456158,1.6634022.73566
2019-12-23 17:51:46:244,1.440434,1.6646562.735056
2019-12-23 17:51:46:295,1.432576,1.6653232.734577
2019-12-23 17:51:46:355,1.40996,1.6674172.735692
2019-12-23 17:51:46:395,1.398303,1.6686482.736425
2019-12-23 17:51:46:444,1.371497,1.6670512.741413
2019-12-23 17:51:46:485,1.357866,1.6663922.743127
2019-12-23 17:51:46:524,1.343365,1.6667462.746738
2019-12-23 17:51:46:559,1.332076,1.6661762.750215
2019-12-23 17:51:46:591,1.316676,1.6637712.751922
2019-12-23 17:51:46:625,1.305242,1.6616052.755064
2019-12-23 17:51:46:659,1.295458,1.6590362.758933
2019-12-23 17:51:46:693,1.282988,1.6533282.764687
2019-12-23 17:51:46:728,1.272684,1.6489852.767135
2019-12-23 17:51:46:761,1.266723,1.6466942.768857
