2019-12-23 17:51:44:247, no_human
2019-12-23 17:51:44:257, no_human
2019-12-23 17:51:44:487, no_human
2019-12-23 17:51:44:552, no_human
2019-12-23 17:51:44:569, no_human
2019-12-23 17:51:44:586, no_human
2019-12-23 17:51:44:602, no_human
2019-12-23 17:51:44:619, no_human
2019-12-23 17:51:44:636, no_human
2019-12-23 17:51:44:653, no_human
2019-12-23 17:51:44:670, no_human
2019-12-23 17:51:44:687, no_human
2019-12-23 17:51:44:704, no_human
2019-12-23 17:51:44:744, no_human
2019-12-23 17:51:44:752, no_human
2019-12-23 17:51:44:776, no_human
2019-12-23 17:51:44:785, no_human
2019-12-23 17:51:44:811, no_human
2019-12-23 17:51:44:818, no_human
2019-12-23 17:51:44:834, no_human
2019-12-23 17:51:44:851, no_human
2019-12-23 17:51:44:890, no_human
2019-12-23 17:51:44:922, no_human
2019-12-23 17:51:44:955, no_human
2019-12-23 17:51:44:985, no_human
2019-12-23 17:51:45:011, no_human
2019-12-23 17:51:45:018, no_human
2019-12-23 17:51:45:052, no_human
2019-12-23 17:51:45:077, no_human
2019-12-23 17:51:45:083, no_human
2019-12-23 17:51:45:120, no_human
2019-12-23 17:51:45:150, no_human
2019-12-23 17:51:45:177, no_human
2019-12-23 17:51:45:184, no_human
2019-12-23 17:51:45:221, no_human
2019-12-23 17:51:45:246, no_human
2019-12-23 17:51:45:276, no_human
2019-12-23 17:51:45:283, no_human
2019-12-23 17:51:45:320, no_human
2019-12-23 17:51:45:346, no_human
2019-12-23 17:51:45:356, no_human
2019-12-23 17:51:45:393, no_human
2019-12-23 17:51:45:425, no_human
2019-12-23 17:51:45:458, no_human
2019-12-23 17:51:45:491, no_human
2019-12-23 17:51:45:520, no_human
2019-12-23 17:51:45:568,1.345935,0.9630323,2.4958,1.369379,1.262453,2.509265,1.386529,1.554036,2.511901,1.424452,1.678668,2.466003,1.217402,1.449394,2.504484,1.082377,1.17983,2.513014,1.062863,0.9643393,2.451809,1.070839,0.9409053,2.459152,1.544054,1.404734,2.543265,1.605621,1.19572,2.582826,1.574984,0.9084179,2.502257,1.54678,0.8456599,2.500558,1.254443,0.9748204,2.457952,1.232974,0.6052042,2.392959,1.312887,0.1062221,2.447757,1.320094,0.09243107,2.311668,1.402898,0.9547601,2.469746,1.439962,0.5911639,2.393777,1.211708,0.3636951,2.295875,1.27525,0.2895579,2.319982,1.383377,1.482212,2.513229,1.099989,0.8620193,2.46109,1.101163,0.9379078,2.427793,1.532776,0.7957876,2.492263,1.513824,1.064454,2.469611
2019-12-23 17:51:45:607,1.362207,0.961275,2.500607,1.377957,1.262628,2.510982,1.390607,1.555051,2.512136,1.429225,1.679188,2.46524,1.223167,1.450806,2.50654,1.087725,1.182064,2.525093,1.065862,0.9603429,2.487715,1.077664,0.9485596,2.488473,1.549098,1.404226,2.539877,1.623723,1.189174,2.588363,1.61054,0.9443799,2.529142,1.594907,0.9091622,2.524307,1.270915,0.9735376,2.465354,1.222307,0.6092303,2.387141,1.465528,0.3252823,2.443466,1.411087,0.2696102,2.397894,1.418947,0.9525529,2.472256,1.428622,0.5892817,2.390124,1.214362,0.3716466,2.284863,1.229232,0.4093789,2.17658,1.388271,1.483103,2.513691,1.085078,0.8821542,2.485651,1.120838,0.9308068,2.460278,1.568556,0.8651832,2.510045,1.544653,1.088983,2.477143
2019-12-23 17:51:45:645,1.36083,0.9620302,2.500093,1.379142,1.262783,2.510853,1.398299,1.554645,2.511985,1.434564,1.678673,2.463112,1.229056,1.451426,2.507819,1.092468,1.184858,2.536869,1.065654,0.962935,2.491921,1.081293,0.9480276,2.500848,1.554425,1.403877,2.536131,1.635158,1.186169,2.59691,1.620077,0.9587067,2.537867,1.601312,0.905201,2.530597,1.269354,0.9744648,2.465626,1.224893,0.6117271,2.387801,1.466786,0.3206374,2.443042,1.412747,0.2668172,2.400235,1.417379,0.9532897,2.470629,1.317988,0.6074284,2.347646,1.213519,0.2365189,2.260414,1.210827,0.2488553,2.142877,1.394005,1.482895,2.513562,1.099312,0.9060615,2.491697,1.120534,0.9359652,2.46975,1.553994,0.8499584,2.505265,1.566131,1.117315,2.49
2019-12-23 17:51:45:680,1.363265,0.964175,2.500574,1.385536,1.263551,2.511322,1.405467,1.553544,2.511829,1.442629,1.677497,2.460008,1.23545,1.451854,2.510884,1.097183,1.187637,2.545495,1.068708,0.9648443,2.501074,1.082378,0.9549177,2.511513,1.56914,1.404457,2.536623,1.643947,1.186207,2.601903,1.664902,0.9649746,2.552594,1.621414,0.9161544,2.543006,1.271733,0.9765792,2.466825,1.224469,0.6119696,2.387089,1.466673,0.3194675,2.443113,1.412888,0.2666045,2.399652,1.419987,0.9554492,2.470525,1.435269,0.5939746,2.376765,1.20835,0.3228453,2.277277,1.197842,0.3249015,2.30327,1.401423,1.482202,2.513613,1.089955,0.8911216,2.507755,1.122249,0.9395009,2.474889,1.591874,0.8693179,2.53172,1.558355,1.084061,2.4825
2019-12-23 17:51:45:714,1.362367,0.9633216,2.499709,1.387101,1.262967,2.510689,1.411729,1.553611,2.511051,1.447295,1.674952,2.458253,1.241147,1.4515,2.512637,1.100515,1.189741,2.551781,1.071856,0.9652363,2.513737,1.084381,0.956524,2.521155,1.568557,1.4048,2.533099,1.650061,1.188537,2.605814,1.633304,0.9718259,2.528718,1.629061,0.9198059,2.549821,1.270747,0.9757686,2.46631,1.225919,0.6106991,2.386879,1.466682,0.3175161,2.443595,1.412185,0.2645124,2.398001,1.419157,0.9544901,2.46922,1.437272,0.5929139,2.376406,1.207754,0.3327892,2.279686,1.20615,0.3280253,2.323305,1.406302,1.481976,2.512849,1.094909,0.8952267,2.518656,1.125671,0.9376308,2.47905,1.599993,0.8753057,2.542719,1.582344,1.102036,2.5035
2019-12-23 17:51:45:753,1.360891,0.9630019,2.498289,1.388452,1.262528,2.509753,1.41661,1.552947,2.509985,1.452579,1.674311,2.455687,1.245037,1.452288,2.513026,1.104316,1.192271,2.556955,1.075707,0.9666074,2.519791,1.090515,0.9566151,2.527172,1.569736,1.404513,2.530972,1.661387,1.188502,2.614238,1.623994,0.9776846,2.523116,1.627245,0.9320829,2.536691,1.269541,0.9757014,2.466075,1.25819,0.6106381,2.381737,1.466528,0.3122548,2.440655,1.41062,0.2598201,2.397587,1.417244,0.9536961,2.465674,1.347946,0.5998938,2.342678,1.21016,0.1974427,2.250259,1.218856,0.2450381,2.141045,1.410287,1.481362,2.511773,1.126034,0.880753,2.501585,1.127838,0.9492406,2.483091,1.575607,0.8933426,2.492711,1.573858,1.11041,2.4844
2019-12-23 17:51:45:794,1.36263,0.9606322,2.498808,1.3935,1.259834,2.508965,1.421999,1.551251,2.507831,1.459002,1.672201,2.4509,1.250069,1.452691,2.513336,1.107464,1.193121,2.560207,1.081871,0.9660175,2.525157,1.096382,0.958874,2.530455,1.57363,1.404653,2.528714,1.664545,1.188673,2.615686,1.503708,1.033283,2.392934,1.444152,0.9879156,2.373486,1.271146,0.9733232,2.467433,1.262477,0.6087152,2.380369,1.465968,0.310738,2.44027,1.41152,0.2603567,2.389655,1.419258,0.951244,2.465655,1.35911,0.5955072,2.345882,1.20947,0.3179804,2.282816,1.20725,0.3222878,2.318021,1.415825,1.479402,2.509983,1.097709,0.8964979,2.525563,1.135969,0.9378273,2.487632,1.406407,0.9403392,2.350226,1.386737,1.253265,2.346095
2019-12-23 17:51:45:837,1.365885,0.9556942,2.499063,1.397897,1.256939,2.508032,1.425918,1.550235,2.506077,1.464349,1.669864,2.448434,1.255058,1.452967,2.513568,1.113912,1.194643,2.564766,1.085397,0.9672525,2.529103,1.100218,0.9620157,2.533565,1.577356,1.404119,2.527235,1.66788,1.190095,2.617396,1.503716,1.036032,2.393893,1.472306,0.9934653,2.380809,1.274121,0.9688619,2.468473,1.277483,0.6059474,2.378446,1.465232,0.3142812,2.439521,1.412172,0.2653821,2.386707,1.422741,0.9459984,2.465313,1.352643,0.5929121,2.342999,1.210668,0.1954884,2.259291,1.21403,0.2408553,2.147426,1.419917,1.477973,2.508456,1.106889,0.8939402,2.531247,1.137195,0.9416623,2.4895,1.432786,0.9251636,2.358211,1.412726,1.246095,2.354826
2019-12-23 17:51:45:886,1.368507,0.9566008,2.500266,1.403243,1.257215,2.507112,1.433968,1.549477,2.501894,1.4694,1.668978,2.443465,1.26215,1.454012,2.512491,1.119124,1.194811,2.568692,1.089254,0.9661424,2.53387,1.101924,0.9606897,2.538132,1.583774,1.403009,2.521065,1.67289,1.190002,2.619959,1.522905,1.035865,2.404783,1.483042,0.9944999,2.382534,1.277013,0.9688053,2.469378,1.28414,0.6073154,2.377935,1.456864,0.306112,2.432945,1.411929,0.2608166,2.376874,1.425318,0.9481899,2.467163,1.426957,0.5916407,2.351224,1.240887,0.3731838,2.304938,1.226424,0.4071537,2.190267,1.427328,1.477518,2.505236,1.105076,0.9009248,2.538502,1.140377,0.9441435,2.497143,1.452488,0.920146,2.369752,1.428931,1.232123,2.353423
2019-12-23 17:51:45:927,1.369868,0.9576174,2.501114,1.405118,1.258039,2.506396,1.436176,1.55035,2.499275,1.472041,1.66836,2.440131,1.264574,1.454638,2.511955,1.120562,1.195579,2.569638,1.090759,0.9661778,2.535917,1.100178,0.9645101,2.543173,1.586388,1.40445,2.516765,1.674332,1.189695,2.61879,1.521651,1.035011,2.403616,1.481187,0.9951842,2.384291,1.278352,0.9692742,2.470437,1.287749,0.6086422,2.376394,1.456058,0.30391,2.431945,1.410154,0.2620971,2.37587,1.426688,0.9498258,2.467848,1.426793,0.5934713,2.351851,1.24567,0.38666,2.308672,1.22814,0.4071225,2.191829,1.429487,1.47837,2.503159,1.101371,0.9038409,2.537195,1.140684,0.9500178,2.501063,1.439633,0.9216564,2.364026,1.421228,1.237783,2.352234
2019-12-23 17:51:45:968,1.370139,0.9573986,2.501406,1.405788,1.25775,2.506276,1.436947,1.550055,2.498823,1.473444,1.667537,2.437328,1.267688,1.455372,2.511479,1.123006,1.198668,2.574471,1.092082,0.968987,2.539819,1.101207,0.9658329,2.545585,1.58945,1.404,2.514854,1.677403,1.189319,2.616314,1.522228,1.037186,2.404265,1.478064,0.9952163,2.383096,1.278911,0.969243,2.47162,1.290314,0.6091157,2.376927,1.455498,0.3020726,2.431682,1.412038,0.2612172,2.374874,1.426881,0.9493533,2.467732,1.428587,0.5931354,2.35264,1.237623,0.3796028,2.308355,1.250977,0.3236328,2.267578,1.430264,1.478066,2.50277,1.104333,0.9037598,2.533689,1.141057,0.949012,2.50375,1.433054,0.9224819,2.363152,1.420837,1.239298,2.35303
2019-12-23 17:51:46:009,1.372348,0.9568613,2.502525,1.407676,1.257148,2.505742,1.438174,1.549305,2.496954,1.473857,1.666135,2.428428,1.270408,1.456494,2.51045,1.122697,1.206928,2.579889,1.089683,0.9766942,2.546379,1.108472,0.9561692,2.545287,1.59492,1.402981,2.508165,1.680638,1.189021,2.609705,1.523818,1.0391,2.404793,1.475778,0.9948366,2.381019,1.281676,0.9691533,2.475172,1.290316,0.6099269,2.374246,1.454511,0.2941769,2.433131,1.413431,0.258958,2.368298,1.428872,0.9483516,2.467235,1.429451,0.5913959,2.355544,1.205713,0.3533825,2.295968,1.205589,0.3188788,2.287666,1.431678,1.477363,2.501251,1.131121,0.9171219,2.536007,1.132457,0.9671714,2.504267,1.43238,0.9252794,2.360376,1.418777,1.239317,2.353228
2019-12-23 17:51:46:052,1.372475,0.9571953,2.502873,1.407884,1.257172,2.505606,1.438541,1.548998,2.496138,1.473035,1.665342,2.426111,1.270422,1.45652,2.51044,1.122647,1.20931,2.583065,1.086765,0.9793794,2.548071,1.111188,0.9583178,2.544242,1.595221,1.403068,2.504112,1.681993,1.188441,2.605838,1.523422,1.039382,2.404324,1.477365,0.9955954,2.382414,1.281697,0.9690249,2.476479,1.29047,0.6101587,2.373346,1.414757,0.2014555,2.393367,1.417695,0.2812189,2.385694,1.429105,0.9494623,2.466895,1.435195,0.5919185,2.359463,1.189705,0.3387095,2.289334,1.201677,0.3134181,2.285472,1.432019,1.477168,2.50064,1.141464,0.918088,2.518117,1.130252,0.9808803,2.504667,1.434168,0.9321776,2.366256,1.42081,1.23991,2.353257
2019-12-23 17:51:46:106,1.372458,0.9571045,2.503025,1.408107,1.256989,2.504948,1.438998,1.548714,2.49322,1.471594,1.663804,2.424555,1.2704,1.456624,2.510422,1.121965,1.213368,2.586317,1.080566,0.9845642,2.546985,1.093271,0.9938518,2.545039,1.595164,1.403341,2.50013,1.683142,1.18639,2.600603,1.522744,1.039523,2.403049,1.473941,0.9968337,2.378821,1.281447,0.9688628,2.478253,1.290685,0.6105965,2.37192,1.398942,0.2633661,2.391312,1.417567,0.2812902,2.386336,1.429096,0.9491411,2.466191,1.437133,0.5911865,2.361391,1.196208,0.3494055,2.291284,1.214158,0.4006854,2.179367,1.432442,1.476884,2.498364,1.100852,0.9363157,2.541991,1.127217,0.9766894,2.4997,1.426956,0.9311843,2.360661,1.417744,1.239845,2.352413
2019-12-23 17:51:46:156,1.372404,0.9581845,2.502918,1.407313,1.257468,2.502218,1.436202,1.547959,2.486838,1.462556,1.662452,2.418022,1.268958,1.457812,2.509453,1.119805,1.217432,2.59009,1.089877,0.9870245,2.548233,1.111083,0.9696223,2.541514,1.591197,1.405225,2.490366,1.683163,1.188666,2.591177,1.524361,1.038436,2.402729,1.463862,1.001792,2.373901,1.281356,0.9688892,2.479086,1.287146,0.6094717,2.367133,1.408207,0.3486814,2.418402,1.42814,0.2698779,2.306214,1.429149,0.9522622,2.46407,1.420221,0.591864,2.356352,1.160959,0.3376049,2.278198,1.177604,0.3081855,2.281591,1.43025,1.476516,2.492894,1.132959,0.9312237,2.531141,1.130381,0.9886549,2.501813,1.41284,0.947682,2.346733,1.402779,1.251925,2.351619
2019-12-23 17:51:46:197,1.372145,0.9585946,2.502765,1.407131,1.257541,2.502054,1.435962,1.547894,2.48691,1.456158,1.663402,2.41566,1.266042,1.45824,2.50865,1.118016,1.220633,2.592089,1.092024,0.9898885,2.549152,1.112098,0.9666132,2.543631,1.588363,1.405176,2.487484,1.681538,1.191023,2.588099,1.522906,1.039582,2.401481,1.464167,0.9997333,2.372223,1.281022,0.9689176,2.479291,1.283995,0.6086669,2.366007,1.413747,0.3195785,2.417704,1.423541,0.2677944,2.302033,1.428768,0.9535356,2.462888,1.420786,0.5919691,2.356419,1.151458,0.3393096,2.271793,1.174794,0.3101465,2.279368,1.430045,1.476482,2.492884,1.146583,0.9184813,2.520601,1.12942,0.9923005,2.502833,1.4174,0.9451873,2.347762,1.406893,1.254036,2.351646
