2019-12-23 17:51:44:247, no_human
2019-12-23 17:51:44:257, no_human
2019-12-23 17:51:44:487, no_human
2019-12-23 17:51:44:552, no_human
2019-12-23 17:51:44:569, no_human
2019-12-23 17:51:44:586, no_human
2019-12-23 17:51:44:602, no_human
2019-12-23 17:51:44:619, no_human
2019-12-23 17:51:44:636, no_human
2019-12-23 17:51:44:653, no_human
2019-12-23 17:51:44:670, no_human
2019-12-23 17:51:44:687, no_human
2019-12-23 17:51:44:704, no_human
2019-12-23 17:51:44:744, no_human
2019-12-23 17:51:44:752, no_human
2019-12-23 17:51:44:776, no_human
2019-12-23 17:51:44:785, no_human
2019-12-23 17:51:44:811, no_human
2019-12-23 17:51:44:818, no_human
2019-12-23 17:51:44:834, no_human
2019-12-23 17:51:44:851, no_human
2019-12-23 17:51:44:890, no_human
2019-12-23 17:51:44:922, no_human
2019-12-23 17:51:44:955, no_human
2019-12-23 17:51:44:985, no_human
2019-12-23 17:51:45:011, no_human
2019-12-23 17:51:45:018, no_human
2019-12-23 17:51:45:052, no_human
2019-12-23 17:51:45:077, no_human
2019-12-23 17:51:45:083, no_human
2019-12-23 17:51:45:120, no_human
2019-12-23 17:51:45:150, no_human
2019-12-23 17:51:45:177, no_human
2019-12-23 17:51:45:184, no_human
2019-12-23 17:51:45:221, no_human
2019-12-23 17:51:45:246, no_human
2019-12-23 17:51:45:276, no_human
2019-12-23 17:51:45:283, no_human
2019-12-23 17:51:45:320, no_human
2019-12-23 17:51:45:346, no_human
2019-12-23 17:51:45:356, no_human
2019-12-23 17:51:45:393, no_human
2019-12-23 17:51:45:425, no_human
2019-12-23 17:51:45:458, no_human
2019-12-23 17:51:45:491, no_human
2019-12-23 17:51:45:520, no_human
2019-12-23 17:51:45:568,-1.595935,1.836968,-0.6557994,-1.619379,1.537547,-0.6692649,-1.636529,1.245964,-0.6719008,-1.674452,1.121332,-0.6260033,-1.467402,1.350607,-0.6644838,-1.332377,1.62017,-0.6730135,-1.312863,1.835661,-0.6118088,-1.320839,1.859095,-0.6191524,-1.794054,1.395266,-0.7032645,-1.855621,1.60428,-0.7428263,-1.824984,1.891582,-0.6622565,-1.79678,1.95434,-0.6605583,-1.504443,1.82518,-0.6179524,-1.482974,2.194796,-0.552959,-1.562887,2.693778,-0.6077574,-1.570094,2.707569,-0.4716681,-1.652898,1.84524,-0.6297455,-1.689962,2.208836,-0.553777,-1.461708,2.436305,-0.4558752,-1.52525,2.510442,-0.479982,-1.633377,1.317788,-0.6732288,-1.349989,1.937981,-0.6210898,-1.351163,1.862092,-0.5877929,-1.782776,2.004212,-0.6522627,-1.763824,2.035546,-0.2996114,
2019-12-23 17:51:45:607,-1.612207,1.838725,-0.6606067,-1.627957,1.537372,-0.6709822,-1.640607,1.244949,-0.6721361,-1.679225,1.120812,-0.6252397,-1.473167,1.349194,-0.6665402,-1.337725,1.617936,-0.685093,-1.315862,1.839657,-0.6477154,-1.327664,1.85144,-0.6484733,-1.799098,1.395774,-0.6998771,-1.873723,1.610826,-0.7483633,-1.86054,1.85562,-0.6891418,-1.844907,1.890838,-0.6843074,-1.520915,1.826463,-0.6253536,-1.472307,2.19077,-0.5471414,-1.715528,2.474718,-0.6034656,-1.661087,2.53039,-0.5578938,-1.668947,1.847447,-0.6322559,-1.678622,2.210718,-0.5501235,-1.464362,2.428354,-0.4448634,-1.479232,2.390621,-0.3365803,-1.638271,1.316897,-0.6736906,-1.335078,1.917846,-0.6456514,-1.370838,1.869193,-0.6202779,-1.818556,1.934817,-0.670045,-1.794653,2.011017,-0.3071431,
2019-12-23 17:51:45:645,-1.61083,1.83797,-0.6600924,-1.629142,1.537217,-0.6708525,-1.648299,1.245355,-0.6719845,-1.684564,1.121327,-0.6231118,-1.479056,1.348574,-0.6678186,-1.342468,1.615142,-0.6968685,-1.315654,1.837065,-0.6519206,-1.331293,1.851972,-0.6608477,-1.804425,1.396123,-0.6961311,-1.885158,1.613831,-0.7569099,-1.870077,1.841293,-0.6978667,-1.851312,1.894799,-0.6905974,-1.519354,1.825535,-0.6256261,-1.474893,2.188273,-0.5478008,-1.716786,2.479363,-0.6030419,-1.662747,2.533183,-0.5602351,-1.667379,1.84671,-0.6306291,-1.567988,2.192572,-0.5076459,-1.463519,2.563481,-0.4204136,-1.460827,2.551145,-0.3028765,-1.644005,1.317105,-0.6735619,-1.349312,1.893939,-0.6516965,-1.370534,1.864035,-0.6297498,-1.803994,1.950042,-0.6652647,-1.816131,1.982685,-0.32,
2019-12-23 17:51:45:680,-1.613265,1.835825,-0.6605738,-1.635536,1.536449,-0.6713222,-1.655467,1.246456,-0.6718288,-1.692629,1.122504,-0.6200083,-1.48545,1.348146,-0.6708842,-1.347183,1.612363,-0.7054947,-1.318708,1.835156,-0.661074,-1.332378,1.845082,-0.6715131,-1.81914,1.395543,-0.6966234,-1.893947,1.613793,-0.7619026,-1.914902,1.835025,-0.7125936,-1.871414,1.883846,-0.7030056,-1.521733,1.823421,-0.6268254,-1.474469,2.18803,-0.5470887,-1.716673,2.480533,-0.6031125,-1.662888,2.533396,-0.5596519,-1.669987,1.844551,-0.6305245,-1.685269,2.206026,-0.5367644,-1.45835,2.477155,-0.4372764,-1.447842,2.475099,-0.4632702,-1.651423,1.317798,-0.6736131,-1.339955,1.908878,-0.6677552,-1.372249,1.860499,-0.6348889,-1.841874,1.930682,-0.6917196,-1.808355,2.015939,-0.3125001,
2019-12-23 17:51:45:714,-1.612367,1.836679,-0.6597086,-1.637101,1.537033,-0.6706885,-1.661729,1.246389,-0.6710511,-1.697295,1.125048,-0.6182528,-1.491147,1.3485,-0.6726373,-1.350515,1.610259,-0.7117813,-1.321856,1.834764,-0.6737373,-1.334381,1.843476,-0.6811553,-1.818557,1.3952,-0.6930991,-1.900061,1.611464,-0.7658141,-1.883304,1.828174,-0.6887174,-1.879061,1.880194,-0.7098206,-1.520747,1.824232,-0.6263097,-1.475919,2.189301,-0.5468789,-1.716682,2.482484,-0.6035953,-1.662185,2.535488,-0.5580013,-1.669157,1.84551,-0.6292203,-1.687272,2.207086,-0.5364056,-1.457754,2.467211,-0.4396859,-1.45615,2.471975,-0.483305,-1.656302,1.318024,-0.6728488,-1.344909,1.904773,-0.6786564,-1.375671,1.862369,-0.6390503,-1.849993,1.924694,-0.7027188,-1.832344,1.997964,-0.3335,
2019-12-23 17:51:45:753,-1.610891,1.836998,-0.6582888,-1.638452,1.537472,-0.6697534,-1.66661,1.247053,-0.6699849,-1.702579,1.125689,-0.6156867,-1.495037,1.347712,-0.6730261,-1.354316,1.607729,-0.7169552,-1.325707,1.833393,-0.6797913,-1.340515,1.843385,-0.687172,-1.819736,1.395487,-0.6909721,-1.911387,1.611498,-0.7742377,-1.873994,1.822315,-0.6831158,-1.877245,1.867917,-0.6966909,-1.519541,1.824299,-0.6260749,-1.50819,2.189362,-0.5417367,-1.716528,2.487745,-0.6006547,-1.66062,2.54018,-0.557587,-1.667244,1.846304,-0.6256741,-1.597946,2.200106,-0.502678,-1.46016,2.602557,-0.4102593,-1.468856,2.554962,-0.3010445,-1.660287,1.318638,-0.671773,-1.376034,1.919247,-0.6615844,-1.377838,1.85076,-0.643091,-1.825607,1.906657,-0.6527105,-1.823858,1.98959,-0.3144003,
2019-12-23 17:51:45:794,-1.61263,1.839368,-0.6588076,-1.6435,1.540166,-0.6689649,-1.671999,1.248749,-0.6678308,-1.709002,1.127799,-0.6108995,-1.500069,1.347309,-0.6733359,-1.357464,1.606879,-0.7202066,-1.331871,1.833983,-0.6851569,-1.346382,1.841126,-0.6904545,-1.82363,1.395347,-0.6887138,-1.914545,1.611327,-0.7756858,-1.753708,1.766717,-0.5529342,-1.694152,1.812085,-0.5334855,-1.521146,1.826677,-0.6274334,-1.512477,2.191285,-0.5403689,-1.715968,2.489262,-0.6002701,-1.66152,2.539643,-0.5496548,-1.669258,1.848756,-0.625655,-1.60911,2.204493,-0.5058816,-1.45947,2.48202,-0.4428163,-1.45725,2.477712,-0.4780207,-1.665825,1.320598,-0.669983,-1.347709,1.903502,-0.6855634,-1.385969,1.862173,-0.6476317,-1.656407,1.859661,-0.5102258,-1.636737,1.846735,-0.1760953,
2019-12-23 17:51:45:837,-1.615885,1.844306,-0.6590627,-1.647897,1.543061,-0.6680322,-1.675918,1.249765,-0.6660767,-1.714349,1.130136,-0.6084338,-1.505058,1.347033,-0.6735678,-1.363912,1.605357,-0.7247658,-1.335397,1.832748,-0.6891025,-1.350218,1.837984,-0.693565,-1.827356,1.395881,-0.6872349,-1.91788,1.609905,-0.777396,-1.753716,1.763968,-0.5538931,-1.722306,1.806535,-0.540809,-1.524121,1.831138,-0.6284726,-1.527483,2.194053,-0.5384458,-1.715232,2.485719,-0.5995207,-1.662172,2.534618,-0.5467065,-1.672741,1.854002,-0.6253129,-1.602643,2.207088,-0.5029994,-1.460668,2.604512,-0.4192913,-1.46403,2.559145,-0.307426,-1.669917,1.322027,-0.6684554,-1.356889,1.90606,-0.6912468,-1.387195,1.858338,-0.6494997,-1.682786,1.874836,-0.5182107,-1.662726,1.853905,-0.1848262,
2019-12-23 17:51:45:886,-1.618507,1.843399,-0.660266,-1.653243,1.542785,-0.6671117,-1.683968,1.250523,-0.6618944,-1.7194,1.131022,-0.6034654,-1.51215,1.345989,-0.6724911,-1.369124,1.605189,-0.7286916,-1.339254,1.833858,-0.6938699,-1.351924,1.83931,-0.6981316,-1.833774,1.396991,-0.6810647,-1.92289,1.609998,-0.779959,-1.772905,1.764135,-0.5647829,-1.733042,1.8055,-0.5425337,-1.527013,1.831195,-0.6293784,-1.53414,2.192685,-0.5379348,-1.706864,2.493888,-0.5929454,-1.661929,2.539184,-0.5368744,-1.675318,1.85181,-0.6271625,-1.676957,2.208359,-0.5112239,-1.490887,2.426816,-0.4649377,-1.476424,2.392846,-0.3502672,-1.677328,1.322482,-0.6652358,-1.355076,1.899075,-0.6985024,-1.390377,1.855857,-0.6571429,-1.702488,1.879854,-0.5297523,-1.678931,1.867877,-0.1834234,
2019-12-23 17:51:45:927,-1.619868,1.842383,-0.6611138,-1.655118,1.541961,-0.666396,-1.686176,1.24965,-0.6592751,-1.722041,1.13164,-0.6001306,-1.514574,1.345361,-0.6719552,-1.370562,1.604421,-0.7296382,-1.340759,1.833822,-0.6959167,-1.350178,1.83549,-0.7031727,-1.836388,1.39555,-0.676765,-1.924332,1.610305,-0.7787898,-1.771651,1.764989,-0.5636163,-1.731187,1.804816,-0.5442906,-1.528352,1.830726,-0.630437,-1.537749,2.191358,-0.5363942,-1.706058,2.49609,-0.591945,-1.660154,2.537903,-0.5358699,-1.676688,1.850174,-0.6278482,-1.676793,2.206529,-0.5118511,-1.49567,2.41334,-0.4686716,-1.47814,2.392878,-0.3518286,-1.679487,1.32163,-0.663159,-1.351371,1.896159,-0.6971946,-1.390684,1.849982,-0.6610628,-1.689633,1.878344,-0.5240255,-1.671228,1.862217,-0.1822341,
