2019-12-23 17:31:35:945, no_human
2019-12-23 17:31:35:957, no_human
2019-12-23 17:31:36:251, no_human
2019-12-23 17:31:36:321, no_human
2019-12-23 17:31:36:338, no_human
2019-12-23 17:31:36:355, no_human
2019-12-23 17:31:36:372, no_human
2019-12-23 17:31:36:389, no_human
2019-12-23 17:31:36:406, no_human
2019-12-23 17:31:36:451, no_human
2019-12-23 17:31:36:465, no_human
2019-12-23 17:31:36:472, no_human
2019-12-23 17:31:36:498, no_human
2019-12-23 17:31:36:506, no_human
2019-12-23 17:31:36:523, no_human
2019-12-23 17:31:36:540, no_human
2019-12-23 17:31:36:557, no_human
2019-12-23 17:31:36:595, no_human
2019-12-23 17:31:36:620, no_human
2019-12-23 17:31:36:652, no_human
2019-12-23 17:31:36:685, no_human
2019-12-23 17:31:36:719, no_human
2019-12-23 17:31:36:748, no_human
2019-12-23 17:31:36:756, no_human
2019-12-23 17:31:36:790, no_human
2019-12-23 17:31:36:819, no_human
2019-12-23 17:31:36:854, no_human
2019-12-23 17:31:36:885, no_human
2019-12-23 17:31:36:919, no_human
2019-12-23 17:31:36:949, no_human
2019-12-23 17:31:36:958, no_human
2019-12-23 17:31:36:991, no_human
2019-12-23 17:31:37:021, no_human
2019-12-23 17:31:37:054, no_human
2019-12-23 17:31:37:089, no_human
2019-12-23 17:31:37:120, no_human
2019-12-23 17:31:37:153, no_human
2019-12-23 17:31:37:185, no_human
2019-12-23 17:31:37:219, no_human
2019-12-23 17:31:37:253, no_human
2019-12-23 17:31:37:285, no_human
2019-12-23 17:31:37:309, no_human
2019-12-23 17:31:37:314, no_human
2019-12-23 17:31:37:351, no_human
2019-12-23 17:31:37:375, no_human
2019-12-23 17:31:37:380, no_human
2019-12-23 17:31:37:418, no_human
2019-12-23 17:31:37:452, no_human
2019-12-23 17:31:37:475, no_human
2019-12-23 17:31:37:481, no_human
2019-12-23 17:31:37:518, no_human
2019-12-23 17:31:37:541, no_human
2019-12-23 17:31:37:546, no_human
2019-12-23 17:31:37:584, no_human
2019-12-23 17:31:37:609, no_human
2019-12-23 17:31:37:613, no_human
2019-12-23 17:31:37:652, no_human
2019-12-23 17:31:37:686, no_human
2019-12-23 17:31:37:715, no_human
2019-12-23 17:31:37:724, no_human
2019-12-23 17:31:37:762, no_human
2019-12-23 17:31:37:787, no_human
2019-12-23 17:31:37:819, no_human
2019-12-23 17:31:37:853, no_human
2019-12-23 17:31:37:886, no_human
2019-12-23 17:31:37:922, no_human
2019-12-23 17:31:37:954, no_human
2019-12-23 17:31:37:986, no_human
2019-12-23 17:31:38:020, no_human
2019-12-23 17:31:38:051, no_human
2019-12-23 17:31:38:086, no_human
2019-12-23 17:31:38:126, no_human
2019-12-23 17:31:38:217, no_human
2019-12-23 17:31:38:226, no_human
2019-12-23 17:31:38:263, no_human
2019-12-23 17:31:38:298, no_human
2019-12-23 17:31:38:331, no_human
2019-12-23 17:31:38:363, no_human
2019-12-23 17:31:38:393, no_human
2019-12-23 17:31:38:421, no_human
2019-12-23 17:31:38:452, no_human
2019-12-23 17:31:38:487, no_human
2019-12-23 17:31:38:521, no_human
2019-12-23 17:31:38:553, no_human
2019-12-23 17:31:38:586, no_human
2019-12-23 17:31:38:620, no_human
2019-12-23 17:31:38:653, no_human
2019-12-23 17:31:38:687, no_human
2019-12-23 17:31:38:721, no_human
2019-12-23 17:31:38:752, no_human
2019-12-23 17:31:38:786, no_human
2019-12-23 17:31:38:820, no_human
2019-12-23 17:31:38:853, no_human
2019-12-23 17:31:38:886, no_human
2019-12-23 17:31:38:920, no_human
2019-12-23 17:31:38:953, no_human
2019-12-23 17:31:38:986, no_human
2019-12-23 17:31:39:019, no_human
2019-12-23 17:31:39:054, no_human
2019-12-23 17:31:39:093, no_human
2019-12-23 17:31:39:127, no_human
2019-12-23 17:31:39:157, no_human
2019-12-23 17:31:39:185, no_human
2019-12-23 17:31:39:220, no_human
2019-12-23 17:31:39:253, no_human
2019-12-23 17:31:39:288, no_human
2019-12-23 17:31:39:322, no_human
2019-12-23 17:31:39:353, no_human
2019-12-23 17:31:39:386, no_human
2019-12-23 17:31:39:420, no_human
2019-12-23 17:31:39:453, no_human
2019-12-23 17:31:39:486, no_human
2019-12-23 17:31:39:518, no_human
2019-12-23 17:31:39:526, no_human
2019-12-23 17:31:39:561, no_human
2019-12-23 17:31:39:591, no_human
2019-12-23 17:31:39:619, no_human
2019-12-23 17:31:39:653, no_human
2019-12-23 17:31:39:687, no_human
2019-12-23 17:31:39:720, no_human
2019-12-23 17:31:39:753, no_human
2019-12-23 17:31:39:786, no_human
2019-12-23 17:31:39:820, no_human
2019-12-23 17:31:39:853, no_human
2019-12-23 17:31:39:885, no_human
2019-12-23 17:31:39:921, no_human
2019-12-23 17:31:39:953, no_human
2019-12-23 17:31:39:987, no_human
2019-12-23 17:31:40:021, no_human
2019-12-23 17:31:40:053, no_human
2019-12-23 17:31:40:085, no_human
2019-12-23 17:31:40:119, no_human
2019-12-23 17:31:40:153, no_human
2019-12-23 17:31:40:187, no_human
2019-12-23 17:31:40:221, no_human
2019-12-23 17:31:40:254, no_human
2019-12-23 17:31:40:287, no_human
2019-12-23 17:31:40:319, no_human
2019-12-23 17:31:40:359, no_human
2019-12-23 17:31:40:393, no_human
2019-12-23 17:31:40:424, no_human
2019-12-23 17:31:40:452, no_human
2019-12-23 17:31:40:486, no_human
2019-12-23 17:31:40:520, no_human
2019-12-23 17:31:40:553, no_human
2019-12-23 17:31:40:586, no_human
2019-12-23 17:31:40:619, no_human
2019-12-23 17:31:40:655, no_human
2019-12-23 17:31:40:685, no_human
2019-12-23 17:31:40:719, no_human
2019-12-23 17:31:40:752, no_human
2019-12-23 17:31:40:785, no_human
2019-12-23 17:31:40:820, no_human
2019-12-23 17:31:40:854, no_human
2019-12-23 17:31:40:886, no_human
2019-12-23 17:31:40:922, no_human
2019-12-23 17:31:40:954, no_human
2019-12-23 17:31:40:986, no_human
2019-12-23 17:31:41:021, no_human
2019-12-23 17:31:41:052, no_human
2019-12-23 17:31:41:085, no_human
2019-12-23 17:31:41:108, no_human
2019-12-23 17:31:41:112, no_human
2019-12-23 17:31:41:151, no_human
2019-12-23 17:31:41:174, no_human
2019-12-23 17:31:41:178, no_human
2019-12-23 17:31:41:219, no_human
2019-12-23 17:31:41:251, no_human
2019-12-23 17:31:41:285, no_human
2019-12-23 17:31:41:320, no_human
2019-12-23 17:31:41:369,2.788342,3.259187
2019-12-23 17:31:41:407,2.80619,3.253702
2019-12-23 17:31:41:441,2.828161,3.248595
2019-12-23 17:31:41:488,2.847392,3.243523
2019-12-23 17:31:41:529,2.87097,3.232625
2019-12-23 17:31:41:560,2.879072,3.228038
2019-12-23 17:31:41:593,2.8943,3.217864
2019-12-23 17:31:41:626,2.908266,3.210356
2019-12-23 17:31:41:659,2.923949,3.202756
2019-12-23 17:31:41:692,2.939624,3.202925
2019-12-23 17:31:41:726,2.964463,3.200595
2019-12-23 17:31:41:759,2.976177,3.196288
2019-12-23 17:31:41:788,2.992021,3.191465
2019-12-23 17:31:41:818,3.007133,3.184279
2019-12-23 17:31:41:850,3.020963,3.178062
2019-12-23 17:31:41:884,3.036521,3.171629
2019-12-23 17:31:41:918,3.044112,3.167669
2019-12-23 17:31:41:952,3.059997,3.159118
2019-12-23 17:31:41:984,3.067878,3.152549
2019-12-23 17:31:42:019,3.076651,3.143801
2019-12-23 17:31:42:052,3.083685,3.13748
2019-12-23 17:31:42:084,3.091815,3.130629
2019-12-23 17:31:42:119,3.097151,3.122968
2019-12-23 17:31:42:151,3.101565,3.11331
2019-12-23 17:31:42:184,3.104623,3.104122
2019-12-23 17:31:42:218,3.108466,3.093225
2019-12-23 17:31:42:251,3.11019,3.082073
2019-12-23 17:31:42:286,3.113343,3.067031
2019-12-23 17:31:42:319,3.114908,3.05278
2019-12-23 17:31:42:351,3.11692,3.035784
2019-12-23 17:31:42:385,3.117779,3.01901
2019-12-23 17:31:42:426,3.119404,3.001067
2019-12-23 17:31:42:461,3.121525,2.98569
2019-12-23 17:31:42:493,3.12319,2.965271
2019-12-23 17:31:42:528,3.126594,2.9458
2019-12-23 17:31:42:564,3.12865,2.925045
2019-12-23 17:31:42:601,3.135181,2.887
2019-12-23 17:31:42:634,3.138693,2.872642
2019-12-23 17:31:42:653,3.138693,2.872642
2019-12-23 17:31:42:684,3.146299,2.853775
2019-12-23 17:31:42:718,3.154105,2.836154
2019-12-23 17:31:42:751,3.162652,2.82138
2019-12-23 17:31:42:784,3.169837,2.808075
2019-12-23 17:31:42:819,3.182055,2.790914
2019-12-23 17:31:42:851,3.192829,2.779645
2019-12-23 17:31:42:884,3.208552,2.76327
2019-12-23 17:31:42:918,3.222079,2.750005
2019-12-23 17:31:42:952,3.238188,2.736437
2019-12-23 17:31:42:985,3.253845,2.724501
2019-12-23 17:31:43:021,3.27293,2.715485
2019-12-23 17:31:43:054,3.291716,2.704602
2019-12-23 17:31:43:090,3.316813,2.699145
2019-12-23 17:31:43:132,3.349948,2.691013
2019-12-23 17:31:43:171,3.400982,2.680561
2019-12-23 17:31:43:205,3.428227,2.674019
2019-12-23 17:31:43:217,3.428227,2.674019
2019-12-23 17:31:43:253,3.453642,2.671693
2019-12-23 17:31:43:284,3.478436,2.663193
2019-12-23 17:31:43:318,3.500456,2.656204
2019-12-23 17:31:43:351,3.514714,2.65043
2019-12-23 17:31:43:384,3.530355,2.6436
2019-12-23 17:31:43:420,3.543697,2.636461
2019-12-23 17:31:43:456,3.555432,2.626884
2019-12-23 17:31:43:500,3.56573,2.61552
2019-12-23 17:31:43:560,3.580469,2.597143
2019-12-23 17:31:43:604,3.58633,2.581541
2019-12-23 17:31:43:659,3.590304,2.561579
2019-12-23 17:31:43:706,3.589632,2.544895
2019-12-23 17:31:43:752,3.584014,2.521736
2019-12-23 17:31:43:785,3.578791,2.510413
2019-12-23 17:31:43:820,3.572681,2.499243
2019-12-23 17:31:43:874,3.558002,2.478715
2019-12-23 17:31:43:924,3.552062,2.472202
2019-12-23 17:31:43:967,3.546344,2.464157
2019-12-23 17:31:44:007,3.539728,2.45273
2019-12-23 17:31:44:059,3.536547,2.444063
2019-12-23 17:31:44:102,3.534754,2.438345
2019-12-23 17:31:44:141,3.53254,2.427412
2019-12-23 17:31:44:186,3.531834,2.420536
2019-12-23 17:31:44:220,3.531763,2.412832
2019-12-23 17:31:44:257,3.531471,2.406509
2019-12-23 17:31:44:292,3.5325,2.395465
2019-12-23 17:31:44:326,3.535175,2.388194
2019-12-23 17:31:44:363,3.541855,2.374026
2019-12-23 17:31:44:399,3.542306,2.367874
2019-12-23 17:31:44:432,3.545826,2.363113
2019-12-23 17:31:44:465,3.544621,2.358453
2019-12-23 17:31:44:498,3.543887,2.354795
2019-12-23 17:31:44:532,3.544666,2.349583
2019-12-23 17:31:44:565,3.54734,2.344394
2019-12-23 17:31:44:605,3.550745,2.339545
2019-12-23 17:31:44:654,3.555534,2.335343
2019-12-23 17:31:44:697,3.561337,2.331081
2019-12-23 17:31:44:734,3.613544,2.330884
2019-12-23 17:31:44:775,3.617635,2.3313
2019-12-23 17:31:44:825,3.62588,2.332035
2019-12-23 17:31:44:865,3.635352,2.332897
2019-12-23 17:31:44:899,3.644762,2.335657
2019-12-23 17:31:45:060,3.649161,2.33532
2019-12-23 17:31:45:149,3.676403,2.338383
2019-12-23 17:31:45:202,3.691772,2.353495
2019-12-23 17:31:45:238,3.699335,2.365158
2019-12-23 17:31:45:272,3.710845,2.378682
2019-12-23 17:31:45:671,3.715137,2.388467
2019-12-23 17:31:45:925,3.678968,2.5601
2019-12-23 17:31:46:003,3.657717,2.567612
2019-12-23 17:31:46:053,3.635275,2.577158
2019-12-23 17:31:46:088,3.603292,2.576601
2019-12-23 17:31:46:127,3.584783,2.572191
2019-12-23 17:31:46:164,3.574034,2.572218
2019-12-23 17:31:46:198,3.535702,2.565975
2019-12-23 17:31:46:232,3.535702,2.565975
2019-12-23 17:31:46:264,3.500195,2.554527
2019-12-23 17:31:46:295,3.500195,2.554527
2019-12-23 17:31:46:328,3.486799,2.555019
2019-12-23 17:31:46:362,3.47348,2.551131
2019-12-23 17:31:46:393,3.469203,2.550895
2019-12-23 17:31:46:426,3.459884,2.549768
2019-12-23 17:31:46:459,3.437931,2.550614
2019-12-23 17:31:46:492,3.428202,2.552465
2019-12-23 17:31:46:526,3.422227,2.554369
2019-12-23 17:31:46:559,3.414983,2.55667
2019-12-23 17:31:46:593,3.406559,2.563717
2019-12-23 17:31:46:629,3.390046,2.572122
2019-12-23 17:31:46:659,3.390046,2.572122
2019-12-23 17:31:46:693,3.374397,2.58323
2019-12-23 17:31:46:726,3.368181,2.590378
2019-12-23 17:31:46:760,3.363777,2.596454
2019-12-23 17:31:46:795,3.356376,2.607481
2019-12-23 17:31:46:836,3.342054,2.62994
2019-12-23 17:31:46:875,3.341464,2.632307
2019-12-23 17:31:46:921,3.334299,2.651685
2019-12-23 17:31:46:960,3.335866,2.655671
2019-12-23 17:31:46:993,3.339,2.674566
2019-12-23 17:31:47:026,3.337753,2.684049
2019-12-23 17:31:47:059,3.327944,2.708183
2019-12-23 17:31:47:092,3.32875,2.716801
2019-12-23 17:31:47:125,3.323348,2.737119
2019-12-23 17:31:47:158,3.327385,2.750581
2019-12-23 17:31:47:191,3.313035,2.770931
2019-12-23 17:31:47:231,3.314965,2.786155
2019-12-23 17:31:47:264,3.305484,2.817802
2019-12-23 17:31:47:297,3.299421,2.822318
2019-12-23 17:31:47:331,3.275505,2.864464
2019-12-23 17:31:47:362,3.275505,2.864464
2019-12-23 17:31:47:393,3.276626,2.860563
2019-12-23 17:31:47:431,3.261408,2.876233
2019-12-23 17:31:47:465,3.224471,2.897998
2019-12-23 17:31:47:497,3.2114,2.907599
2019-12-23 17:31:47:529,3.2114,2.907599
2019-12-23 17:31:47:560,3.193114,2.90969
2019-12-23 17:31:47:592,3.151826,2.943686
2019-12-23 17:31:47:628,3.160213,2.935994
2019-12-23 17:31:47:662,3.1371,2.940097
2019-12-23 17:31:47:693,3.117569,2.947574
2019-12-23 17:31:47:731,3.093753,2.958489
2019-12-23 17:31:47:764,3.037635,2.964385
2019-12-23 17:31:47:794,3.010989,2.970752
2019-12-23 17:31:47:832,3.010989,2.970752
2019-12-23 17:31:47:866,2.964299,2.984099
2019-12-23 17:31:47:900,2.893832,3.01088
2019-12-23 17:31:47:956,2.904489,2.99685
2019-12-23 17:31:47:999,2.892148,3.005283
2019-12-23 17:31:48:063,2.862586,3.027415
2019-12-23 17:31:48:104,2.832119,3.051704
2019-12-23 17:31:48:153,2.818731,3.062666
2019-12-23 17:31:48:187,2.78332,3.084222
2019-12-23 17:31:48:229,2.777766,3.097198
2019-12-23 17:31:48:262,2.765209,3.102098
2019-12-23 17:31:48:294,2.743397,3.124901
2019-12-23 17:31:48:331,2.729501,3.140285
2019-12-23 17:31:48:362,2.727746,3.14546
2019-12-23 17:31:48:392,2.704868,3.166228
2019-12-23 17:31:48:430,2.687053,3.191199
2019-12-23 17:31:48:461,2.66323,3.21017
2019-12-23 17:31:48:493,2.653727,3.22353
2019-12-23 17:31:48:530,2.636762,3.242905
2019-12-23 17:31:48:562,2.613472,3.269434
2019-12-23 17:31:48:594,2.608467,3.277565
2019-12-23 17:31:48:629,2.589321,3.301276
2019-12-23 17:31:48:665,2.578151,3.309885
2019-12-23 17:31:48:699,2.560312,3.31875
2019-12-23 17:31:48:735,2.54741,3.320796
2019-12-23 17:31:48:767,2.538499,3.320009
2019-12-23 17:31:48:798,2.535551,3.316467
2019-12-23 17:31:48:835,2.524371,3.310374
2019-12-23 17:31:48:869,2.515726,3.302557
2019-12-23 17:31:48:903,2.511555,3.295663
2019-12-23 17:31:48:921,2.511555,3.295663
2019-12-23 17:31:48:961,2.504163,3.286077
2019-12-23 17:31:48:993,2.49695,3.273977
2019-12-23 17:31:49:030,2.49169,3.258377
2019-12-23 17:31:49:068,2.470251,3.210613
2019-12-23 17:31:49:125,2.459754,3.196969
2019-12-23 17:31:49:173,2.448829,3.157863
2019-12-23 17:31:49:213,2.43985,3.134355
2019-12-23 17:31:49:255,2.431955,3.116972
2019-12-23 17:31:49:286,2.425241,3.093776
2019-12-23 17:31:49:323,2.419576,3.080249
2019-12-23 17:31:49:362,2.412771,3.063493
2019-12-23 17:31:49:392,2.405999,3.047663
2019-12-23 17:31:49:428,2.406973,3.044415
2019-12-23 17:31:49:461,2.397167,3.015181
2019-12-23 17:31:49:497,2.390477,2.989648
2019-12-23 17:31:49:520,2.390477,2.989648
2019-12-23 17:31:49:561,2.388164,2.9759
2019-12-23 17:31:49:593,2.384973,2.965052
2019-12-23 17:31:49:630,2.389525,2.95434
2019-12-23 17:31:49:663,2.388199,2.946551
2019-12-23 17:31:49:693,2.383946,2.934168
2019-12-23 17:31:49:732,2.377127,2.922789
2019-12-23 17:31:49:765,2.362021,2.90011
2019-12-23 17:31:49:799,2.352115,2.887429
2019-12-23 17:31:49:833,2.340233,2.875742
2019-12-23 17:31:49:854,2.340233,2.875742
2019-12-23 17:31:49:885,2.330493,2.865723
2019-12-23 17:31:49:921,2.318363,2.853121
2019-12-23 17:31:49:955,2.302696,2.842423
2019-12-23 17:31:49:986,2.289251,2.82866
2019-12-23 17:31:50:023,2.277032,2.816473
2019-12-23 17:31:50:060,2.265522,2.804454
2019-12-23 17:31:50:095,2.257198,2.793463
2019-12-23 17:31:50:134,2.248147,2.779143
2019-12-23 17:31:50:171,2.228882,2.749478
2019-12-23 17:31:50:225,2.222119,2.737055
2019-12-23 17:31:50:290,2.215633,2.707236
2019-12-23 17:31:50:337,2.213559,2.690578
2019-12-23 17:31:50:372,2.215092,2.654284
2019-12-23 17:31:50:451,2.221973,2.621289
2019-12-23 17:31:50:507,2.231258,2.60198
2019-12-23 17:31:50:552,2.247637,2.57072
2019-12-23 17:31:50:588,2.258171,2.555332
2019-12-23 17:31:50:639,2.269506,2.538258
2019-12-23 17:31:50:678,2.288542,2.512472
2019-12-23 17:31:50:720,2.297223,2.500651
2019-12-23 17:31:50:752,2.305891,2.485395
2019-12-23 17:31:50:784,2.312447,2.473007
2019-12-23 17:31:50:823,2.320296,2.460956
2019-12-23 17:31:50:858,2.326166,2.449725
2019-12-23 17:31:50:891,2.33366,2.437716
2019-12-23 17:31:50:932,2.340621,2.423789
2019-12-23 17:31:50:964,2.346956,2.412416
2019-12-23 17:31:50:997,2.354334,2.399164
2019-12-23 17:31:51:040,2.367328,2.37118
2019-12-23 17:31:51:073,2.372499,2.354785
2019-12-23 17:31:51:105,2.377306,2.339157
2019-12-23 17:31:51:149,2.38107,2.32308
2019-12-23 17:31:51:182,2.384834,2.305093
2019-12-23 17:31:51:215,2.386978,2.287066
2019-12-23 17:31:51:254,2.388865,2.267458
2019-12-23 17:31:51:292,2.39147,2.245768
2019-12-23 17:31:51:338,2.394274,2.226329
2019-12-23 17:31:51:390,2.401335,2.186248
2019-12-23 17:31:51:435,2.406957,2.16924
2019-12-23 17:31:51:469,2.423425,2.132143
2019-12-23 17:31:51:505,2.432127,2.119012
2019-12-23 17:31:51:539,2.441528,2.105611
2019-12-23 17:31:51:574,2.454289,2.092207
2019-12-23 17:31:51:586,2.454289,2.092207
2019-12-23 17:31:51:627,2.464879,2.083051
2019-12-23 17:31:51:662,2.478937,2.072832
2019-12-23 17:31:51:696,2.49124,2.067424
2019-12-23 17:31:51:732,2.505605,2.060189
2019-12-23 17:31:51:763,2.520036,2.055971
2019-12-23 17:31:51:797,2.555209,2.050915
2019-12-23 17:31:51:835,2.555209,2.050915
2019-12-23 17:31:51:867,2.593042,2.05233
2019-12-23 17:31:51:900,2.615134,2.05397
2019-12-23 17:31:51:948,2.636622,2.058986
