2019-12-23 17:31:35:945, no_human
2019-12-23 17:31:35:957, no_human
2019-12-23 17:31:36:251, no_human
2019-12-23 17:31:36:321, no_human
2019-12-23 17:31:36:338, no_human
2019-12-23 17:31:36:355, no_human
2019-12-23 17:31:36:372, no_human
2019-12-23 17:31:36:389, no_human
2019-12-23 17:31:36:406, no_human
2019-12-23 17:31:36:451, no_human
2019-12-23 17:31:36:465, no_human
2019-12-23 17:31:36:472, no_human
2019-12-23 17:31:36:498, no_human
2019-12-23 17:31:36:506, no_human
2019-12-23 17:31:36:523, no_human
2019-12-23 17:31:36:540, no_human
2019-12-23 17:31:36:557, no_human
2019-12-23 17:31:36:595, no_human
2019-12-23 17:31:36:620, no_human
2019-12-23 17:31:36:652, no_human
2019-12-23 17:31:36:685, no_human
2019-12-23 17:31:36:719, no_human
2019-12-23 17:31:36:748, no_human
2019-12-23 17:31:36:756, no_human
2019-12-23 17:31:36:790, no_human
2019-12-23 17:31:36:819, no_human
2019-12-23 17:31:36:854, no_human
2019-12-23 17:31:36:885, no_human
2019-12-23 17:31:36:919, no_human
2019-12-23 17:31:36:949, no_human
2019-12-23 17:31:36:958, no_human
2019-12-23 17:31:36:991, no_human
2019-12-23 17:31:37:021, no_human
2019-12-23 17:31:37:054, no_human
2019-12-23 17:31:37:089, no_human
2019-12-23 17:31:37:120, no_human
2019-12-23 17:31:37:153, no_human
2019-12-23 17:31:37:185, no_human
2019-12-23 17:31:37:219, no_human
2019-12-23 17:31:37:253, no_human
2019-12-23 17:31:37:285, no_human
2019-12-23 17:31:37:309, no_human
2019-12-23 17:31:37:314, no_human
2019-12-23 17:31:37:351, no_human
2019-12-23 17:31:37:375, no_human
2019-12-23 17:31:37:380, no_human
2019-12-23 17:31:37:418, no_human
2019-12-23 17:31:37:452, no_human
2019-12-23 17:31:37:475, no_human
2019-12-23 17:31:37:481, no_human
2019-12-23 17:31:37:518, no_human
2019-12-23 17:31:37:541, no_human
2019-12-23 17:31:37:546, no_human
2019-12-23 17:31:37:584, no_human
2019-12-23 17:31:37:609, no_human
2019-12-23 17:31:37:613, no_human
2019-12-23 17:31:37:652, no_human
2019-12-23 17:31:37:686, no_human
2019-12-23 17:31:37:715, no_human
2019-12-23 17:31:37:724, no_human
2019-12-23 17:31:37:762, no_human
2019-12-23 17:31:37:787, no_human
2019-12-23 17:31:37:819, no_human
2019-12-23 17:31:37:853, no_human
2019-12-23 17:31:37:886, no_human
2019-12-23 17:31:37:922, no_human
2019-12-23 17:31:37:954, no_human
2019-12-23 17:31:37:986, no_human
2019-12-23 17:31:38:020, no_human
2019-12-23 17:31:38:051, no_human
2019-12-23 17:31:38:086, no_human
2019-12-23 17:31:38:126, no_human
2019-12-23 17:31:38:217, no_human
2019-12-23 17:31:38:226, no_human
2019-12-23 17:31:38:263, no_human
2019-12-23 17:31:38:298, no_human
2019-12-23 17:31:38:331, no_human
2019-12-23 17:31:38:363, no_human
2019-12-23 17:31:38:393, no_human
2019-12-23 17:31:38:421, no_human
2019-12-23 17:31:38:452, no_human
2019-12-23 17:31:38:487, no_human
2019-12-23 17:31:38:521, no_human
2019-12-23 17:31:38:553, no_human
2019-12-23 17:31:38:586, no_human
2019-12-23 17:31:38:620, no_human
2019-12-23 17:31:38:653, no_human
2019-12-23 17:31:38:687, no_human
2019-12-23 17:31:38:721, no_human
2019-12-23 17:31:38:752, no_human
2019-12-23 17:31:38:786, no_human
2019-12-23 17:31:38:820, no_human
2019-12-23 17:31:38:853, no_human
2019-12-23 17:31:38:886, no_human
2019-12-23 17:31:38:920, no_human
2019-12-23 17:31:38:953, no_human
2019-12-23 17:31:38:986, no_human
2019-12-23 17:31:39:019, no_human
2019-12-23 17:31:39:054, no_human
2019-12-23 17:31:39:093, no_human
2019-12-23 17:31:39:127, no_human
2019-12-23 17:31:39:157, no_human
2019-12-23 17:31:39:185, no_human
2019-12-23 17:31:39:220, no_human
2019-12-23 17:31:39:253, no_human
2019-12-23 17:31:39:288, no_human
2019-12-23 17:31:39:322, no_human
2019-12-23 17:31:39:353, no_human
2019-12-23 17:31:39:386, no_human
2019-12-23 17:31:39:420, no_human
2019-12-23 17:31:39:453, no_human
2019-12-23 17:31:39:486, no_human
2019-12-23 17:31:39:518, no_human
2019-12-23 17:31:39:526, no_human
2019-12-23 17:31:39:561, no_human
2019-12-23 17:31:39:591, no_human
2019-12-23 17:31:39:619, no_human
2019-12-23 17:31:39:653, no_human
2019-12-23 17:31:39:687, no_human
2019-12-23 17:31:39:720, no_human
2019-12-23 17:31:39:753, no_human
2019-12-23 17:31:39:786, no_human
2019-12-23 17:31:39:820, no_human
2019-12-23 17:31:39:853, no_human
2019-12-23 17:31:39:885, no_human
2019-12-23 17:31:39:921, no_human
2019-12-23 17:31:39:953, no_human
2019-12-23 17:31:39:987, no_human
2019-12-23 17:31:40:021, no_human
2019-12-23 17:31:40:053, no_human
2019-12-23 17:31:40:085, no_human
2019-12-23 17:31:40:119, no_human
2019-12-23 17:31:40:153, no_human
2019-12-23 17:31:40:187, no_human
2019-12-23 17:31:40:221, no_human
2019-12-23 17:31:40:254, no_human
2019-12-23 17:31:40:287, no_human
2019-12-23 17:31:40:319, no_human
2019-12-23 17:31:40:359, no_human
2019-12-23 17:31:40:393, no_human
2019-12-23 17:31:40:424, no_human
2019-12-23 17:31:40:452, no_human
2019-12-23 17:31:40:486, no_human
2019-12-23 17:31:40:520, no_human
2019-12-23 17:31:40:553, no_human
2019-12-23 17:31:40:586, no_human
2019-12-23 17:31:40:619, no_human
2019-12-23 17:31:40:655, no_human
2019-12-23 17:31:40:685, no_human
2019-12-23 17:31:40:719, no_human
2019-12-23 17:31:40:752, no_human
2019-12-23 17:31:40:785, no_human
2019-12-23 17:31:40:820, no_human
2019-12-23 17:31:40:854, no_human
2019-12-23 17:31:40:886, no_human
2019-12-23 17:31:40:922, no_human
2019-12-23 17:31:40:954, no_human
2019-12-23 17:31:40:986, no_human
2019-12-23 17:31:41:021, no_human
2019-12-23 17:31:41:052, no_human
2019-12-23 17:31:41:085, no_human
2019-12-23 17:31:41:108, no_human
2019-12-23 17:31:41:112, no_human
2019-12-23 17:31:41:151, no_human
2019-12-23 17:31:41:174, no_human
2019-12-23 17:31:41:178, no_human
2019-12-23 17:31:41:219, no_human
2019-12-23 17:31:41:251, no_human
2019-12-23 17:31:41:285, no_human
2019-12-23 17:31:41:320, no_human
2019-12-23 17:31:41:369,0.6816576,1.6200793.259187
2019-12-23 17:31:41:407,0.66381,1.6202193.253702
2019-12-23 17:31:41:441,0.641839,1.6244833.248595
2019-12-23 17:31:41:488,0.6226077,1.6233433.243523
2019-12-23 17:31:41:529,0.5990303,1.623263.232625
2019-12-23 17:31:41:560,0.5909284,1.6216013.228038
2019-12-23 17:31:41:593,0.5757006,1.6187963.217864
2019-12-23 17:31:41:626,0.5617344,1.6163083.210356
2019-12-23 17:31:41:659,0.5460512,1.6152413.202756
2019-12-23 17:31:41:692,0.5303765,1.6175083.202925
2019-12-23 17:31:41:726,0.5055369,1.6175193.200595
2019-12-23 17:31:41:759,0.4938231,1.6180813.196288
2019-12-23 17:31:41:788,0.4779795,1.6180633.191465
2019-12-23 17:31:41:818,0.4628668,1.6196813.184279
2019-12-23 17:31:41:850,0.4490369,1.619733.178062
2019-12-23 17:31:41:884,0.4334793,1.6221063.171629
2019-12-23 17:31:41:918,0.4258879,1.6227423.167669
2019-12-23 17:31:41:952,0.4100032,1.6242563.159118
2019-12-23 17:31:41:984,0.4021215,1.6256873.152549
2019-12-23 17:31:42:019,0.3933493,1.6246433.143801
2019-12-23 17:31:42:052,0.3863148,1.6246023.13748
2019-12-23 17:31:42:084,0.3781847,1.6243883.130629
2019-12-23 17:31:42:119,0.3728496,1.6244373.122968
2019-12-23 17:31:42:151,0.3684354,1.6265363.11331
2019-12-23 17:31:42:184,0.3653773,1.6274213.104122
2019-12-23 17:31:42:218,0.3615337,1.6303773.093225
2019-12-23 17:31:42:251,0.3598099,1.6325023.082073
2019-12-23 17:31:42:286,0.3566567,1.6360253.067031
2019-12-23 17:31:42:319,0.3550921,1.6374273.05278
2019-12-23 17:31:42:351,0.3530798,1.6385163.035784
2019-12-23 17:31:42:385,0.3522205,1.6359253.01901
2019-12-23 17:31:42:426,0.3505959,1.6328833.001067
2019-12-23 17:31:42:461,0.3484748,1.6309082.98569
2019-12-23 17:31:42:493,0.3468101,1.6280412.965271
2019-12-23 17:31:42:528,0.3434061,1.6281852.9458
2019-12-23 17:31:42:564,0.3413502,1.6281912.925045
2019-12-23 17:31:42:601,0.3348187,1.6318082.887
2019-12-23 17:31:42:634,0.3313066,1.632612.872642
2019-12-23 17:31:42:653,0.3313066,1.632612.872642
2019-12-23 17:31:42:684,0.3237009,1.6330072.853775
2019-12-23 17:31:42:718,0.3158953,1.6353322.836154
2019-12-23 17:31:42:751,0.307348,1.6349142.82138
2019-12-23 17:31:42:784,0.3001624,1.6349742.808075
2019-12-23 17:31:42:819,0.2879451,1.6361152.790914
2019-12-23 17:31:42:851,0.277171,1.6393982.779645
2019-12-23 17:31:42:884,0.2614475,1.6410922.76327
2019-12-23 17:31:42:918,0.2479215,1.6410842.750005
2019-12-23 17:31:42:952,0.2318122,1.6411832.736437
2019-12-23 17:31:42:985,0.2161553,1.6416282.724501
2019-12-23 17:31:43:021,0.1970697,1.642522.715485
2019-12-23 17:31:43:054,0.178284,1.6427812.704602
2019-12-23 17:31:43:090,0.1531866,1.6423712.699145
2019-12-23 17:31:43:132,0.1200524,1.6379492.691013
2019-12-23 17:31:43:171,0.06901845,1.6303322.680561
2019-12-23 17:31:43:205,0.04177286,1.633632.674019
2019-12-23 17:31:43:217,0.04177286,1.633632.674019
2019-12-23 17:31:43:253,0.016358,1.6334062.671693
2019-12-23 17:31:43:284,-0.008435658,1.6385482.663193
2019-12-23 17:31:43:318,-0.03045604,1.6441342.656204
2019-12-23 17:31:43:351,-0.04471386,1.6489492.65043
2019-12-23 17:31:43:384,-0.06035548,1.655542.6436
2019-12-23 17:31:43:420,-0.07369655,1.6623592.636461
2019-12-23 17:31:43:456,-0.08543153,1.6669262.626884
2019-12-23 17:31:43:500,-0.09572989,1.6704872.61552
2019-12-23 17:31:43:560,-0.1104693,1.6753332.597143
2019-12-23 17:31:43:604,-0.11633,1.6756662.581541
2019-12-23 17:31:43:659,-0.1203038,1.6785662.561579
2019-12-23 17:31:43:706,-0.1196322,1.6797112.544895
2019-12-23 17:31:43:752,-0.1140144,1.6829712.521736
2019-12-23 17:31:43:785,-0.1087914,1.686412.510413
2019-12-23 17:31:43:820,-0.1026808,1.6899192.499243
2019-12-23 17:31:43:874,-0.08800254,1.6916412.478715
2019-12-23 17:31:43:924,-0.08206142,1.6918612.472202
2019-12-23 17:31:43:967,-0.07634369,1.689172.464157
2019-12-23 17:31:44:007,-0.06972764,1.6899622.45273
2019-12-23 17:31:44:059,-0.06654716,1.6917842.444063
2019-12-23 17:31:44:102,-0.06475358,1.6945212.438345
2019-12-23 17:31:44:141,-0.06253994,1.7014492.427412
2019-12-23 17:31:44:186,-0.06183428,1.70512.420536
2019-12-23 17:31:44:220,-0.06176269,1.7065942.412832
2019-12-23 17:31:44:257,-0.06147074,1.7061462.406509
2019-12-23 17:31:44:292,-0.06250028,1.7036442.395465
2019-12-23 17:31:44:326,-0.06517529,1.7030122.388194
2019-12-23 17:31:44:363,-0.07185537,1.7044172.374026
2019-12-23 17:31:44:399,-0.07230587,1.7079672.367874
2019-12-23 17:31:44:432,-0.07582562,1.7130992.363113
2019-12-23 17:31:44:465,-0.0746204,1.7125482.358453
2019-12-23 17:31:44:498,-0.07388666,1.7114422.354795
2019-12-23 17:31:44:532,-0.07466597,1.7118262.349583
2019-12-23 17:31:44:565,-0.07734008,1.7134942.344394
2019-12-23 17:31:44:605,-0.08074507,1.7162332.339545
2019-12-23 17:31:44:654,-0.08553364,1.7212152.335343
2019-12-23 17:31:44:697,-0.09133653,1.7273062.331081
2019-12-23 17:31:44:734,-0.1435438,1.7707862.330884
2019-12-23 17:31:44:775,-0.1476356,1.7761992.3313
2019-12-23 17:31:44:825,-0.1558799,1.7823982.332035
2019-12-23 17:31:44:865,-0.1653519,1.7893822.332897
2019-12-23 17:31:44:899,-0.174762,1.7980012.335657
2019-12-23 17:31:45:060,-0.1791606,1.8012672.33532
2019-12-23 17:31:45:149,-0.2064024,1.8147612.338383
2019-12-23 17:31:45:202,-0.2217725,1.8213412.353495
2019-12-23 17:31:45:238,-0.2293352,1.8238022.365158
2019-12-23 17:31:45:272,-0.240845,1.8259852.378682
2019-12-23 17:31:45:671,-0.2451365,1.8273132.388467
2019-12-23 17:31:45:925,-0.2089683,1.7876562.5601
2019-12-23 17:31:46:003,-0.1877167,1.7879212.567612
2019-12-23 17:31:46:053,-0.1652746,1.7862972.577158
2019-12-23 17:31:46:088,-0.1332918,1.7765942.576601
2019-12-23 17:31:46:127,-0.1147826,1.7740172.572191
2019-12-23 17:31:46:164,-0.1040342,1.7748992.572218
2019-12-23 17:31:46:198,-0.06570141,1.7782422.565975
2019-12-23 17:31:46:232,-0.06570141,1.7782422.565975
2019-12-23 17:31:46:264,-0.03019533,1.7789012.554527
2019-12-23 17:31:46:295,-0.03019533,1.7789012.554527
2019-12-23 17:31:46:328,-0.01679913,1.7791472.555019
2019-12-23 17:31:46:362,-0.003480259,1.7797452.551131
2019-12-23 17:31:46:393,0.0007968165,1.7821412.550895
2019-12-23 17:31:46:426,0.01011557,1.7822242.549768
2019-12-23 17:31:46:459,0.03206873,1.777912.550614
2019-12-23 17:31:46:492,0.04179789,1.7785262.552465
2019-12-23 17:31:46:526,0.04777301,1.7827732.554369
2019-12-23 17:31:46:559,0.05501727,1.7856912.55667
2019-12-23 17:31:46:593,0.06344132,1.7883522.563717
2019-12-23 17:31:46:629,0.07995398,1.7909942.572122
2019-12-23 17:31:46:659,0.07995398,1.7909942.572122
2019-12-23 17:31:46:693,0.09560287,1.7884562.58323
2019-12-23 17:31:46:726,0.1018191,1.7894832.590378
2019-12-23 17:31:46:760,0.1062228,1.7914292.596454
2019-12-23 17:31:46:795,0.1136238,1.7901472.607481
2019-12-23 17:31:46:836,0.1279462,1.7906592.62994
2019-12-23 17:31:46:875,0.1285358,1.7929912.632307
2019-12-23 17:31:46:921,0.1357012,1.7908582.651685
2019-12-23 17:31:46:960,0.134134,1.7924092.655671
2019-12-23 17:31:46:993,0.1310004,1.790592.674566
2019-12-23 17:31:47:026,0.1322469,1.7876332.684049
2019-12-23 17:31:47:059,0.1420559,1.7831132.708183
2019-12-23 17:31:47:092,0.1412497,1.7819352.716801
2019-12-23 17:31:47:125,0.1466524,1.7799492.737119
2019-12-23 17:31:47:158,0.1426146,1.7781952.750581
2019-12-23 17:31:47:191,0.1569646,1.7771822.770931
2019-12-23 17:31:47:231,0.1550346,1.7761322.786155
2019-12-23 17:31:47:264,0.1645163,1.7784442.817802
2019-12-23 17:31:47:297,0.1705793,1.7761222.822318
2019-12-23 17:31:47:331,0.1944946,1.7786842.864464
2019-12-23 17:31:47:362,0.1944946,1.7786842.864464
2019-12-23 17:31:47:393,0.1933736,1.778572.860563
2019-12-23 17:31:47:431,0.2085917,1.777052.876233
2019-12-23 17:31:47:465,0.2455287,1.7724062.897998
2019-12-23 17:31:47:497,0.2586004,1.7693382.907599
2019-12-23 17:31:47:529,0.2586004,1.7693382.907599
2019-12-23 17:31:47:560,0.2768864,1.7632812.90969
2019-12-23 17:31:47:592,0.3181745,1.7571812.943686
2019-12-23 17:31:47:628,0.3097871,1.7549562.935994
2019-12-23 17:31:47:662,0.3329001,1.7472932.940097
2019-12-23 17:31:47:693,0.3524308,1.7410382.947574
2019-12-23 17:31:47:731,0.3762469,1.7342512.958489
2019-12-23 17:31:47:764,0.4323651,1.7170912.964385
2019-12-23 17:31:47:794,0.4590108,1.7135492.970752
2019-12-23 17:31:47:832,0.4590108,1.7135492.970752
2019-12-23 17:31:47:866,0.5057012,1.7156572.984099
2019-12-23 17:31:47:900,0.5761677,1.7022663.01088
2019-12-23 17:31:47:956,0.5655113,1.717472.99685
2019-12-23 17:31:47:999,0.5778521,1.7191233.005283
2019-12-23 17:31:48:063,0.6074136,1.7184913.027415
2019-12-23 17:31:48:104,0.6378812,1.7197883.051704
2019-12-23 17:31:48:153,0.651269,1.7211913.062666
2019-12-23 17:31:48:187,0.68668,1.7222453.084222
2019-12-23 17:31:48:229,0.6922345,1.7227273.097198
2019-12-23 17:31:48:262,0.7047906,1.7200693.102098
2019-12-23 17:31:48:294,0.7266026,1.7205723.124901
2019-12-23 17:31:48:331,0.7404991,1.719343.140285
2019-12-23 17:31:48:362,0.7422536,1.7125973.14546
2019-12-23 17:31:48:392,0.7651321,1.7080823.166228
2019-12-23 17:31:48:430,0.7829472,1.7036833.191199
2019-12-23 17:31:48:461,0.8067698,1.6924323.21017
2019-12-23 17:31:48:493,0.816273,1.6905513.22353
2019-12-23 17:31:48:530,0.8332385,1.6843813.242905
2019-12-23 17:31:48:562,0.8565275,1.6771543.269434
2019-12-23 17:31:48:594,0.8615327,1.6750673.277565
2019-12-23 17:31:48:629,0.8806795,1.6677013.301276
2019-12-23 17:31:48:665,0.8918491,1.6614473.309885
2019-12-23 17:31:48:699,0.9096882,1.6523493.31875
2019-12-23 17:31:48:735,0.9225898,1.6479223.320796
2019-12-23 17:31:48:767,0.9315014,1.6410033.320009
2019-12-23 17:31:48:798,0.9344487,1.6439033.316467
2019-12-23 17:31:48:835,0.9456286,1.6380863.310374
2019-12-23 17:31:48:869,0.9542744,1.6329573.302557
2019-12-23 17:31:48:903,0.9584448,1.6302353.295663
2019-12-23 17:31:48:921,0.9584448,1.6302353.295663
2019-12-23 17:31:48:961,0.9658375,1.6280143.286077
2019-12-23 17:31:48:993,0.9730499,1.6246073.273977
2019-12-23 17:31:49:030,0.9783103,1.6224473.258377
2019-12-23 17:31:49:068,0.9997494,1.5948173.210613
2019-12-23 17:31:49:125,1.010246,1.6000153.196969
2019-12-23 17:31:49:173,1.021171,1.6035353.157863
2019-12-23 17:31:49:213,1.03015,1.6053863.134355
2019-12-23 17:31:49:255,1.038045,1.6098953.116972
2019-12-23 17:31:49:286,1.04476,1.6109753.093776
2019-12-23 17:31:49:323,1.050424,1.613473.080249
2019-12-23 17:31:49:362,1.057229,1.6157373.063493
2019-12-23 17:31:49:392,1.064001,1.6186793.047663
2019-12-23 17:31:49:428,1.063027,1.6164363.044415
2019-12-23 17:31:49:461,1.072833,1.6151143.015181
2019-12-23 17:31:49:497,1.079523,1.6150442.989648
2019-12-23 17:31:49:520,1.079523,1.6150442.989648
2019-12-23 17:31:49:561,1.081836,1.6140172.9759
2019-12-23 17:31:49:593,1.085027,1.6134532.965052
2019-12-23 17:31:49:630,1.080475,1.6173562.95434
2019-12-23 17:31:49:663,1.081801,1.6201772.946551
2019-12-23 17:31:49:693,1.086054,1.618232.934168
2019-12-23 17:31:49:732,1.092873,1.621432.922789
2019-12-23 17:31:49:765,1.107979,1.6216562.90011
2019-12-23 17:31:49:799,1.117885,1.6199962.887429
2019-12-23 17:31:49:833,1.129767,1.6193522.875742
2019-12-23 17:31:49:854,1.129767,1.6193522.875742
2019-12-23 17:31:49:885,1.139507,1.6175072.865723
2019-12-23 17:31:49:921,1.151637,1.6160142.853121
2019-12-23 17:31:49:955,1.167304,1.6136462.842423
2019-12-23 17:31:49:986,1.180749,1.6151552.82866
2019-12-23 17:31:50:023,1.192968,1.6174352.816473
2019-12-23 17:31:50:060,1.204478,1.6223512.804454
2019-12-23 17:31:50:095,1.212802,1.6255012.793463
2019-12-23 17:31:50:134,1.221853,1.6286162.779143
2019-12-23 17:31:50:171,1.241118,1.6312252.749478
2019-12-23 17:31:50:225,1.247881,1.6310182.737055
