2019-12-23 17:31:35:945, no_human
2019-12-23 17:31:35:957, no_human
2019-12-23 17:31:36:251, no_human
2019-12-23 17:31:36:321, no_human
2019-12-23 17:31:36:338, no_human
2019-12-23 17:31:36:355, no_human
2019-12-23 17:31:36:372, no_human
2019-12-23 17:31:36:389, no_human
2019-12-23 17:31:36:406, no_human
2019-12-23 17:31:36:451, no_human
2019-12-23 17:31:36:465, no_human
2019-12-23 17:31:36:472, no_human
2019-12-23 17:31:36:498, no_human
2019-12-23 17:31:36:506, no_human
2019-12-23 17:31:36:523, no_human
2019-12-23 17:31:36:540, no_human
2019-12-23 17:31:36:557, no_human
2019-12-23 17:31:36:595, no_human
2019-12-23 17:31:36:620, no_human
2019-12-23 17:31:36:652, no_human
2019-12-23 17:31:36:685, no_human
2019-12-23 17:31:36:719, no_human
2019-12-23 17:31:36:748, no_human
2019-12-23 17:31:36:756, no_human
2019-12-23 17:31:36:790, no_human
2019-12-23 17:31:36:819, no_human
2019-12-23 17:31:36:854, no_human
2019-12-23 17:31:36:885, no_human
2019-12-23 17:31:36:919, no_human
2019-12-23 17:31:36:949, no_human
2019-12-23 17:31:36:958, no_human
2019-12-23 17:31:36:991, no_human
2019-12-23 17:31:37:021, no_human
2019-12-23 17:31:37:054, no_human
2019-12-23 17:31:37:089, no_human
2019-12-23 17:31:37:120, no_human
2019-12-23 17:31:37:153, no_human
2019-12-23 17:31:37:185, no_human
2019-12-23 17:31:37:219, no_human
2019-12-23 17:31:37:253, no_human
2019-12-23 17:31:37:285, no_human
2019-12-23 17:31:37:309, no_human
2019-12-23 17:31:37:314, no_human
2019-12-23 17:31:37:351, no_human
2019-12-23 17:31:37:375, no_human
2019-12-23 17:31:37:380, no_human
2019-12-23 17:31:37:418, no_human
2019-12-23 17:31:37:452, no_human
2019-12-23 17:31:37:475, no_human
2019-12-23 17:31:37:481, no_human
2019-12-23 17:31:37:518, no_human
2019-12-23 17:31:37:541, no_human
2019-12-23 17:31:37:546, no_human
2019-12-23 17:31:37:584, no_human
2019-12-23 17:31:37:609, no_human
2019-12-23 17:31:37:613, no_human
2019-12-23 17:31:37:652, no_human
2019-12-23 17:31:37:686, no_human
2019-12-23 17:31:37:715, no_human
2019-12-23 17:31:37:724, no_human
2019-12-23 17:31:37:762, no_human
2019-12-23 17:31:37:787, no_human
2019-12-23 17:31:37:819, no_human
2019-12-23 17:31:37:853, no_human
2019-12-23 17:31:37:886, no_human
2019-12-23 17:31:37:922, no_human
2019-12-23 17:31:37:954, no_human
2019-12-23 17:31:37:986, no_human
2019-12-23 17:31:38:020, no_human
2019-12-23 17:31:38:051, no_human
2019-12-23 17:31:38:086, no_human
2019-12-23 17:31:38:126, no_human
2019-12-23 17:31:38:217, no_human
2019-12-23 17:31:38:226, no_human
2019-12-23 17:31:38:263, no_human
2019-12-23 17:31:38:298, no_human
2019-12-23 17:31:38:331, no_human
2019-12-23 17:31:38:363, no_human
2019-12-23 17:31:38:393, no_human
2019-12-23 17:31:38:421, no_human
2019-12-23 17:31:38:452, no_human
2019-12-23 17:31:38:487, no_human
2019-12-23 17:31:38:521, no_human
2019-12-23 17:31:38:553, no_human
2019-12-23 17:31:38:586, no_human
2019-12-23 17:31:38:620, no_human
2019-12-23 17:31:38:653, no_human
2019-12-23 17:31:38:687, no_human
2019-12-23 17:31:38:721, no_human
2019-12-23 17:31:38:752, no_human
2019-12-23 17:31:38:786, no_human
2019-12-23 17:31:38:820, no_human
2019-12-23 17:31:38:853, no_human
2019-12-23 17:31:38:886, no_human
2019-12-23 17:31:38:920, no_human
2019-12-23 17:31:38:953, no_human
2019-12-23 17:31:38:986, no_human
2019-12-23 17:31:39:019, no_human
2019-12-23 17:31:39:054, no_human
2019-12-23 17:31:39:093, no_human
2019-12-23 17:31:39:127, no_human
2019-12-23 17:31:39:157, no_human
2019-12-23 17:31:39:185, no_human
2019-12-23 17:31:39:220, no_human
2019-12-23 17:31:39:253, no_human
2019-12-23 17:31:39:288, no_human
2019-12-23 17:31:39:322, no_human
2019-12-23 17:31:39:353, no_human
2019-12-23 17:31:39:386, no_human
2019-12-23 17:31:39:420, no_human
2019-12-23 17:31:39:453, no_human
2019-12-23 17:31:39:486, no_human
2019-12-23 17:31:39:518, no_human
2019-12-23 17:31:39:526, no_human
2019-12-23 17:31:39:561, no_human
2019-12-23 17:31:39:591, no_human
2019-12-23 17:31:39:619, no_human
2019-12-23 17:31:39:653, no_human
2019-12-23 17:31:39:687, no_human
2019-12-23 17:31:39:720, no_human
2019-12-23 17:31:39:753, no_human
2019-12-23 17:31:39:786, no_human
2019-12-23 17:31:39:820, no_human
2019-12-23 17:31:39:853, no_human
2019-12-23 17:31:39:885, no_human
2019-12-23 17:31:39:921, no_human
2019-12-23 17:31:39:953, no_human
2019-12-23 17:31:39:987, no_human
2019-12-23 17:31:40:021, no_human
2019-12-23 17:31:40:053, no_human
2019-12-23 17:31:40:085, no_human
2019-12-23 17:31:40:119, no_human
2019-12-23 17:31:40:153, no_human
2019-12-23 17:31:40:187, no_human
2019-12-23 17:31:40:221, no_human
2019-12-23 17:31:40:254, no_human
2019-12-23 17:31:40:287, no_human
2019-12-23 17:31:40:319, no_human
2019-12-23 17:31:40:359, no_human
2019-12-23 17:31:40:393, no_human
2019-12-23 17:31:40:424, no_human
2019-12-23 17:31:40:452, no_human
2019-12-23 17:31:40:486, no_human
2019-12-23 17:31:40:520, no_human
2019-12-23 17:31:40:553, no_human
2019-12-23 17:31:40:586, no_human
2019-12-23 17:31:40:619, no_human
2019-12-23 17:31:40:655, no_human
2019-12-23 17:31:40:685, no_human
2019-12-23 17:31:40:719, no_human
2019-12-23 17:31:40:752, no_human
2019-12-23 17:31:40:785, no_human
2019-12-23 17:31:40:820, no_human
2019-12-23 17:31:40:854, no_human
2019-12-23 17:31:40:886, no_human
2019-12-23 17:31:40:922, no_human
2019-12-23 17:31:40:954, no_human
2019-12-23 17:31:40:986, no_human
2019-12-23 17:31:41:021, no_human
2019-12-23 17:31:41:052, no_human
2019-12-23 17:31:41:085, no_human
2019-12-23 17:31:41:108, no_human
2019-12-23 17:31:41:112, no_human
2019-12-23 17:31:41:151, no_human
2019-12-23 17:31:41:174, no_human
2019-12-23 17:31:41:178, no_human
2019-12-23 17:31:41:219, no_human
2019-12-23 17:31:41:251, no_human
2019-12-23 17:31:41:285, no_human
2019-12-23 17:31:41:320, no_human
2019-12-23 17:31:41:369,0.6907125,0.8396516,2.922864,0.6678647,1.169136,2.936922,0.6425069,1.490343,2.937175,0.6816576,1.620079,2.939187,0.5019647,1.390467,2.841893,0.4102192,1.140949,2.767071,0.3683656,0.8978534,2.649217,0.3811851,0.8419272,2.660734,0.8220474,1.297301,2.971711,0.9229064,1.136072,2.901734,0.8871888,1.311822,2.764522,0.8572464,1.39027,2.688769,0.6088251,0.8641084,2.852773,0.5065961,0.5198017,2.748326,0.4393706,0.02575743,2.594409,0.4677906,0.0692184,2.442495,0.7543895,0.8220516,2.916199,0.6518301,0.988004,2.682447,0.6348489,0.5033047,2.462589,0.6715885,0.5560895,2.343382,0.649327,1.411173,2.939599,0.374389,0.7658666,2.653358,0.3402538,0.8555574,2.610147,0.8282987,1.44142,2.627202,0.8370451,1.581647,2.714818
2019-12-23 17:31:41:407,0.6521624,0.8721127,2.863682,0.6363141,1.184865,2.906258,0.6205325,1.490581,2.932265,0.66381,1.620219,2.933702,0.4599365,1.384976,2.84398,0.3609209,1.144828,2.783319,0.3316805,0.9154717,2.660036,0.3198839,0.8502626,2.643767,0.8059351,1.314586,2.950521,0.9173939,1.238744,2.79931,0.7993209,1.432266,2.723153,0.7635455,1.48954,2.698113,0.5650109,0.8909026,2.791615,0.4895843,0.4772891,2.724317,0.4144243,-0.08391404,2.555076,0.4351489,-0.05164504,2.438869,0.7213303,0.8596045,2.858999,0.4865047,0.9037318,2.608775,0.5160741,0.3526652,2.684748,0.5167599,0.3333315,2.544246,0.6250443,1.414743,2.929048,0.3427719,0.7817097,2.641413,0.2838206,0.8459144,2.637057,0.7266393,1.532502,2.662108,0.7143385,1.694092,2.6768
2019-12-23 17:31:41:441,0.6077483,0.8290792,2.841022,0.6086718,1.167602,2.89205,0.608433,1.490784,2.928166,0.641839,1.624483,2.928595,0.4486129,1.384192,2.844318,0.3441153,1.148744,2.789678,0.3167814,0.9234808,2.665977,0.3052596,0.8517396,2.645361,0.7934434,1.326584,2.932227,0.9093221,1.25895,2.783664,0.7668384,1.46879,2.726154,0.7306064,1.52404,2.710192,0.5195092,0.8443571,2.775798,0.4823952,0.4440294,2.723315,0.4083411,-0.1120738,2.559814,0.430585,-0.06923163,2.426961,0.6794795,0.821135,2.829438,0.6462597,0.5226192,2.843596,0.646753,0.1825352,2.884622,0.6209483,0.1340256,2.716093,0.609839,1.412264,2.922636,0.3285742,0.780238,2.634764,0.2694468,0.8619457,2.64,0.6821373,1.572929,2.681402,0.6802925,1.727843,2.6916
2019-12-23 17:31:41:488,0.6020019,0.8396376,2.838284,0.5992835,1.170611,2.887774,0.5890285,1.48961,2.920384,0.6226077,1.623343,2.923523,0.4353554,1.382063,2.844335,0.3257798,1.152331,2.792746,0.3072735,0.9247246,2.671586,0.2876179,0.848608,2.650437,0.7770603,1.332009,2.912993,0.8788069,1.307537,2.743068,0.7445185,1.498633,2.720958,0.6988049,1.557393,2.718312,0.5136556,0.8537894,2.774408,0.4736003,0.4423774,2.721708,0.4077143,-0.1053144,2.563209,0.4319607,-0.06866324,2.429984,0.6738673,0.8327806,2.824783,0.6719649,0.410311,2.854064,0.6731188,0.05918765,2.88602,0.6405505,0.04866517,2.711061,0.5921963,1.411726,2.914966,0.3128897,0.7804126,2.643278,0.2511682,0.8441449,2.644543,0.6514717,1.602812,2.709105,0.6882845,1.718806,2.718846
2019-12-23 17:31:41:529,0.5846337,0.8342369,2.830698,0.5793934,1.166195,2.880938,0.5730702,1.488564,2.91705,0.5990303,1.62326,2.912625,0.4191486,1.379083,2.845593,0.3144002,1.149122,2.801363,0.2918394,0.9244546,2.680885,0.2728992,0.8426263,2.655679,0.7602084,1.336296,2.897394,0.8719922,1.321507,2.735998,0.7153365,1.518436,2.729226,0.6712149,1.575843,2.730574,0.4961805,0.8475809,2.770634,0.446732,0.4068307,2.742559,0.4229412,0.02047634,2.531618,0.441555,0.09918511,2.408125,0.6563734,0.8281362,2.812488,0.6209716,0.5077873,2.823166,0.6984697,0.08722317,2.875057,0.6583846,0.07334661,2.702148,0.5750985,1.409496,2.910672,0.2979244,0.7722789,2.646806,0.235246,0.8349392,2.65126,0.6189078,1.667298,2.748905,0.6164083,1.764347,2.803
2019-12-23 17:31:41:560,0.5705605,0.8353683,2.825838,0.572591,1.166032,2.878461,0.5702847,1.488016,2.916065,0.5909284,1.621601,2.908038,0.397865,1.376807,2.84884,0.3025091,1.144735,2.808256,0.2783371,0.9223906,2.687991,0.259799,0.8378842,2.664279,0.7540198,1.339025,2.892577,0.8552248,1.347937,2.724851,0.7026197,1.530309,2.730822,0.6482465,1.590082,2.740596,0.4822862,0.8474,2.768517,0.4418627,0.395484,2.7436,0.4223519,0.01875079,2.525904,0.4346352,0.09079993,2.406779,0.6426711,0.8307201,2.804742,0.63051,0.5025097,2.820827,0.6973091,0.0687077,2.882423,0.6552611,0.07237208,2.706458,0.5714643,1.408899,2.909337,0.2815453,0.7667691,2.655002,0.2227101,0.8374471,2.66264,0.6017063,1.656474,2.753045,0.6164957,1.764676,2.804965
2019-12-23 17:31:41:593,0.5558808,0.835892,2.817895,0.5494764,1.164416,2.867874,0.5398134,1.48343,2.90389,0.5757006,1.618796,2.897864,0.381995,1.374734,2.848748,0.2923092,1.141678,2.810957,0.2647347,0.9169836,2.699696,0.2429404,0.8317538,2.66967,0.7208507,1.353733,2.868831,0.838937,1.357562,2.715188,0.6870053,1.530505,2.731359,0.6178579,1.599377,2.749235,0.4672467,0.8455462,2.763037,0.4372942,0.3747388,2.745651,0.4186997,0.004745722,2.521462,0.421096,0.07737756,2.407676,0.6286655,0.8337332,2.794236,0.6757657,0.403862,2.832253,0.6680076,0.02545977,2.883839,0.6356074,0.02248132,2.707583,0.5426528,1.404938,2.897381,0.2728914,0.7571859,2.658397,0.2048874,0.8174368,2.662864,0.5633469,1.676411,2.764508,0.5815502,1.751026,2.797412
2019-12-23 17:31:41:626,0.5440816,0.8366587,2.811942,0.5361133,1.163503,2.863589,0.5254506,1.481107,2.901337,0.5617344,1.616308,2.890357,0.3556508,1.373743,2.850134,0.2781177,1.137846,2.814171,0.2513033,0.9126021,2.707541,0.2303663,0.8194691,2.677534,0.7102942,1.358263,2.861863,0.8224224,1.36768,2.704747,0.6547678,1.545937,2.72567,0.6319126,1.580638,2.733484,0.4556452,0.8445015,2.758534,0.4308064,0.3552453,2.744305,0.4177679,-0.007844448,2.521453,0.4163056,0.06004167,2.407307,0.6171381,0.8363254,2.786932,0.6919904,0.3632038,2.836152,0.6804833,-0.02272236,2.882068,0.645216,-0.05781686,2.712929,0.5285639,1.402928,2.894407,0.2550529,0.7512382,2.666408,0.1959002,0.8081294,2.673048,0.5962638,1.667935,2.72097,0.599784,1.758205,2.736
2019-12-23 17:31:41:659,0.5306691,0.8517979,2.806284,0.5238137,1.169091,2.859589,0.5125058,1.480206,2.8981,0.5460512,1.615241,2.882756,0.3414505,1.372719,2.853458,0.2674337,1.136583,2.819727,0.2357333,0.9130674,2.712905,0.2216563,0.8303548,2.688879,0.6921489,1.367542,2.850739,0.7974309,1.383291,2.689674,0.6314151,1.55913,2.721884,0.5718201,1.615624,2.734131,0.4469966,0.8525402,2.758961,0.4271995,0.346106,2.744053,0.41664,-0.009754658,2.529227,0.4101389,0.05200207,2.409764,0.5978211,0.8611525,2.77181,0.6878514,0.3751572,2.831066,0.6823595,-0.02099562,2.887264,0.6454329,-0.0502106,2.7177,0.5160053,1.403567,2.891048,0.2358274,0.7481924,2.681155,0.1818741,0.832972,2.684824,0.5088028,1.668279,2.747478,0.5654039,1.774747,2.745728
2019-12-23 17:31:41:692,0.5190215,0.8031611,2.803052,0.5136867,1.154222,2.859586,0.5042205,1.479308,2.898405,0.5303765,1.617508,2.882926,0.3298336,1.364985,2.857002,0.2529888,1.133844,2.827342,0.2233454,0.9127403,2.724578,0.2099152,0.8176211,2.69567,0.6779287,1.361182,2.841691,0.7573969,1.415731,2.676405,0.6079057,1.559336,2.718611,0.5565693,1.616499,2.725451,0.4307779,0.8090242,2.757848,0.4221849,0.2745613,2.756061,0.4156596,-0.1139753,2.547374,0.4312997,-0.07774317,2.43198,0.592515,0.8066254,2.766276,0.6870285,0.3499585,2.833483,0.6776875,-0.01838696,2.908029,0.6419643,-0.03961492,2.739848,0.5075223,1.400196,2.891622,0.2199194,0.7508203,2.680886,0.1731663,0.809137,2.6885,0.499242,1.669285,2.71783,0.534371,1.794734,2.734417
2019-12-23 17:31:41:726,0.5182473,0.8040141,2.801945,0.5074281,1.151479,2.856815,0.4900546,1.477559,2.895172,0.5055369,1.617519,2.880595,0.315604,1.362251,2.859262,0.2459475,1.129047,2.832714,0.204623,0.9066385,2.738623,0.1920342,0.8203025,2.710938,0.6522804,1.357361,2.829079,0.7527102,1.415203,2.679209,0.6040885,1.557925,2.714978,0.5401317,1.620044,2.720836,0.4304649,0.8094703,2.757711,0.4218335,0.2760269,2.755729,0.4157801,-0.1342841,2.54172,0.4353452,-0.08323312,2.420817,0.5907775,0.8079867,2.763218,0.6580865,0.4006276,2.7955,0.6764119,-0.00391376,2.902439,0.6419777,-0.03320289,2.737246,0.4950885,1.397576,2.888275,0.2003546,0.752718,2.696974,0.1555024,0.8179749,2.710733,0.48389,1.677907,2.718035,0.5191233,1.79664,2.727563
2019-12-23 17:31:41:759,0.5153331,0.8134496,2.797258,0.5013032,1.153242,2.853126,0.4804831,1.477854,2.891963,0.4938231,1.618081,2.876288,0.3008982,1.362843,2.863343,0.2349579,1.128657,2.843565,0.187104,0.9078505,2.749083,0.1820308,0.8135192,2.729148,0.6459952,1.358124,2.825866,0.7215577,1.42734,2.665011,0.5656489,1.579659,2.713521,0.5202812,1.628174,2.713687,0.4289574,0.817538,2.756367,0.4204268,0.284035,2.752664,0.4160431,-0.1372293,2.544314,0.4395151,-0.08138824,2.433563,0.5862854,0.8183023,2.755264,0.6645322,0.3727779,2.786101,0.665542,-0.008038878,2.868696,0.6318115,-0.02933455,2.700492,0.4862523,1.398166,2.884874,0.1906383,0.7421184,2.716422,0.1585825,0.8157548,2.703227,0.4613005,1.678393,2.712456,0.5077842,1.795735,2.719154
2019-12-23 17:31:41:788,0.5099953,0.8194684,2.792234,0.491167,1.155587,2.848402,0.4673814,1.478685,2.888858,0.4779795,1.618063,2.871465,0.2939498,1.361434,2.863739,0.2269513,1.127055,2.848814,0.1768896,0.9058881,2.755085,0.1641613,0.8129323,2.736476,0.6255842,1.359313,2.812783,0.7031232,1.432824,2.654699,0.5605715,1.575348,2.700911,0.5001863,1.638324,2.708548,0.4249807,0.8225331,2.754137,0.4195385,0.2869199,2.751466,0.4171335,-0.1372846,2.546309,0.4527147,-0.06459868,2.420759,0.5799295,0.824738,2.747862,0.6592562,0.3688838,2.7787,0.650237,-0.04840958,2.83449,0.6183384,-0.05814219,2.663997,0.473792,1.399288,2.881332,0.175003,0.740381,2.726689,0.1258383,0.8069873,2.760167,0.4420844,1.684108,2.725304,0.474656,1.811934,2.705222
2019-12-23 17:31:41:818,0.5048531,0.8207462,2.788378,0.4819201,1.155877,2.843799,0.4558948,1.479322,2.884516,0.4628668,1.619681,2.864279,0.2795786,1.357501,2.866315,0.2179276,1.121415,2.855571,0.1613692,0.8988274,2.769007,0.154942,0.8083813,2.750566,0.6083564,1.35934,2.804361,0.6903368,1.432925,2.648491,0.5566995,1.573013,2.689714,0.4949077,1.63176,2.700909,0.4214196,0.8234468,2.753278,0.4195169,0.2869301,2.751314,0.4189302,-0.1420804,2.546096,0.4342517,-0.08253372,2.437238,0.5730426,0.8263474,2.740167,0.640479,0.2561392,2.778724,0.6382193,-0.046664,2.808981,0.607549,-0.05708623,2.63728,0.4627854,1.399768,2.87692,0.1621546,0.7383351,2.737716,0.1183516,0.8002123,2.782615,0.4371425,1.686312,2.710171,0.4923458,1.791932,2.70775
2019-12-23 17:31:41:850,0.4988931,0.8211629,2.782812,0.4752749,1.154547,2.837849,0.4494798,1.47718,2.878413,0.4490369,1.61973,2.858062,0.2709109,1.355704,2.867138,0.2085847,1.11995,2.860836,0.1521521,0.8968148,2.775631,0.1459511,0.816074,2.753981,0.5997774,1.35857,2.793257,0.6756295,1.432761,2.634043,0.5136281,1.600548,2.685303,0.4776787,1.641923,2.693511,0.4165212,0.8239124,2.749426,0.415586,0.2848017,2.744494,0.4204266,-0.1468841,2.542378,0.4288656,-0.08191526,2.437971,0.5669377,0.8265734,2.734307,0.610621,0.4033017,2.706605,0.6351837,-0.01903498,2.783741,0.5909058,-0.04479349,2.615643,0.4562801,1.397797,2.870869,0.1449767,0.7502596,2.734331,0.1127354,0.8214962,2.779,0.4180069,1.693004,2.717578,0.4665677,1.802147,2.694769
