2019-12-23 17:31:35:945, no_human
2019-12-23 17:31:35:957, no_human
2019-12-23 17:31:36:251, no_human
2019-12-23 17:31:36:321, no_human
2019-12-23 17:31:36:338, no_human
2019-12-23 17:31:36:355, no_human
2019-12-23 17:31:36:372, no_human
2019-12-23 17:31:36:389, no_human
2019-12-23 17:31:36:406, no_human
2019-12-23 17:31:36:451, no_human
2019-12-23 17:31:36:465, no_human
2019-12-23 17:31:36:472, no_human
2019-12-23 17:31:36:498, no_human
2019-12-23 17:31:36:506, no_human
2019-12-23 17:31:36:523, no_human
2019-12-23 17:31:36:540, no_human
2019-12-23 17:31:36:557, no_human
2019-12-23 17:31:36:595, no_human
2019-12-23 17:31:36:620, no_human
2019-12-23 17:31:36:652, no_human
2019-12-23 17:31:36:685, no_human
2019-12-23 17:31:36:719, no_human
2019-12-23 17:31:36:748, no_human
2019-12-23 17:31:36:756, no_human
2019-12-23 17:31:36:790, no_human
2019-12-23 17:31:36:819, no_human
2019-12-23 17:31:36:854, no_human
2019-12-23 17:31:36:885, no_human
2019-12-23 17:31:36:919, no_human
2019-12-23 17:31:36:949, no_human
2019-12-23 17:31:36:958, no_human
2019-12-23 17:31:36:991, no_human
2019-12-23 17:31:37:021, no_human
2019-12-23 17:31:37:054, no_human
2019-12-23 17:31:37:089, no_human
2019-12-23 17:31:37:120, no_human
2019-12-23 17:31:37:153, no_human
2019-12-23 17:31:37:185, no_human
2019-12-23 17:31:37:219, no_human
2019-12-23 17:31:37:253, no_human
2019-12-23 17:31:37:285, no_human
2019-12-23 17:31:37:309, no_human
2019-12-23 17:31:37:314, no_human
2019-12-23 17:31:37:351, no_human
2019-12-23 17:31:37:375, no_human
2019-12-23 17:31:37:380, no_human
2019-12-23 17:31:37:418, no_human
2019-12-23 17:31:37:452, no_human
2019-12-23 17:31:37:475, no_human
2019-12-23 17:31:37:481, no_human
2019-12-23 17:31:37:518, no_human
2019-12-23 17:31:37:541, no_human
2019-12-23 17:31:37:546, no_human
2019-12-23 17:31:37:584, no_human
2019-12-23 17:31:37:609, no_human
2019-12-23 17:31:37:613, no_human
2019-12-23 17:31:37:652, no_human
2019-12-23 17:31:37:686, no_human
2019-12-23 17:31:37:715, no_human
2019-12-23 17:31:37:724, no_human
2019-12-23 17:31:37:762, no_human
2019-12-23 17:31:37:787, no_human
2019-12-23 17:31:37:819, no_human
2019-12-23 17:31:37:853, no_human
2019-12-23 17:31:37:886, no_human
2019-12-23 17:31:37:922, no_human
2019-12-23 17:31:37:954, no_human
2019-12-23 17:31:37:986, no_human
2019-12-23 17:31:38:020, no_human
2019-12-23 17:31:38:051, no_human
2019-12-23 17:31:38:086, no_human
2019-12-23 17:31:38:126, no_human
2019-12-23 17:31:38:217, no_human
2019-12-23 17:31:38:226, no_human
2019-12-23 17:31:38:263, no_human
2019-12-23 17:31:38:298, no_human
2019-12-23 17:31:38:331, no_human
2019-12-23 17:31:38:363, no_human
2019-12-23 17:31:38:393, no_human
2019-12-23 17:31:38:421, no_human
2019-12-23 17:31:38:452, no_human
2019-12-23 17:31:38:487, no_human
2019-12-23 17:31:38:521, no_human
2019-12-23 17:31:38:553, no_human
2019-12-23 17:31:38:586, no_human
2019-12-23 17:31:38:620, no_human
2019-12-23 17:31:38:653, no_human
2019-12-23 17:31:38:687, no_human
2019-12-23 17:31:38:721, no_human
2019-12-23 17:31:38:752, no_human
2019-12-23 17:31:38:786, no_human
2019-12-23 17:31:38:820, no_human
2019-12-23 17:31:38:853, no_human
2019-12-23 17:31:38:886, no_human
2019-12-23 17:31:38:920, no_human
2019-12-23 17:31:38:953, no_human
2019-12-23 17:31:38:986, no_human
2019-12-23 17:31:39:019, no_human
2019-12-23 17:31:39:054, no_human
2019-12-23 17:31:39:093, no_human
2019-12-23 17:31:39:127, no_human
2019-12-23 17:31:39:157, no_human
2019-12-23 17:31:39:185, no_human
2019-12-23 17:31:39:220, no_human
2019-12-23 17:31:39:253, no_human
2019-12-23 17:31:39:288, no_human
2019-12-23 17:31:39:322, no_human
2019-12-23 17:31:39:353, no_human
2019-12-23 17:31:39:386, no_human
2019-12-23 17:31:39:420, no_human
2019-12-23 17:31:39:453, no_human
2019-12-23 17:31:39:486, no_human
2019-12-23 17:31:39:518, no_human
2019-12-23 17:31:39:526, no_human
2019-12-23 17:31:39:561, no_human
2019-12-23 17:31:39:591, no_human
2019-12-23 17:31:39:619, no_human
2019-12-23 17:31:39:653, no_human
2019-12-23 17:31:39:687, no_human
2019-12-23 17:31:39:720, no_human
2019-12-23 17:31:39:753, no_human
2019-12-23 17:31:39:786, no_human
2019-12-23 17:31:39:820, no_human
2019-12-23 17:31:39:853, no_human
2019-12-23 17:31:39:885, no_human
2019-12-23 17:31:39:921, no_human
2019-12-23 17:31:39:953, no_human
2019-12-23 17:31:39:987, no_human
2019-12-23 17:31:40:021, no_human
2019-12-23 17:31:40:053, no_human
2019-12-23 17:31:40:085, no_human
2019-12-23 17:31:40:119, no_human
2019-12-23 17:31:40:153, no_human
2019-12-23 17:31:40:187, no_human
2019-12-23 17:31:40:221, no_human
2019-12-23 17:31:40:254, no_human
2019-12-23 17:31:40:287, no_human
2019-12-23 17:31:40:319, no_human
2019-12-23 17:31:40:359, no_human
2019-12-23 17:31:40:393, no_human
2019-12-23 17:31:40:424, no_human
2019-12-23 17:31:40:452, no_human
2019-12-23 17:31:40:486, no_human
2019-12-23 17:31:40:520, no_human
2019-12-23 17:31:40:553, no_human
2019-12-23 17:31:40:586, no_human
2019-12-23 17:31:40:619, no_human
2019-12-23 17:31:40:655, no_human
2019-12-23 17:31:40:685, no_human
2019-12-23 17:31:40:719, no_human
2019-12-23 17:31:40:752, no_human
2019-12-23 17:31:40:785, no_human
2019-12-23 17:31:40:820, no_human
2019-12-23 17:31:40:854, no_human
2019-12-23 17:31:40:886, no_human
2019-12-23 17:31:40:922, no_human
2019-12-23 17:31:40:954, no_human
2019-12-23 17:31:40:986, no_human
2019-12-23 17:31:41:021, no_human
2019-12-23 17:31:41:052, no_human
2019-12-23 17:31:41:085, no_human
2019-12-23 17:31:41:108, no_human
2019-12-23 17:31:41:112, no_human
2019-12-23 17:31:41:151, no_human
2019-12-23 17:31:41:174, no_human
2019-12-23 17:31:41:178, no_human
2019-12-23 17:31:41:219, no_human
2019-12-23 17:31:41:251, no_human
2019-12-23 17:31:41:285, no_human
2019-12-23 17:31:41:320, no_human
2019-12-23 17:31:41:369,-0.9407125,1.960348,-1.082864,-0.9178647,1.630864,-1.096922,-0.8925069,1.309657,-1.097174,-0.9316576,1.179922,-1.099187,-0.7519647,1.409533,-1.001893,-0.6602192,1.659051,-0.9270712,-0.6183656,1.902147,-0.8092173,-0.6311851,1.958073,-0.8207343,-1.072047,1.502699,-1.131711,-1.172906,1.663928,-1.061734,-1.137189,1.488178,-0.9245215,-1.107246,1.40973,-0.8487692,-0.8588251,1.935892,-1.012773,-0.7565961,2.280198,-0.9083262,-0.6893706,2.774243,-0.7544087,-0.7177906,2.730782,-0.6024948,-1.00439,1.977948,-1.076199,-0.9018301,1.811996,-0.8424471,-0.8848489,2.296695,-0.6225887,-0.9215885,2.243911,-0.5033818,-0.899327,1.388827,-1.099599,-0.6243889,2.034133,-0.8133577,-0.5902538,1.944443,-0.7701474,-1.078299,1.358581,-0.7872017,-1.087045,1.518353,-0.544818,
2019-12-23 17:31:41:407,-0.9021624,1.927887,-1.023681,-0.8863141,1.615135,-1.066258,-0.8705325,1.309419,-1.092264,-0.91381,1.179781,-1.093702,-0.7099365,1.415024,-1.00398,-0.6109209,1.655172,-0.9433194,-0.5816805,1.884528,-0.8200362,-0.5698838,1.949737,-0.8037668,-1.055935,1.485414,-1.11052,-1.167394,1.561256,-0.9593096,-1.049321,1.367734,-0.883153,-1.013546,1.31046,-0.8581126,-0.8150109,1.909097,-0.9516144,-0.7395843,2.322711,-0.884317,-0.6644243,2.883914,-0.7150763,-0.6851489,2.851645,-0.5988684,-0.9713303,1.940396,-1.018998,-0.7365047,1.896268,-0.7687746,-0.7660741,2.447335,-0.8447483,-0.7667599,2.466669,-0.7042461,-0.8750443,1.385257,-1.089048,-0.5927719,2.01829,-0.8014126,-0.5338206,1.954086,-0.7970565,-0.9766393,1.267498,-0.8221083,-0.9643385,1.405908,-0.5068001,
2019-12-23 17:31:41:441,-0.8577483,1.970921,-1.001021,-0.8586718,1.632398,-1.05205,-0.858433,1.309216,-1.088166,-0.891839,1.175517,-1.088595,-0.6986129,1.415808,-1.004318,-0.5941153,1.651256,-0.9496778,-0.5667814,1.876519,-0.8259774,-0.5552596,1.94826,-0.8053609,-1.043443,1.473416,-1.092227,-1.159322,1.54105,-0.9436641,-1.016838,1.33121,-0.886154,-0.9806064,1.27596,-0.8701916,-0.7695092,1.955643,-0.9357982,-0.7323952,2.355971,-0.8833144,-0.6583411,2.912074,-0.7198141,-0.680585,2.869232,-0.5869611,-0.9294795,1.978865,-0.9894376,-0.8962597,2.277381,-1.003595,-0.896753,2.617465,-1.044622,-0.8709483,2.665974,-0.8760932,-0.859839,1.387736,-1.082635,-0.5785742,2.019762,-0.7947641,-0.5194468,1.938054,-0.8,-0.9321373,1.227071,-0.8414021,-0.9302925,1.372157,-0.5216001,
2019-12-23 17:31:41:488,-0.8520019,1.960362,-0.9982839,-0.8492835,1.629389,-1.047773,-0.8390285,1.31039,-1.080384,-0.8726077,1.176657,-1.083523,-0.6853554,1.417937,-1.004335,-0.5757798,1.647669,-0.9527455,-0.5572735,1.875275,-0.8315857,-0.5376179,1.951392,-0.810437,-1.02706,1.467991,-1.072993,-1.128807,1.492463,-0.9030674,-0.9945185,1.301367,-0.8809577,-0.9488049,1.242607,-0.8783117,-0.7636556,1.946211,-0.9344078,-0.7236003,2.357623,-0.8817082,-0.6577142,2.905314,-0.7232085,-0.6819607,2.868663,-0.5899842,-0.9238673,1.967219,-0.984783,-0.9219649,2.389689,-1.014064,-0.9231188,2.740812,-1.04602,-0.8905505,2.751335,-0.8710614,-0.8421963,1.388274,-1.074966,-0.5628897,2.019588,-0.8032778,-0.5011681,1.955855,-0.8045428,-0.9014717,1.197188,-0.8691054,-0.9382845,1.381194,-0.5488464,
2019-12-23 17:31:41:529,-0.8346337,1.965763,-0.9906977,-0.8293934,1.633805,-1.040938,-0.8230702,1.311436,-1.077049,-0.8490303,1.17674,-1.072625,-0.6691486,1.420917,-1.005593,-0.5644002,1.650878,-0.9613624,-0.5418394,1.875546,-0.8408847,-0.5228993,1.957374,-0.8156794,-1.010208,1.463704,-1.057394,-1.121992,1.478493,-0.8959978,-0.9653365,1.281564,-0.8892258,-0.9212149,1.224157,-0.8905736,-0.7461805,1.952419,-0.9306336,-0.696732,2.393169,-0.9025589,-0.6729412,2.779524,-0.6916183,-0.691555,2.700815,-0.5681248,-0.9063734,1.971864,-0.9724882,-0.8709716,2.292213,-0.9831663,-0.9484697,2.712777,-1.035057,-0.9083846,2.726654,-0.8621479,-0.8250985,1.390504,-1.070672,-0.5479244,2.027721,-0.8068064,-0.485246,1.965061,-0.8112596,-0.8689078,1.132702,-0.9089051,-0.8664083,1.335653,-0.633,
2019-12-23 17:31:41:560,-0.8205605,1.964632,-0.9858375,-0.822591,1.633968,-1.038461,-0.8202847,1.311984,-1.076065,-0.8409284,1.178399,-1.068038,-0.6478651,1.423193,-1.00884,-0.5525091,1.655265,-0.9682561,-0.5283371,1.877609,-0.8479913,-0.509799,1.962116,-0.8242791,-1.00402,1.460975,-1.052577,-1.105225,1.452063,-0.884851,-0.9526197,1.269691,-0.8908222,-0.8982465,1.209918,-0.9005955,-0.7322862,1.9526,-0.9285174,-0.6918627,2.404516,-0.9036,-0.6723519,2.781249,-0.6859043,-0.6846352,2.7092,-0.5667787,-0.8926711,1.96928,-0.9647418,-0.88051,2.29749,-0.9808274,-0.9473091,2.731292,-1.042423,-0.9052611,2.727628,-0.8664575,-0.8214643,1.391101,-1.069337,-0.5315453,2.033231,-0.8150015,-0.4727101,1.962553,-0.82264,-0.8517063,1.143526,-0.9130448,-0.8664957,1.335324,-0.6349648,
2019-12-23 17:31:41:593,-0.8058808,1.964108,-0.9778953,-0.7994764,1.635584,-1.027874,-0.7898134,1.316571,-1.06389,-0.8257006,1.181204,-1.057863,-0.631995,1.425267,-1.008748,-0.5423092,1.658322,-0.9709566,-0.5147346,1.883016,-0.8596955,-0.4929404,1.968246,-0.8296698,-0.9708507,1.446267,-1.028831,-1.088937,1.442438,-0.8751877,-0.9370053,1.269495,-0.8913594,-0.8678579,1.200623,-0.9092353,-0.7172467,1.954454,-0.9230374,-0.6872942,2.425261,-0.9056512,-0.6686996,2.795254,-0.6814621,-0.671096,2.722622,-0.5676757,-0.8786655,1.966267,-0.9542361,-0.9257657,2.396138,-0.9922531,-0.9180076,2.77454,-1.043839,-0.8856074,2.777519,-0.8675826,-0.7926528,1.395062,-1.057381,-0.5228914,2.042814,-0.8183971,-0.4548874,1.982563,-0.8228636,-0.8133469,1.123589,-0.9245082,-0.8315502,1.348974,-0.6274117,
2019-12-23 17:31:41:626,-0.7940816,1.963341,-0.9719422,-0.7861133,1.636497,-1.023588,-0.7754506,1.318894,-1.061337,-0.8117344,1.183692,-1.050356,-0.6056508,1.426257,-1.010134,-0.5281178,1.662154,-0.9741707,-0.5013033,1.887398,-0.8675409,-0.4803663,1.980531,-0.8375338,-0.9602942,1.441737,-1.021863,-1.072422,1.43232,-0.8647469,-0.9047678,1.254063,-0.8856698,-0.8819126,1.219362,-0.8934842,-0.7056452,1.955499,-0.9185336,-0.6808064,2.444755,-0.9043048,-0.6677679,2.807845,-0.6814533,-0.6663056,2.739958,-0.5673066,-0.8671381,1.963675,-0.9469314,-0.9419904,2.436796,-0.9961515,-0.9304833,2.822722,-1.042068,-0.895216,2.857817,-0.8729284,-0.7785639,1.397072,-1.054406,-0.5050529,2.048762,-0.8264077,-0.4459002,1.991871,-0.8330474,-0.8462638,1.132065,-0.8809701,-0.849784,1.341795,-0.5660001,
2019-12-23 17:31:41:659,-0.7806691,1.948202,-0.9662839,-0.7738137,1.630909,-1.019589,-0.7625058,1.319794,-1.0581,-0.7960512,1.184759,-1.042756,-0.5914505,1.427281,-1.013458,-0.5174336,1.663417,-0.9797271,-0.4857333,1.886933,-0.8729053,-0.4716563,1.969645,-0.8488784,-0.9421489,1.432458,-1.010738,-1.047431,1.416709,-0.8496738,-0.8814151,1.24087,-0.8818839,-0.8218201,1.184376,-0.8941308,-0.6969966,1.94746,-0.9189609,-0.6771995,2.453894,-0.9040528,-0.66664,2.809755,-0.6892269,-0.6601389,2.747998,-0.5697642,-0.8478211,1.938848,-0.9318102,-0.9378514,2.424843,-0.9910656,-0.9323595,2.820996,-1.047264,-0.8954329,2.850211,-0.8777004,-0.7660053,1.396433,-1.051048,-0.4858274,2.051808,-0.8411554,-0.4318742,1.967028,-0.8448234,-0.7588028,1.131721,-0.9074782,-0.8154039,1.325253,-0.5757276,
2019-12-23 17:31:41:692,-0.7690215,1.996839,-0.9630516,-0.7636867,1.645778,-1.019586,-0.7542205,1.320692,-1.058405,-0.7803765,1.182492,-1.042925,-0.5798336,1.435015,-1.017002,-0.5029888,1.666156,-0.9873419,-0.4733454,1.88726,-0.884578,-0.4599152,1.982379,-0.8556703,-0.9279287,1.438818,-1.001691,-1.007397,1.384269,-0.8364049,-0.8579057,1.240664,-0.8786104,-0.8065693,1.183501,-0.8854509,-0.6807779,1.990976,-0.9178475,-0.6721849,2.525439,-0.916061,-0.6656597,2.913975,-0.7073737,-0.6812997,2.877743,-0.5919798,-0.842515,1.993375,-0.9262756,-0.9370285,2.450042,-0.9934824,-0.9276875,2.818387,-1.068029,-0.8919643,2.839615,-0.8998476,-0.7575223,1.399804,-1.051622,-0.4699194,2.04918,-0.8408862,-0.4231663,1.990863,-0.8485001,-0.7492421,1.130715,-0.8778298,-0.784371,1.305266,-0.5644168,
2019-12-23 17:31:41:726,-0.7682473,1.995986,-0.9619449,-0.7574281,1.648521,-1.016815,-0.7400546,1.322441,-1.055171,-0.7555369,1.182482,-1.040595,-0.565604,1.437749,-1.019261,-0.4959475,1.670953,-0.9927142,-0.454623,1.893362,-0.8986226,-0.4420342,1.979697,-0.8709379,-0.9022804,1.442639,-0.9890793,-1.00271,1.384797,-0.8392084,-0.8540885,1.242075,-0.8749784,-0.7901317,1.179955,-0.8808361,-0.6804649,1.99053,-0.9177111,-0.6718335,2.523973,-0.9157293,-0.6657801,2.934284,-0.7017203,-0.6853452,2.883233,-0.5808173,-0.8407775,1.992013,-0.9232181,-0.9080865,2.399373,-0.9554997,-0.9264119,2.803914,-1.062439,-0.8919777,2.833203,-0.8972457,-0.7450885,1.402424,-1.048275,-0.4503546,2.047282,-0.8569739,-0.4055024,1.982025,-0.8707333,-0.7338899,1.122093,-0.8780347,-0.7691233,1.30336,-0.5575627,
2019-12-23 17:31:41:759,-0.7653331,1.986551,-0.9572578,-0.7513032,1.646758,-1.013126,-0.7304831,1.322146,-1.051962,-0.7438231,1.181919,-1.036288,-0.5508982,1.437157,-1.023343,-0.4849579,1.671343,-1.003564,-0.437104,1.89215,-0.9090825,-0.4320307,1.986481,-0.8891483,-0.8959952,1.441876,-0.9858661,-0.9715577,1.37266,-0.8250111,-0.8156489,1.220341,-0.8735214,-0.7702812,1.171826,-0.8736866,-0.6789575,1.982462,-0.9163671,-0.6704268,2.515965,-0.9126642,-0.6660431,2.937229,-0.7043136,-0.6895151,2.881388,-0.5935624,-0.8362854,1.981698,-0.9152637,-0.9145322,2.427222,-0.9461008,-0.915542,2.808039,-1.028696,-0.8818115,2.829335,-0.8604916,-0.7362523,1.401834,-1.044873,-0.4406382,2.057882,-0.876422,-0.4085825,1.984245,-0.8632272,-0.7113005,1.121608,-0.8724554,-0.7577842,1.304265,-0.5491539,
2019-12-23 17:31:41:788,-0.7599953,1.980532,-0.9522341,-0.741167,1.644413,-1.008402,-0.7173815,1.321315,-1.048858,-0.7279794,1.181937,-1.031465,-0.5439498,1.438566,-1.023739,-0.4769513,1.672945,-1.008814,-0.4268895,1.894112,-0.9150854,-0.4141613,1.987068,-0.8964756,-0.8755842,1.440687,-0.9727831,-0.9531232,1.367176,-0.8146985,-0.8105715,1.224652,-0.860911,-0.7501863,1.161676,-0.868548,-0.6749806,1.977467,-0.9141367,-0.6695385,2.51308,-0.9114659,-0.6671335,2.937285,-0.7063089,-0.7027147,2.864599,-0.5807589,-0.8299295,1.975262,-0.9078622,-0.9092562,2.431116,-0.9387003,-0.900237,2.84841,-0.9944895,-0.8683384,2.858142,-0.8239968,-0.723792,1.400712,-1.041332,-0.425003,2.059619,-0.886689,-0.3758383,1.993013,-0.9201668,-0.6920844,1.115891,-0.8853043,-0.724656,1.288066,-0.5352222,
2019-12-23 17:31:41:818,-0.7548531,1.979254,-0.9483774,-0.7319201,1.644123,-1.003799,-0.7058948,1.320678,-1.044516,-0.7128668,1.18032,-1.024279,-0.5295786,1.442499,-1.026315,-0.4679276,1.678585,-1.01557,-0.4113692,1.901173,-0.9290074,-0.404942,1.991619,-0.9105659,-0.8583564,1.44066,-0.9643608,-0.9403368,1.367075,-0.8084913,-0.8066995,1.226987,-0.8497139,-0.7449077,1.16824,-0.860909,-0.6714196,1.976553,-0.9132779,-0.6695169,2.51307,-0.9113143,-0.6689302,2.94208,-0.706096,-0.6842517,2.882534,-0.5972376,-0.8230426,1.973653,-0.9001673,-0.890479,2.543861,-0.9387239,-0.8882193,2.846664,-0.9689806,-0.857549,2.857086,-0.7972797,-0.7127854,1.400232,-1.03692,-0.4121546,2.061665,-0.8977161,-0.3683516,1.999788,-0.9426153,-0.6871425,1.113688,-0.8701711,-0.7423458,1.308069,-0.5377501,
