2020-03-30 13:59:40:874, no_human
2020-03-30 13:59:40:887, no_human
2020-03-30 13:59:41:129, no_human
2020-03-30 13:59:41:195, no_human
2020-03-30 13:59:41:212, no_human
2020-03-30 13:59:41:228, no_human
2020-03-30 13:59:41:245, no_human
2020-03-30 13:59:41:262, no_human
2020-03-30 13:59:41:279, no_human
2020-03-30 13:59:41:296, no_human
2020-03-30 13:59:41:313, no_human
2020-03-30 13:59:41:331, no_human
2020-03-30 13:59:41:381, no_human
2020-03-30 13:59:41:400, no_human
2020-03-30 13:59:41:406, no_human
2020-03-30 13:59:41:433, no_human
2020-03-30 13:59:41:440, no_human
2020-03-30 13:59:41:456, no_human
2020-03-30 13:59:41:473, no_human
2020-03-30 13:59:41:513, no_human
2020-03-30 13:59:41:537, no_human
2020-03-30 13:59:41:542, no_human
2020-03-30 13:59:41:580, no_human
2020-03-30 13:59:41:614, no_human
2020-03-30 13:59:41:648, no_human
2020-03-30 13:59:41:682, no_human
2020-03-30 13:59:41:714, no_human
2020-03-30 13:59:41:748, no_human
2020-03-30 13:59:41:780, no_human
2020-03-30 13:59:41:815, no_human
2020-03-30 13:59:41:849, no_human
2020-03-30 13:59:41:881, no_human
2020-03-30 13:59:41:914, no_human
2020-03-30 13:59:41:947, no_human
2020-03-30 13:59:42:005,3.742122,2.847538
2020-03-30 13:59:42:060,3.742152,2.848796
2020-03-30 13:59:42:118,3.74192,2.851743
2020-03-30 13:59:42:162,3.742033,2.853226
2020-03-30 13:59:42:209,3.742149,2.857572
2020-03-30 13:59:42:248,3.742195,2.859855
2020-03-30 13:59:42:282,3.74264,2.862884
2020-03-30 13:59:42:319,3.742973,2.864311
2020-03-30 13:59:42:357,3.742986,2.866258
2020-03-30 13:59:42:396,3.743253,2.870371
2020-03-30 13:59:42:431,3.743433,2.87187
2020-03-30 13:59:42:465,3.743635,2.87354
2020-03-30 13:59:42:499,3.743394,2.875321
2020-03-30 13:59:42:537,3.74295,2.87659
2020-03-30 13:59:42:571,3.742759,2.877744
2020-03-30 13:59:42:620,3.742652,2.878541
2020-03-30 13:59:42:659,3.742548,2.878961
2020-03-30 13:59:42:696,3.742234,2.880109
2020-03-30 13:59:42:734,3.741892,2.880548
2020-03-30 13:59:42:786,3.741374,2.881479
2020-03-30 13:59:42:829,3.741027,2.881824
2020-03-30 13:59:42:885,3.740282,2.88327
2020-03-30 13:59:42:923,3.740078,2.883478
2020-03-30 13:59:42:957,3.739399,2.883924
2020-03-30 13:59:42:997,3.738766,2.884444
2020-03-30 13:59:43:106,3.738364,2.884594
2020-03-30 13:59:43:168,3.736252,2.885609
2020-03-30 13:59:43:218,3.735025,2.886081
2020-03-30 13:59:43:266,3.734556,2.886264
2020-03-30 13:59:43:319,3.732974,2.886557
2020-03-30 13:59:43:362,3.732233,2.886856
2020-03-30 13:59:43:400,3.731014,2.887297
2020-03-30 13:59:43:437,3.730242,2.88726
2020-03-30 13:59:43:482,3.729504,2.88735
2020-03-30 13:59:43:522,3.728876,2.887309
2020-03-30 13:59:43:559,3.727885,2.887402
2020-03-30 13:59:43:594,3.72657,2.887426
2020-03-30 13:59:43:633,3.72552,2.887505
2020-03-30 13:59:43:675,3.724308,2.887578
2020-03-30 13:59:43:722,3.722988,2.887647
2020-03-30 13:59:43:762,3.721444,2.887711
2020-03-30 13:59:43:799,3.718534,2.888272
2020-03-30 13:59:43:837,3.716802,2.888052
2020-03-30 13:59:43:871,3.714017,2.888525
2020-03-30 13:59:43:915,3.71214,2.888811
2020-03-30 13:59:43:955,3.710613,2.888851
2020-03-30 13:59:43:994,3.708691,2.888893
2020-03-30 13:59:44:032,3.702951,2.889332
2020-03-30 13:59:44:067,3.699637,2.889531
2020-03-30 13:59:44:101,3.697588,2.889447
2020-03-30 13:59:44:150,3.695344,2.889173
2020-03-30 13:59:44:264,3.692159,2.888919
2020-03-30 13:59:44:344,3.676323,2.889046
2020-03-30 13:59:44:395,3.672796,2.889091
2020-03-30 13:59:44:636,3.665136,2.88881
2020-03-30 13:59:44:669,3.639915,2.891458
2020-03-30 13:59:44:713,3.636073,2.891413
2020-03-30 13:59:45:221,3.632822,2.891881
2020-03-30 13:59:45:272,3.59834,2.89872
2020-03-30 13:59:45:319,3.596042,2.899041
2020-03-30 13:59:45:366,3.594278,2.899444
2020-03-30 13:59:45:403,3.585886,2.901932
2020-03-30 13:59:45:449,3.583347,2.902656
2020-03-30 13:59:45:497,3.581112,2.90362
2020-03-30 13:59:45:553,3.574952,2.905452
2020-03-30 13:59:45:610,3.571929,2.906106
2020-03-30 13:59:45:668,3.567888,2.90736
2020-03-30 13:59:45:726,3.564492,2.907986
2020-03-30 13:59:45:786,3.560024,2.908939
2020-03-30 13:59:45:822,3.558866,2.908818
2020-03-30 13:59:45:858,3.55646,2.908458
2020-03-30 13:59:45:898,3.553941,2.909177
2020-03-30 13:59:45:932,3.552131,2.909348
2020-03-30 13:59:45:971,3.550558,2.909137
2020-03-30 13:59:46:013,3.549222,2.908966
2020-03-30 13:59:46:048,3.547496,2.909354
2020-03-30 13:59:46:089,3.546119,2.909314
2020-03-30 13:59:46:123,3.544258,2.909084
2020-03-30 13:59:46:163,3.540765,2.909105
2020-03-30 13:59:46:203,3.536929,2.908077
2020-03-30 13:59:46:237,3.534916,2.907705
2020-03-30 13:59:46:282,3.532778,2.907796
2020-03-30 13:59:46:318,3.53059,2.90725
2020-03-30 13:59:46:376,3.52844,2.906835
2020-03-30 13:59:46:423,3.526085,2.906033
2020-03-30 13:59:46:461,3.525361,2.905544
2020-03-30 13:59:46:501,3.524638,2.905248
2020-03-30 13:59:46:533,3.524133,2.904789
2020-03-30 13:59:46:560,3.524137,2.90474
2020-03-30 13:59:46:581,3.524137,2.90474
2020-03-30 13:59:46:616,3.524545,2.904068
2020-03-30 13:59:46:649,3.525334,2.903172
2020-03-30 13:59:46:690,3.526136,2.902047
2020-03-30 13:59:46:722,3.527503,2.900785
2020-03-30 13:59:46:757,3.529259,2.89943
2020-03-30 13:59:46:796,3.531019,2.897922
2020-03-30 13:59:46:833,3.537307,2.893907
2020-03-30 13:59:46:878,3.54108,2.891397
2020-03-30 13:59:46:919,3.543745,2.890246
2020-03-30 13:59:46:955,3.548642,2.887694
