2020-03-30 13:59:40:874, no_human
2020-03-30 13:59:40:887, no_human
2020-03-30 13:59:41:129, no_human
2020-03-30 13:59:41:195, no_human
2020-03-30 13:59:41:212, no_human
2020-03-30 13:59:41:228, no_human
2020-03-30 13:59:41:245, no_human
2020-03-30 13:59:41:262, no_human
2020-03-30 13:59:41:279, no_human
2020-03-30 13:59:41:296, no_human
2020-03-30 13:59:41:313, no_human
2020-03-30 13:59:41:331, no_human
2020-03-30 13:59:41:381, no_human
2020-03-30 13:59:41:400, no_human
2020-03-30 13:59:41:406, no_human
2020-03-30 13:59:41:433, no_human
2020-03-30 13:59:41:440, no_human
2020-03-30 13:59:41:456, no_human
2020-03-30 13:59:41:473, no_human
2020-03-30 13:59:41:513, no_human
2020-03-30 13:59:41:537, no_human
2020-03-30 13:59:41:542, no_human
2020-03-30 13:59:41:580, no_human
2020-03-30 13:59:41:614, no_human
2020-03-30 13:59:41:648, no_human
2020-03-30 13:59:41:682, no_human
2020-03-30 13:59:41:714, no_human
2020-03-30 13:59:41:748, no_human
2020-03-30 13:59:41:780, no_human
2020-03-30 13:59:41:815, no_human
2020-03-30 13:59:41:849, no_human
2020-03-30 13:59:41:881, no_human
2020-03-30 13:59:41:914, no_human
2020-03-30 13:59:41:947, no_human
2020-03-30 13:59:42:005,-0.2721217,1.7346952.847538
2020-03-30 13:59:42:060,-0.2721519,1.7343272.848796
2020-03-30 13:59:42:118,-0.2719199,1.7336262.851743
2020-03-30 13:59:42:162,-0.2720336,1.73332.853226
2020-03-30 13:59:42:209,-0.272149,1.7322412.857572
2020-03-30 13:59:42:248,-0.2721946,1.7318542.859855
2020-03-30 13:59:42:282,-0.2726398,1.7319292.862884
2020-03-30 13:59:42:319,-0.2729734,1.7316212.864311
2020-03-30 13:59:42:357,-0.2729861,1.731222.866258
2020-03-30 13:59:42:396,-0.2732531,1.7318562.870371
2020-03-30 13:59:42:431,-0.2734328,1.7318972.87187
2020-03-30 13:59:42:465,-0.2736351,1.7318382.87354
2020-03-30 13:59:42:499,-0.273394,1.7319282.875321
2020-03-30 13:59:42:537,-0.2729502,1.7315722.87659
2020-03-30 13:59:42:571,-0.2727592,1.7311712.877744
2020-03-30 13:59:42:620,-0.2726517,1.7309922.878541
2020-03-30 13:59:42:659,-0.2725475,1.7308792.878961
2020-03-30 13:59:42:696,-0.2722342,1.7307052.880109
2020-03-30 13:59:42:734,-0.2718919,1.7303732.880548
2020-03-30 13:59:42:786,-0.2713739,1.7302062.881479
2020-03-30 13:59:42:829,-0.2710272,1.7301372.881824
2020-03-30 13:59:42:885,-0.2702822,1.730162.88327
2020-03-30 13:59:42:923,-0.2700785,1.730072.883478
2020-03-30 13:59:42:957,-0.2693988,1.7298322.883924
2020-03-30 13:59:42:997,-0.2687658,1.7294632.884444
2020-03-30 13:59:43:106,-0.2683634,1.7292182.884594
2020-03-30 13:59:43:168,-0.2662517,1.7284192.885609
2020-03-30 13:59:43:218,-0.265025,1.7281742.886081
2020-03-30 13:59:43:266,-0.264556,1.72812.886264
2020-03-30 13:59:43:319,-0.2629738,1.727682.886557
2020-03-30 13:59:43:362,-0.2622328,1.7275532.886856
2020-03-30 13:59:43:400,-0.261014,1.7275252.887297
2020-03-30 13:59:43:437,-0.2602426,1.7275472.88726
2020-03-30 13:59:43:482,-0.2595042,1.7273482.88735
2020-03-30 13:59:43:522,-0.2588757,1.7271592.887309
2020-03-30 13:59:43:559,-0.2578854,1.7270212.887402
2020-03-30 13:59:43:594,-0.2565702,1.7273242.887426
2020-03-30 13:59:43:633,-0.2555204,1.7273772.887505
2020-03-30 13:59:43:675,-0.2543077,1.7276222.887578
2020-03-30 13:59:43:722,-0.2529881,1.7274312.887647
2020-03-30 13:59:43:762,-0.2514439,1.727392.887711
2020-03-30 13:59:43:799,-0.2485335,1.7271252.888272
2020-03-30 13:59:43:837,-0.2468018,1.7266672.888052
2020-03-30 13:59:43:871,-0.2440167,1.7259472.888525
2020-03-30 13:59:43:915,-0.2421399,1.7260372.888811
2020-03-30 13:59:43:955,-0.2406135,1.7261472.888851
2020-03-30 13:59:43:994,-0.2386913,1.7260062.888893
2020-03-30 13:59:44:032,-0.2329515,1.7256322.889332
2020-03-30 13:59:44:067,-0.2296371,1.7249272.889531
2020-03-30 13:59:44:101,-0.2275883,1.7250762.889447
2020-03-30 13:59:44:150,-0.2253444,1.7252572.889173
2020-03-30 13:59:44:264,-0.2221586,1.7254912.888919
2020-03-30 13:59:44:344,-0.2063226,1.7239792.889046
2020-03-30 13:59:44:395,-0.2027955,1.7237642.889091
2020-03-30 13:59:44:636,-0.1951357,1.7231122.88881
2020-03-30 13:59:44:669,-0.1699144,1.7214412.891458
2020-03-30 13:59:44:713,-0.1660731,1.7216992.891413
2020-03-30 13:59:45:221,-0.1628222,1.7213562.891881
2020-03-30 13:59:45:272,-0.1283402,1.7189962.89872
2020-03-30 13:59:45:319,-0.1260421,1.7186212.899041
2020-03-30 13:59:45:366,-0.1242781,1.718932.899444
2020-03-30 13:59:45:403,-0.1158856,1.7184242.901932
2020-03-30 13:59:45:449,-0.1133469,1.7188932.902656
2020-03-30 13:59:45:497,-0.1111125,1.7192922.90362
2020-03-30 13:59:45:553,-0.1049524,1.7175182.905452
2020-03-30 13:59:45:610,-0.1019284,1.7171182.906106
2020-03-30 13:59:45:668,-0.09788832,1.7169442.90736
2020-03-30 13:59:45:726,-0.09449228,1.7176452.907986
2020-03-30 13:59:45:786,-0.09002454,1.7176132.908939
2020-03-30 13:59:45:822,-0.0888662,1.7173522.908818
2020-03-30 13:59:45:858,-0.08645993,1.7174222.908458
2020-03-30 13:59:45:898,-0.08394087,1.7174672.909177
2020-03-30 13:59:45:932,-0.08213118,1.7174062.909348
2020-03-30 13:59:45:971,-0.08055801,1.7170012.909137
2020-03-30 13:59:46:013,-0.07922142,1.7175362.908966
2020-03-30 13:59:46:048,-0.07749638,1.7175092.909354
2020-03-30 13:59:46:089,-0.07611924,1.7176992.909314
2020-03-30 13:59:46:123,-0.07425796,1.7181342.909084
2020-03-30 13:59:46:163,-0.0707645,1.7170672.909105
2020-03-30 13:59:46:203,-0.06692876,1.7172732.908077
2020-03-30 13:59:46:237,-0.06491594,1.7172052.907705
2020-03-30 13:59:46:282,-0.06277793,1.7172482.907796
2020-03-30 13:59:46:318,-0.06059018,1.7177192.90725
2020-03-30 13:59:46:376,-0.05843947,1.7173482.906835
2020-03-30 13:59:46:423,-0.05608454,1.7164452.906033
2020-03-30 13:59:46:461,-0.05536065,1.7165472.905544
2020-03-30 13:59:46:501,-0.05463778,1.7168512.905248
2020-03-30 13:59:46:533,-0.05413342,1.7169852.904789
2020-03-30 13:59:46:560,-0.05413734,1.7172.90474
2020-03-30 13:59:46:581,-0.05413734,1.7172.90474
2020-03-30 13:59:46:616,-0.05454507,1.7170322.904068
2020-03-30 13:59:46:649,-0.05533434,1.7174272.903172
2020-03-30 13:59:46:690,-0.05613607,1.7171492.902047
2020-03-30 13:59:46:722,-0.05750243,1.7171762.900785
2020-03-30 13:59:46:757,-0.05925942,1.7179072.89943
2020-03-30 13:59:46:796,-0.06101872,1.7185512.897922
2020-03-30 13:59:46:833,-0.06730721,1.7196722.893907
2020-03-30 13:59:46:878,-0.07108018,1.7208242.891397
2020-03-30 13:59:46:919,-0.07374509,1.7211552.890246
2020-03-30 13:59:46:955,-0.07864155,1.7227952.887694
2020-03-30 13:59:46:996,-0.08207568,1.7231692.885081
2020-03-30 13:59:47:030,-0.09302485,1.7258412.876464
2020-03-30 13:59:47:050,-0.09302485,1.7258412.876464
2020-03-30 13:59:47:090,-0.0982505,1.7274242.874211
2020-03-30 13:59:47:125,-0.1041979,1.7277622.869965
2020-03-30 13:59:47:159,-0.1099943,1.7288882.86671
2020-03-30 13:59:47:195,-0.1165667,1.7283142.864232
2020-03-30 13:59:47:231,-0.1315481,1.7313232.85487
2020-03-30 13:59:47:273,-0.1394551,1.7333392.850798
2020-03-30 13:59:47:312,-0.1462591,1.7352242.847455
2020-03-30 13:59:47:350,-0.1521605,1.7365842.844484
2020-03-30 13:59:47:391,-0.1621408,1.737252.839784
2020-03-30 13:59:47:423,-0.1709618,1.7390272.836116
2020-03-30 13:59:47:458,-0.1806373,1.7426412.82999
2020-03-30 13:59:47:498,-0.199182,1.7432992.821867
2020-03-30 13:59:47:535,-0.2073559,1.7441272.819259
2020-03-30 13:59:47:582,-0.2182594,1.7454832.814079
2020-03-30 13:59:47:616,-0.2263024,1.7456642.811021
2020-03-30 13:59:47:652,-0.2372861,1.7479782.807458
2020-03-30 13:59:47:690,-0.2466764,1.7458812.805337
2020-03-30 13:59:47:722,-0.2571973,1.7459642.799222
2020-03-30 13:59:47:760,-0.2685256,1.7462482.795613
2020-03-30 13:59:47:797,-0.2882631,1.7435792.787854
2020-03-30 13:59:47:829,-0.2966057,1.7417892.785356
2020-03-30 13:59:47:866,-0.3085784,1.7391512.781635
2020-03-30 13:59:47:913,-0.3202348,1.7389642.778837
2020-03-30 13:59:47:954,-0.3301154,1.7376282.775246
2020-03-30 13:59:47:998,-0.3460907,1.7346612.769411
2020-03-30 13:59:48:048,-0.3543699,1.7341812.76798
2020-03-30 13:59:48:094,-0.361641,1.7327132.769399
2020-03-30 13:59:48:132,-0.3715646,1.7296082.774297
2020-03-30 13:59:48:166,-0.3767517,1.7284212.781402
2020-03-30 13:59:48:202,-0.3810095,1.7270882.790038
2020-03-30 13:59:48:248,-0.3841091,1.7259052.800018
2020-03-30 13:59:48:282,-0.3856611,1.725922.807887
2020-03-30 13:59:48:323,-0.3859402,1.7250332.819004
2020-03-30 13:59:48:363,-0.3829632,1.7235322.832052
2020-03-30 13:59:48:415,-0.3734047,1.7233792.850423
2020-03-30 13:59:48:458,-0.364353,1.723812.864299
2020-03-30 13:59:48:499,-0.357255,1.7255372.87165
2020-03-30 13:59:48:534,-0.3391732,1.727882.893847
2020-03-30 13:59:48:568,-0.3280525,1.7288272.903012
2020-03-30 13:59:48:627,-0.3182155,1.7275442.911613
2020-03-30 13:59:48:682,-0.3005378,1.7247132.923024
2020-03-30 13:59:48:728,-0.2932623,1.7204722.92983
2020-03-30 13:59:48:769,-0.2837471,1.7137232.935762
2020-03-30 13:59:48:815,-0.2824065,1.7118292.936925
2020-03-30 13:59:48:849,-0.2808295,1.7093082.937679
2020-03-30 13:59:48:892,-0.280786,1.7079182.93885
2020-03-30 13:59:48:926,-0.2805475,1.7049572.940993
2020-03-30 13:59:48:962,-0.282057,1.700522.945112
2020-03-30 13:59:49:002,-0.2837899,1.6998122.947104
2020-03-30 13:59:49:036,-0.2862715,1.6997312.948964
2020-03-30 13:59:49:086,-0.2901563,1.6990232.953195
2020-03-30 13:59:49:133,-0.3033717,1.6972072.963863
2020-03-30 13:59:49:181,-0.3103834,1.6982452.968416
2020-03-30 13:59:49:226,-0.3206525,1.6999362.97446
2020-03-30 13:59:49:260,-0.3426194,1.702332.986213
2020-03-30 13:59:49:295,-0.3546348,1.7029632.991869
2020-03-30 13:59:49:361,-0.3862512,1.7036873.006629
2020-03-30 13:59:49:406,-0.3862512,1.7036873.006629
2020-03-30 13:59:49:446,-0.4204185,1.7027813.018781
2020-03-30 13:59:49:485,-0.4378434,1.7028493.026938
2020-03-30 13:59:49:527,-0.4594279,1.7022993.035595
