2020-03-30 13:59:40:874, no_human
2020-03-30 13:59:40:887, no_human
2020-03-30 13:59:41:129, no_human
2020-03-30 13:59:41:195, no_human
2020-03-30 13:59:41:212, no_human
2020-03-30 13:59:41:228, no_human
2020-03-30 13:59:41:245, no_human
2020-03-30 13:59:41:262, no_human
2020-03-30 13:59:41:279, no_human
2020-03-30 13:59:41:296, no_human
2020-03-30 13:59:41:313, no_human
2020-03-30 13:59:41:331, no_human
2020-03-30 13:59:41:381, no_human
2020-03-30 13:59:41:400, no_human
2020-03-30 13:59:41:406, no_human
2020-03-30 13:59:41:433, no_human
2020-03-30 13:59:41:440, no_human
2020-03-30 13:59:41:456, no_human
2020-03-30 13:59:41:473, no_human
2020-03-30 13:59:41:513, no_human
2020-03-30 13:59:41:537, no_human
2020-03-30 13:59:41:542, no_human
2020-03-30 13:59:41:580, no_human
2020-03-30 13:59:41:614, no_human
2020-03-30 13:59:41:648, no_human
2020-03-30 13:59:41:682, no_human
2020-03-30 13:59:41:714, no_human
2020-03-30 13:59:41:748, no_human
2020-03-30 13:59:41:780, no_human
2020-03-30 13:59:41:815, no_human
2020-03-30 13:59:41:849, no_human
2020-03-30 13:59:41:881, no_human
2020-03-30 13:59:41:914, no_human
2020-03-30 13:59:41:947, no_human
2020-03-30 13:59:42:005,-0.2853877,0.9716399,2.546378,-0.2909056,1.288695,2.550921,-0.2947907,1.596069,2.542351,-0.2721217,1.734695,2.527538,-0.4707563,1.490675,2.520679,-0.5157276,1.237106,2.510766,-0.500806,0.9845384,2.420439,-0.4874828,0.927243,2.410311,-0.1087468,1.479865,2.589968,-0.07683912,1.210398,2.591602,-0.05642849,0.9719188,2.50492,-0.06343577,0.9079015,2.490379,-0.3638909,0.9759799,2.494716,-0.3977536,0.5598716,2.483097,-0.4148246,0.1325975,2.506836,-0.402832,0.1258789,2.394531,-0.1984558,0.9710965,2.522727,-0.2046976,0.565422,2.526553,-0.2227485,0.1414333,2.574968,-0.1806641,0.1292969,2.484375,-0.2941051,1.52056,2.546837,-0.4779025,0.8568862,2.397215,-0.4445958,0.9263139,2.4027,-0.05698932,0.8411915,2.480607,-0.02345321,1.111128,2.47455
2020-03-30 13:59:42:060,-0.2854869,0.971497,2.546836,-0.2908264,1.288383,2.551637,-0.2944305,1.595469,2.543459,-0.2721519,1.734327,2.528796,-0.4709359,1.490165,2.521199,-0.5160351,1.2361,2.512259,-0.5009676,0.9847242,2.420863,-0.4888293,0.9272755,2.414009,-0.1091591,1.47955,2.590652,-0.07706228,1.21071,2.592582,-0.05651167,0.9729999,2.506092,-0.06582911,0.9082512,2.495256,-0.3640022,0.975765,2.495463,-0.3977325,0.5605634,2.483252,-0.4143461,0.1330621,2.507372,-0.4036602,0.1263118,2.395091,-0.1985379,0.9710072,2.522976,-0.2046017,0.566407,2.52655,-0.2232673,0.1419143,2.574023,-0.1797729,0.1299123,2.483805,-0.2938261,1.520043,2.547836,-0.4861973,0.85795,2.405308,-0.4450517,0.9245175,2.403467,-0.06096359,0.840333,2.481002,-0.02344479,1.106306,2.478912
2020-03-30 13:59:42:118,-0.2854443,0.9705228,2.548281,-0.2910118,1.287565,2.553496,-0.2949162,1.59496,2.546096,-0.2719199,1.733626,2.531744,-0.4709615,1.489067,2.522919,-0.5166311,1.236275,2.514256,-0.5028937,0.9879183,2.423721,-0.4899798,0.9281017,2.418982,-0.1102948,1.478294,2.59331,-0.07769147,1.213818,2.597336,-0.05764445,0.9717211,2.509155,-0.06804455,0.9066778,2.498209,-0.3639082,0.9747963,2.497022,-0.3976942,0.5608121,2.483381,-0.4142605,0.1325582,2.508547,-0.4029799,0.1253836,2.401038,-0.198552,0.9700693,2.524312,-0.204643,0.5665236,2.526724,-0.2232472,0.1420358,2.573721,-0.179063,0.1301204,2.482874,-0.2942273,1.519431,2.550242,-0.4831145,0.8613356,2.403207,-0.44631,0.9282148,2.407813,-0.06586476,0.8345839,2.489391,-0.02513517,1.108184,2.478003
2020-03-30 13:59:42:162,-0.2855168,0.9709412,2.548867,-0.2910672,1.287807,2.555008,-0.2949358,1.594791,2.548925,-0.2720336,1.7333,2.533226,-0.4717286,1.488775,2.524863,-0.5173662,1.236403,2.515761,-0.5031463,0.9872252,2.42475,-0.4899929,0.9276632,2.419897,-0.1107861,1.477368,2.594962,-0.07815433,1.214642,2.600274,-0.05801494,0.9717843,2.510971,-0.06848617,0.9085306,2.501366,-0.3639736,0.9753205,2.497576,-0.397701,0.561413,2.483352,-0.4140312,0.1311077,2.509327,-0.4042135,0.125284,2.399286,-0.1986324,0.9703791,2.524925,-0.2045393,0.5666032,2.526826,-0.2233132,0.1423844,2.573637,-0.1789609,0.130159,2.482729,-0.2942575,1.519389,2.552716,-0.4844322,0.8565927,2.411195,-0.4470843,0.9248418,2.411654,-0.06459448,0.8402238,2.486591,-0.0225634,1.092441,2.493333
2020-03-30 13:59:42:209,-0.2854245,0.9702967,2.550882,-0.2912633,1.287406,2.55827,-0.2954936,1.594854,2.553199,-0.272149,1.732241,2.537572,-0.4723762,1.488119,2.5287,-0.5189159,1.236627,2.518589,-0.5054687,0.990729,2.429367,-0.4924641,0.9281881,2.424804,-0.112513,1.477282,2.600483,-0.07849015,1.21449,2.605041,-0.0581154,0.9702713,2.515683,-0.06882408,0.9078974,2.507442,-0.3638259,0.9746546,2.499426,-0.397746,0.5613123,2.483433,-0.4135402,0.129304,2.508962,-0.4047293,0.1249045,2.399199,-0.1986081,0.9697769,2.527063,-0.2044661,0.5668497,2.527235,-0.2235082,0.142256,2.573288,-0.179193,0.1292536,2.483468,-0.2947201,1.519319,2.556766,-0.4872054,0.8623174,2.411414,-0.4459946,0.9298508,2.416111,-0.06199352,0.8401145,2.494837,-0.02398606,1.100603,2.497059
2020-03-30 13:59:42:248,-0.2853748,0.9702294,2.551694,-0.2913235,1.287343,2.560197,-0.2957444,1.594821,2.556404,-0.2721946,1.731854,2.539855,-0.4723886,1.488085,2.529875,-0.5194367,1.236797,2.519415,-0.5057266,0.9901943,2.429992,-0.4928989,0.9277264,2.425457,-0.1126832,1.477013,2.602928,-0.07868442,1.214998,2.607114,-0.05863757,0.970175,2.518044,-0.06959156,0.9074747,2.507072,-0.3637524,0.9746238,2.499964,-0.3977822,0.5613253,2.483434,-0.413524,0.130169,2.509238,-0.4048441,0.1253309,2.398235,-0.1986006,0.969663,2.528179,-0.2044906,0.5673637,2.527379,-0.2238523,0.1421789,2.572809,-0.1792699,0.1294481,2.483692,-0.2949169,1.519276,2.559642,-0.4858192,0.8561436,2.417972,-0.4455126,0.9262011,2.418653,-0.06245502,0.8395404,2.494217,-0.02847195,1.116551,2.490187
2020-03-30 13:59:42:282,-0.2855322,0.9702412,2.552531,-0.2914571,1.287251,2.561294,-0.2958201,1.594619,2.557548,-0.2726398,1.731929,2.542884,-0.4727448,1.487963,2.531343,-0.5207772,1.238101,2.521535,-0.5078581,0.9946986,2.433461,-0.4935518,0.9283531,2.427937,-0.113363,1.476408,2.605296,-0.07931134,1.215684,2.609247,-0.05891439,0.9702322,2.520195,-0.06998215,0.9086004,2.510345,-0.3638483,0.9743198,2.501039,-0.3977823,0.5613252,2.483494,-0.4135129,0.1303347,2.50934,-0.4051607,0.1262385,2.399248,-0.1988146,0.9699346,2.52886,-0.2044998,0.5678537,2.527724,-0.2238887,0.1423361,2.572804,-0.1789379,0.1300444,2.483286,-0.2950088,1.5191,2.56079,-0.4875363,0.8567582,2.419387,-0.4472459,0.9151815,2.417905,-0.06088423,0.8391136,2.501014,-0.02480085,1.071393,2.50825
2020-03-30 13:59:42:319,-0.2858007,0.9701989,2.553218,-0.2916959,1.287101,2.562388,-0.2959756,1.59434,2.558963,-0.2729734,1.731621,2.544311,-0.4730389,1.487612,2.5324,-0.521192,1.238381,2.521852,-0.5087,0.996231,2.434832,-0.4936191,0.9288304,2.429278,-0.1136848,1.476157,2.60615,-0.07969953,1.216914,2.611433,-0.05921276,0.9700494,2.522276,-0.06964435,0.9072109,2.511968,-0.3640829,0.9739847,2.501902,-0.3978308,0.5613838,2.483485,-0.4137206,0.1319035,2.510002,-0.4058794,0.1272712,2.39943,-0.1991224,0.9701408,2.529421,-0.2044119,0.5684655,2.527822,-0.2240269,0.142399,2.572919,-0.1790974,0.1305039,2.4832,-0.2951889,1.518855,2.562132,-0.4922832,0.856739,2.418005,-0.4483876,0.90562,2.417389,-0.06219811,0.8380179,2.503699,-0.02466422,1.079286,2.501335
2020-03-30 13:59:42:357,-0.2858072,0.9700822,2.553663,-0.2918772,1.28692,2.563153,-0.2963928,1.594097,2.560008,-0.2729861,1.73122,2.546258,-0.4731787,1.487705,2.533119,-0.5215297,1.238512,2.522764,-0.5092638,0.997411,2.435751,-0.4934507,0.928691,2.430175,-0.113943,1.475306,2.607443,-0.08010902,1.216607,2.612662,-0.05994245,0.9698092,2.523738,-0.07118124,0.906867,2.512192,-0.3640581,0.9736599,2.50245,-0.3978238,0.5613827,2.483484,-0.4137281,0.1321516,2.510069,-0.4060571,0.12777,2.399101,-0.1991504,0.9701891,2.529771,-0.2044055,0.5687717,2.527883,-0.2240162,0.1424119,2.572818,-0.1789234,0.1308773,2.482651,-0.2955428,1.518627,2.563111,-0.4881232,0.8567338,2.42033,-0.4464611,0.9307631,2.421964,-0.06429686,0.835645,2.507257,-0.03042305,1.105062,2.496294
2020-03-30 13:59:42:396,-0.285859,0.9700022,2.5557,-0.2921972,1.28675,2.565554,-0.2969121,1.593895,2.56269,-0.2732531,1.731856,2.550371,-0.4735075,1.487882,2.535503,-0.5223802,1.2385,2.524527,-0.5098684,0.9976461,2.438075,-0.495632,0.9327013,2.434349,-0.115174,1.475364,2.61152,-0.08078689,1.216933,2.61569,-0.06102097,0.9719028,2.528949,-0.07116498,0.9085613,2.515787,-0.3639824,0.9732432,2.503573,-0.3979296,0.5613472,2.483567,-0.4136619,0.1319457,2.509969,-0.4058306,0.1278082,2.398644,-0.1994117,0.970688,2.532929,-0.2044965,0.5693967,2.528319,-0.2242299,0.1428525,2.572682,-0.1780686,0.1316607,2.481608,-0.2960179,1.518429,2.565725,-0.489007,0.867353,2.421307,-0.4470142,0.9397751,2.426391,-0.05630334,0.844139,2.502502,-0.02772463,1.093784,2.499784
