2020-03-30 13:59:40:874, no_human
2020-03-30 13:59:40:887, no_human
2020-03-30 13:59:41:129, no_human
2020-03-30 13:59:41:195, no_human
2020-03-30 13:59:41:212, no_human
2020-03-30 13:59:41:228, no_human
2020-03-30 13:59:41:245, no_human
2020-03-30 13:59:41:262, no_human
2020-03-30 13:59:41:279, no_human
2020-03-30 13:59:41:296, no_human
2020-03-30 13:59:41:313, no_human
2020-03-30 13:59:41:331, no_human
2020-03-30 13:59:41:381, no_human
2020-03-30 13:59:41:400, no_human
2020-03-30 13:59:41:406, no_human
2020-03-30 13:59:41:433, no_human
2020-03-30 13:59:41:440, no_human
2020-03-30 13:59:41:456, no_human
2020-03-30 13:59:41:473, no_human
2020-03-30 13:59:41:513, no_human
2020-03-30 13:59:41:537, no_human
2020-03-30 13:59:41:542, no_human
2020-03-30 13:59:41:580, no_human
2020-03-30 13:59:41:614, no_human
2020-03-30 13:59:41:648, no_human
2020-03-30 13:59:41:682, no_human
2020-03-30 13:59:41:714, no_human
2020-03-30 13:59:41:748, no_human
2020-03-30 13:59:41:780, no_human
2020-03-30 13:59:41:815, no_human
2020-03-30 13:59:41:849, no_human
2020-03-30 13:59:41:881, no_human
2020-03-30 13:59:41:914, no_human
2020-03-30 13:59:41:947, no_human
2020-03-30 13:59:42:005,0.03538767,1.82836,-0.7063778,0.04090562,1.511305,-0.7109209,0.04479069,1.203932,-0.7023507,0.02212173,1.065305,-0.687538,0.2207563,1.309325,-0.6806791,0.2657276,1.562894,-0.6707659,0.250806,1.815462,-0.5804392,0.2374828,1.872757,-0.5703114,-0.1412532,1.320135,-0.7499683,-0.1731609,1.589602,-0.751602,-0.1935715,1.828081,-0.6649194,-0.1865642,1.892099,-0.650379,0.1138909,1.82402,-0.6547161,0.1477536,2.240129,-0.6430972,0.1648246,2.667403,-0.6668358,0.152832,2.674121,-0.5545312,-0.05154417,1.828904,-0.6827274,-0.04530241,2.234578,-0.6865531,-0.02725148,2.658567,-0.7349678,-0.06933594,2.670703,-0.6443749,0.04410505,1.279441,-0.7068372,0.2279025,1.943114,-0.557215,0.1945958,1.873686,-0.5627001,-0.1930107,1.958809,-0.6406069,-0.2265468,1.988872,-0.30455,
2020-03-30 13:59:42:060,0.03548691,1.828503,-0.7068356,0.04082638,1.511617,-0.7116371,0.04443052,1.204531,-0.7034588,0.02215192,1.065673,-0.6887959,0.2209359,1.309835,-0.6811994,0.2660351,1.5639,-0.6722592,0.2509676,1.815276,-0.5808633,0.2388293,1.872725,-0.574009,-0.1408409,1.32045,-0.7506524,-0.1729377,1.58929,-0.7525814,-0.1934883,1.827,-0.6660915,-0.1841709,1.891749,-0.6552563,0.1140022,1.824235,-0.655463,0.1477325,2.239437,-0.6432522,0.1643461,2.666938,-0.667372,0.1536602,2.673688,-0.555091,-0.05146214,1.828993,-0.6829763,-0.04539827,2.233593,-0.68655,-0.02673273,2.658086,-0.7340232,-0.07022712,2.670088,-0.6438048,0.04382607,1.279957,-0.7078357,0.2361973,1.94205,-0.5653082,0.1950517,1.875483,-0.5634666,-0.1890364,1.959667,-0.641002,-0.2265552,1.993694,-0.3089121,
2020-03-30 13:59:42:118,0.03544435,1.829477,-0.7082813,0.04101178,1.512435,-0.7134958,0.04491615,1.20504,-0.706096,0.02191988,1.066374,-0.6917434,0.2209615,1.310933,-0.6829186,0.2666311,1.563725,-0.6742561,0.2528937,1.812082,-0.5837212,0.2399798,1.871898,-0.5789822,-0.1397052,1.321706,-0.7533103,-0.1723085,1.586182,-0.7573362,-0.1923555,1.828279,-0.6691547,-0.1819555,1.893322,-0.6582084,0.1139082,1.825204,-0.6570218,0.1476942,2.239188,-0.6433812,0.1642605,2.667442,-0.6685467,0.1529799,2.674616,-0.5610378,-0.05144805,1.829931,-0.6843119,-0.04535703,2.233476,-0.6867235,-0.02675284,2.657964,-0.7337208,-0.07093704,2.66988,-0.6428743,0.04422733,1.280569,-0.7102423,0.2331145,1.938664,-0.563207,0.19631,1.871785,-0.5678127,-0.1841352,1.965416,-0.649391,-0.2248648,1.991816,-0.3080033,
2020-03-30 13:59:42:162,0.0355168,1.829059,-0.7088671,0.04106715,1.512193,-0.7150081,0.04493579,1.205209,-0.7089248,0.02203357,1.0667,-0.6932262,0.2217286,1.311225,-0.6848634,0.2673662,1.563597,-0.675761,0.2531463,1.812775,-0.5847502,0.2399929,1.872337,-0.579897,-0.1392139,1.322632,-0.754962,-0.1718457,1.585358,-0.7602742,-0.1919851,1.828216,-0.670971,-0.1815138,1.891469,-0.6613656,0.1139736,1.82468,-0.6575764,0.147701,2.238587,-0.6433523,0.1640312,2.668892,-0.6693268,0.1542135,2.674716,-0.5592855,-0.05136763,1.829621,-0.6849251,-0.04546075,2.233397,-0.6868263,-0.0266868,2.657616,-0.7336372,-0.07103913,2.669841,-0.6427293,0.04425752,1.280611,-0.7127162,0.2344322,1.943407,-0.5711947,0.1970843,1.875158,-0.5716544,-0.1854055,1.959776,-0.6465912,-0.2274366,2.007559,-0.3233331,
2020-03-30 13:59:42:209,0.0354245,1.829703,-0.7108818,0.04126334,1.512594,-0.7182704,0.04549363,1.205146,-0.7131987,0.02214903,1.067759,-0.6975723,0.2223762,1.311881,-0.6887003,0.2689159,1.563373,-0.6785884,0.2554687,1.809271,-0.589367,0.2424641,1.871812,-0.5848039,-0.137487,1.322718,-0.7604833,-0.1715099,1.58551,-0.7650409,-0.1918846,1.829729,-0.6756833,-0.1811759,1.892103,-0.6674424,0.1138259,1.825346,-0.659426,0.147746,2.238688,-0.6434329,0.1635402,2.670696,-0.6689618,0.1547293,2.675096,-0.5591994,-0.05139194,1.830223,-0.6870626,-0.04553387,2.23315,-0.6872352,-0.02649182,2.657744,-0.7332879,-0.07080701,2.670747,-0.643468,0.04472008,1.280681,-0.7167655,0.2372054,1.937683,-0.5714136,0.1959946,1.870149,-0.5761111,-0.1880065,1.959886,-0.6548365,-0.2260139,1.999397,-0.3270589,
2020-03-30 13:59:42:248,0.03537476,1.829771,-0.7116936,0.04132345,1.512658,-0.7201973,0.04574439,1.205179,-0.716404,0.02219462,1.068146,-0.6998549,0.2223886,1.311916,-0.6898745,0.2694367,1.563203,-0.6794146,0.2557266,1.809806,-0.5899916,0.2428989,1.872274,-0.5854569,-0.1373168,1.322987,-0.7629278,-0.1713156,1.585002,-0.767114,-0.1913624,1.829825,-0.6780441,-0.1804084,1.892525,-0.6670724,0.1137524,1.825376,-0.6599641,0.1477822,2.238675,-0.6434339,0.163524,2.669831,-0.6692382,0.1548441,2.674669,-0.5582348,-0.05139938,1.830337,-0.6881788,-0.04550943,2.232636,-0.6873785,-0.02614769,2.657821,-0.7328084,-0.07073008,2.670552,-0.6436918,0.04491687,1.280724,-0.7196422,0.2358192,1.943856,-0.5779718,0.1955126,1.873799,-0.5786524,-0.187545,1.96046,-0.6542171,-0.2215281,1.983449,-0.3201874,
2020-03-30 13:59:42:282,0.03553224,1.829759,-0.7125314,0.04145706,1.512749,-0.7212937,0.04582012,1.205381,-0.7175482,0.02263981,1.068071,-0.7028843,0.2227448,1.312037,-0.6913427,0.2707772,1.5619,-0.6815348,0.2578581,1.805301,-0.5934611,0.2435518,1.871647,-0.5879372,-0.1366369,1.323592,-0.7652963,-0.1706887,1.584316,-0.7692469,-0.1910856,1.829768,-0.6801952,-0.1800179,1.8914,-0.6703444,0.1138483,1.82568,-0.6610387,0.1477823,2.238675,-0.6434942,0.1635129,2.669665,-0.6693402,0.1551607,2.673762,-0.5592478,-0.05118538,1.830065,-0.6888598,-0.0455002,2.232146,-0.6877239,-0.02611129,2.657664,-0.7328044,-0.07106209,2.669956,-0.6432856,0.04500884,1.2809,-0.7207902,0.2375363,1.943242,-0.5793868,0.1972459,1.884819,-0.5779045,-0.1891158,1.960886,-0.6610134,-0.2251991,2.028607,-0.33825,
2020-03-30 13:59:42:319,0.03580067,1.829801,-0.7132183,0.04169589,1.512899,-0.7223883,0.04597563,1.20566,-0.7189625,0.02297342,1.068379,-0.704311,0.2230389,1.312388,-0.6923998,0.271192,1.56162,-0.6818524,0.2587,1.803769,-0.5948322,0.2436191,1.87117,-0.5892783,-0.1363152,1.323843,-0.7661503,-0.1703005,1.583086,-0.7714329,-0.1907872,1.829951,-0.6822758,-0.1803557,1.892789,-0.6719676,0.1140829,1.826015,-0.6619022,0.1478308,2.238616,-0.6434847,0.1637206,2.668097,-0.6700023,0.1558794,2.672729,-0.5594302,-0.05087765,1.829859,-0.6894212,-0.04558808,2.231534,-0.6878214,-0.02597314,2.657601,-0.7329193,-0.07090265,2.669496,-0.6431997,0.0451889,1.281145,-0.7221323,0.2422832,1.943261,-0.5780047,0.1983876,1.89438,-0.5773888,-0.1878019,1.961982,-0.6636992,-0.2253358,2.020714,-0.3313349,
2020-03-30 13:59:42:357,0.03580719,1.829918,-0.7136634,0.04187721,1.51308,-0.7231527,0.04639277,1.205904,-0.720008,0.02298608,1.06878,-0.7062581,0.2231787,1.312295,-0.6931191,0.2715297,1.561488,-0.6827636,0.2592638,1.802589,-0.5957506,0.2434507,1.871309,-0.590175,-0.136057,1.324695,-0.7674432,-0.169891,1.583393,-0.7726617,-0.1900575,1.830191,-0.6837376,-0.1788188,1.893133,-0.6721917,0.1140581,1.82634,-0.6624494,0.1478238,2.238617,-0.6434837,0.1637281,2.667849,-0.670069,0.1560571,2.67223,-0.5591012,-0.05084957,1.829811,-0.689771,-0.04559451,2.231228,-0.6878832,-0.02598377,2.657588,-0.7328182,-0.0710766,2.669123,-0.6426511,0.04554278,1.281373,-0.7231107,0.2381232,1.943266,-0.5803295,0.1964611,1.869237,-0.5819643,-0.1857031,1.964355,-0.6672567,-0.219577,1.994938,-0.3262943,
2020-03-30 13:59:42:396,0.03585902,1.829998,-0.7157,0.04219723,1.51325,-0.7255543,0.0469121,1.206105,-0.7226902,0.02325308,1.068145,-0.7103713,0.2235075,1.312118,-0.6955033,0.2723802,1.5615,-0.684527,0.2598684,1.802354,-0.598075,0.245632,1.867299,-0.5943485,-0.134826,1.324636,-0.7715197,-0.1692131,1.583067,-0.7756899,-0.188979,1.828097,-0.6889485,-0.178835,1.891439,-0.6757868,0.1139824,1.826757,-0.6635731,0.1479296,2.238653,-0.6435667,0.1636619,2.668054,-0.6699687,0.1558306,2.672192,-0.5586436,-0.05058831,1.829312,-0.6929293,-0.04550353,2.230603,-0.6883186,-0.02577005,2.657147,-0.7326818,-0.07193138,2.668339,-0.6416081,0.04601786,1.281571,-0.7257245,0.239007,1.932647,-0.5813065,0.1970142,1.860225,-0.5863906,-0.1936967,1.955861,-0.6625023,-0.2222754,2.006216,-0.3297835,
