2020-03-30 13:56:40:207, no_human
2020-03-30 13:56:40:218, no_human
2020-03-30 13:56:40:481, no_human
2020-03-30 13:56:40:556, no_human
2020-03-30 13:56:40:573, no_human
2020-03-30 13:56:40:590, no_human
2020-03-30 13:56:40:608, no_human
2020-03-30 13:56:40:624, no_human
2020-03-30 13:56:40:641, no_human
2020-03-30 13:56:40:657, no_human
2020-03-30 13:56:40:674, no_human
2020-03-30 13:56:40:718, no_human
2020-03-30 13:56:40:736, no_human
2020-03-30 13:56:40:742, no_human
2020-03-30 13:56:40:758, no_human
2020-03-30 13:56:40:775, no_human
2020-03-30 13:56:40:830, no_human
2020-03-30 13:56:40:858, no_human
2020-03-30 13:56:40:889, no_human
2020-03-30 13:56:40:915, no_human
2020-03-30 13:56:40:942, no_human
2020-03-30 13:56:40:948, no_human
2020-03-30 13:56:40:988, no_human
2020-03-30 13:56:41:016, no_human
2020-03-30 13:56:41:042, no_human
2020-03-30 13:56:41:048, no_human
2020-03-30 13:56:41:088, no_human
2020-03-30 13:56:41:116, no_human
2020-03-30 13:56:41:143, no_human
2020-03-30 13:56:41:152, no_human
2020-03-30 13:56:41:191, no_human
2020-03-30 13:56:41:227, no_human
2020-03-30 13:56:41:255, no_human
2020-03-30 13:56:41:282, no_human
2020-03-30 13:56:41:316, no_human
2020-03-30 13:56:41:368,3.715035,3.087161
2020-03-30 13:56:41:414,3.716504,3.087138
2020-03-30 13:56:41:451,3.719388,3.086127
2020-03-30 13:56:41:490,3.723625,3.084859
2020-03-30 13:56:41:535,3.734327,3.082077
2020-03-30 13:56:41:568,3.74063,3.078676
2020-03-30 13:56:41:614,3.748566,3.075305
2020-03-30 13:56:41:650,3.757086,3.070632
2020-03-30 13:56:41:688,3.764562,3.067056
2020-03-30 13:56:41:732,3.779973,3.05973
2020-03-30 13:56:41:769,3.789651,3.053149
2020-03-30 13:56:41:813,3.800708,3.047738
2020-03-30 13:56:41:846,3.808292,3.042858
2020-03-30 13:56:41:880,3.814451,3.040095
2020-03-30 13:56:41:917,3.822601,3.036396
2020-03-30 13:56:41:956,3.830551,3.032604
2020-03-30 13:56:41:996,3.840656,3.027247
2020-03-30 13:56:42:037,3.857318,3.021767
2020-03-30 13:56:42:072,3.865883,3.019601
2020-03-30 13:56:42:084,3.865883,3.019601
2020-03-30 13:56:42:125,3.873508,3.016408
2020-03-30 13:56:42:160,3.880138,3.014282
2020-03-30 13:56:42:198,3.887786,3.011661
2020-03-30 13:56:42:234,3.899266,3.006481
2020-03-30 13:56:42:247,3.899266,3.006481
2020-03-30 13:56:42:289,3.905354,3.003351
2020-03-30 13:56:42:329,3.91049,3.000517
2020-03-30 13:56:42:366,3.919188,2.992935
2020-03-30 13:56:42:410,3.922566,2.989261
2020-03-30 13:56:42:450,3.926376,2.984875
2020-03-30 13:56:42:488,3.931376,2.980772
2020-03-30 13:56:42:527,3.936162,2.973642
2020-03-30 13:56:42:562,3.943743,2.960806
2020-03-30 13:56:42:600,3.948011,2.955753
2020-03-30 13:56:42:634,3.951918,2.949139
2020-03-30 13:56:42:672,3.956405,2.940745
2020-03-30 13:56:42:712,3.959609,2.93302
2020-03-30 13:56:42:749,3.962304,2.92678
2020-03-30 13:56:42:783,3.963776,2.921172
2020-03-30 13:56:42:828,3.965505,2.915473
2020-03-30 13:56:42:863,3.965681,2.909314
2020-03-30 13:56:42:903,3.965307,2.907453
2020-03-30 13:56:42:943,3.964546,2.9061
2020-03-30 13:56:42:977,3.963718,2.904886
2020-03-30 13:56:43:019,3.962006,2.904347
2020-03-30 13:56:43:053,3.959003,2.904514
2020-03-30 13:56:43:088,3.955616,2.904402
2020-03-30 13:56:43:133,3.945467,2.906925
2020-03-30 13:56:43:165,3.939773,2.908653
2020-03-30 13:56:43:203,3.932322,2.911959
2020-03-30 13:56:43:237,3.923841,2.916231
2020-03-30 13:56:43:269,3.911729,2.924554
2020-03-30 13:56:43:301,3.902586,2.931215
2020-03-30 13:56:43:350,3.888769,2.941195
2020-03-30 13:56:43:386,3.873306,2.951577
2020-03-30 13:56:43:431,3.85318,2.967563
2020-03-30 13:56:43:469,3.80879,3.006059
2020-03-30 13:56:43:509,3.786698,3.022325
2020-03-30 13:56:43:549,3.767863,3.038057
2020-03-30 13:56:43:588,3.746878,3.06011
2020-03-30 13:56:43:642,3.698584,3.099348
2020-03-30 13:56:43:680,3.667743,3.125498
2020-03-30 13:56:43:721,3.647826,3.140532
2020-03-30 13:56:43:763,3.624618,3.162483
2020-03-30 13:56:43:797,3.597498,3.186625
2020-03-30 13:56:43:836,3.577518,3.2012
2020-03-30 13:56:43:868,3.567702,3.206925
2020-03-30 13:56:43:902,3.554443,3.218074
2020-03-30 13:56:43:946,3.541419,3.227717
2020-03-30 13:56:43:987,3.52621,3.238873
2020-03-30 13:56:44:024,3.512851,3.256439
2020-03-30 13:56:44:059,3.499874,3.263466
2020-03-30 13:56:44:096,3.481735,3.270998
2020-03-30 13:56:44:132,3.44294,3.277208
2020-03-30 13:56:44:165,3.423384,3.28292
2020-03-30 13:56:44:204,3.408298,3.284008
2020-03-30 13:56:44:244,3.393638,3.284659
2020-03-30 13:56:44:277,3.381394,3.285479
2020-03-30 13:56:44:315,3.355081,3.285553
2020-03-30 13:56:44:351,3.331145,3.2847
2020-03-30 13:56:44:387,3.318009,3.280051
2020-03-30 13:56:44:430,3.29438,3.273425
2020-03-30 13:56:44:464,3.24929,3.266397
2020-03-30 13:56:44:501,3.236998,3.261936
2020-03-30 13:56:44:536,3.216096,3.252702
2020-03-30 13:56:44:585,3.192943,3.242755
2020-03-30 13:56:44:627,3.172507,3.239894
2020-03-30 13:56:44:664,3.133525,3.240348
2020-03-30 13:56:44:704,3.123089,3.241465
2020-03-30 13:56:44:738,3.106004,3.244527
2020-03-30 13:56:44:773,3.092411,3.246647
2020-03-30 13:56:44:812,3.075948,3.249102
2020-03-30 13:56:44:846,3.051649,3.253252
2020-03-30 13:56:44:884,3.040504,3.256996
2020-03-30 13:56:44:922,3.029988,3.259417
2020-03-30 13:56:44:957,3.014081,3.259792
2020-03-30 13:56:44:993,3.001601,3.26138
2020-03-30 13:56:45:030,2.967225,3.265683
2020-03-30 13:56:45:067,2.950264,3.26879
2020-03-30 13:56:45:106,2.933052,3.269525
2020-03-30 13:56:45:145,2.916881,3.270642
2020-03-30 13:56:45:182,2.904378,3.275092
2020-03-30 13:56:45:228,2.884479,3.281275
2020-03-30 13:56:45:262,2.843552,3.296973
2020-03-30 13:56:45:295,2.825522,3.301182
2020-03-30 13:56:45:344,2.809931,3.307263
2020-03-30 13:56:45:380,2.787557,3.312605
2020-03-30 13:56:45:414,2.776954,3.316343
2020-03-30 13:56:45:453,2.761098,3.31742
2020-03-30 13:56:45:487,2.750473,3.320574
2020-03-30 13:56:45:523,2.740292,3.320404
2020-03-30 13:56:45:562,2.725026,3.3209
2020-03-30 13:56:45:598,2.705362,3.314493
2020-03-30 13:56:45:637,2.696537,3.308178
2020-03-30 13:56:45:674,2.688546,3.303719
2020-03-30 13:56:45:716,2.68148,3.299306
2020-03-30 13:56:45:752,2.673834,3.291232
2020-03-30 13:56:45:790,2.665002,3.281018
2020-03-30 13:56:45:833,2.653487,3.263424
2020-03-30 13:56:45:873,2.642426,3.250252
2020-03-30 13:56:45:916,2.638557,3.24008
2020-03-30 13:56:45:953,2.630754,3.223059
2020-03-30 13:56:45:995,2.628102,3.209445
2020-03-30 13:56:46:032,2.620244,3.177338
2020-03-30 13:56:46:065,2.618231,3.155895
2020-03-30 13:56:46:102,2.615474,3.141082
2020-03-30 13:56:46:137,2.617691,3.121264
2020-03-30 13:56:46:172,2.611611,3.10206
2020-03-30 13:56:46:219,2.611786,3.084264
2020-03-30 13:56:46:260,2.611224,3.069872
2020-03-30 13:56:46:296,2.610751,3.04814
2020-03-30 13:56:46:333,2.608185,3.015441
2020-03-30 13:56:46:368,2.605295,3.000915
2020-03-30 13:56:46:413,2.603491,2.986411
2020-03-30 13:56:46:455,2.60139,2.975466
2020-03-30 13:56:46:489,2.599173,2.958601
2020-03-30 13:56:46:526,2.598051,2.946203
2020-03-30 13:56:46:560,2.59737,2.932456
2020-03-30 13:56:46:597,2.595692,2.917528
2020-03-30 13:56:46:630,2.592689,2.887051
2020-03-30 13:56:46:667,2.592997,2.866645
2020-03-30 13:56:46:709,2.591844,2.853798
2020-03-30 13:56:46:745,2.589846,2.830503
2020-03-30 13:56:46:781,2.58976,2.814256
2020-03-30 13:56:46:825,2.588257,2.797325
2020-03-30 13:56:46:861,2.586025,2.78058
2020-03-30 13:56:46:905,2.579352,2.744176
2020-03-30 13:56:46:939,2.576497,2.729578
2020-03-30 13:56:46:972,2.572052,2.704719
2020-03-30 13:56:47:011,2.568653,2.68968
2020-03-30 13:56:47:045,2.564187,2.668752
2020-03-30 13:56:47:079,2.560406,2.648526
2020-03-30 13:56:47:123,2.555619,2.623785
2020-03-30 13:56:47:155,2.552821,2.606887
2020-03-30 13:56:47:189,2.551292,2.585455
2020-03-30 13:56:47:231,2.551052,2.565024
2020-03-30 13:56:47:273,2.556308,2.531894
2020-03-30 13:56:47:314,2.561356,2.519029
2020-03-30 13:56:47:355,2.567249,2.504159
2020-03-30 13:56:47:391,2.574171,2.491033
2020-03-30 13:56:47:433,2.581059,2.479965
2020-03-30 13:56:47:467,2.600358,2.456398
2020-03-30 13:56:47:505,2.609665,2.444175
2020-03-30 13:56:47:542,2.619287,2.436215
2020-03-30 13:56:47:579,2.631871,2.428557
2020-03-30 13:56:47:616,2.645759,2.420268
2020-03-30 13:56:47:653,2.660232,2.412255
2020-03-30 13:56:47:687,2.67692,2.405612
2020-03-30 13:56:47:724,2.695486,2.399294
2020-03-30 13:56:47:757,2.71117,2.396122
2020-03-30 13:56:47:792,2.728654,2.392756
2020-03-30 13:56:47:834,2.747278,2.38931
2020-03-30 13:56:47:868,2.7791,2.377758
2020-03-30 13:56:47:921,2.79389,2.372361
2020-03-30 13:56:47:959,2.810303,2.364268
2020-03-30 13:56:48:000,2.824165,2.355445
2020-03-30 13:56:48:040,2.850596,2.334447
2020-03-30 13:56:48:080,2.863847,2.322497
2020-03-30 13:56:48:126,2.874689,2.312255
2020-03-30 13:56:48:163,2.898815,2.28926
2020-03-30 13:56:48:200,2.909249,2.280684
2020-03-30 13:56:48:244,2.922969,2.270406
2020-03-30 13:56:48:280,2.933401,2.26394
2020-03-30 13:56:48:322,2.948728,2.25237
2020-03-30 13:56:48:356,2.960301,2.246015
2020-03-30 13:56:48:397,2.975299,2.236732
2020-03-30 13:56:48:434,3.000525,2.217447
2020-03-30 13:56:48:472,3.013559,2.205549
2020-03-30 13:56:48:511,3.024323,2.19417
2020-03-30 13:56:48:545,3.036361,2.182543
2020-03-30 13:56:48:581,3.04734,2.169999
2020-03-30 13:56:48:623,3.058232,2.158197
2020-03-30 13:56:48:659,3.07197,2.143741
2020-03-30 13:56:48:700,3.08447,2.130354
2020-03-30 13:56:48:736,3.11509,2.101294
2020-03-30 13:56:48:770,3.129422,2.087455
2020-03-30 13:56:48:809,3.151309,2.070721
2020-03-30 13:56:48:842,3.169811,2.059986
2020-03-30 13:56:48:874,3.191849,2.049631
2020-03-30 13:56:48:914,3.210104,2.040307
2020-03-30 13:56:48:949,3.230795,2.033028
2020-03-30 13:56:48:983,3.249752,2.026714
2020-03-30 13:56:49:023,3.268409,2.023252
2020-03-30 13:56:49:059,3.283644,2.019882
2020-03-30 13:56:49:094,3.301437,2.017754
2020-03-30 13:56:49:142,3.337036,2.013183
2020-03-30 13:56:49:175,3.35621,2.013106
2020-03-30 13:56:49:216,3.372368,2.011467
2020-03-30 13:56:49:252,3.388717,2.009079
2020-03-30 13:56:49:287,3.406158,2.008893
2020-03-30 13:56:49:324,3.424054,2.008298
2020-03-30 13:56:49:362,3.446096,2.010246
2020-03-30 13:56:49:396,3.483639,2.013634
2020-03-30 13:56:49:435,3.504959,2.020428
2020-03-30 13:56:49:469,3.522668,2.026686
2020-03-30 13:56:49:505,3.540792,2.032425
2020-03-30 13:56:49:556,3.561978,2.040233
2020-03-30 13:56:49:602,3.58281,2.051641
2020-03-30 13:56:49:637,3.623228,2.066122
2020-03-30 13:56:49:672,3.645201,2.072904
2020-03-30 13:56:49:714,3.670258,2.082111
2020-03-30 13:56:49:751,3.690905,2.088048
2020-03-30 13:56:49:792,3.709255,2.090953
2020-03-30 13:56:49:831,3.742578,2.089455
2020-03-30 13:56:49:865,3.758358,2.089242
2020-03-30 13:56:49:904,3.772326,2.08842
2020-03-30 13:56:49:939,3.786637,2.086509
2020-03-30 13:56:49:972,3.801412,2.083524
2020-03-30 13:56:50:016,3.816008,2.079796
2020-03-30 13:56:50:050,3.833131,2.076171
2020-03-30 13:56:50:086,3.848131,2.070996
2020-03-30 13:56:50:125,3.862639,2.065547
2020-03-30 13:56:50:162,3.885997,2.061607
2020-03-30 13:56:50:202,3.924682,2.053928
2020-03-30 13:56:50:249,3.942716,2.048931
2020-03-30 13:56:50:296,3.961706,2.041686
2020-03-30 13:56:50:339,3.995327,2.020593
2020-03-30 13:56:50:376,4.006284,2.007831
2020-03-30 13:56:50:424,4.034415,1.999741
2020-03-30 13:56:50:459,4.056342,1.991843
2020-03-30 13:56:50:493,4.071533,1.981725
2020-03-30 13:56:50:534,4.095085,1.968238
2020-03-30 13:56:50:567,4.116139,1.947779
2020-03-30 13:56:50:609,4.120108,1.940227
2020-03-30 13:56:50:644,4.131058,1.933512
2020-03-30 13:56:50:688,4.15532,1.928722
2020-03-30 13:56:50:726,4.166497,1.927956
2020-03-30 13:56:50:759,4.184529,1.929637
2020-03-30 13:56:50:797,4.197789,1.92988
2020-03-30 13:56:50:835,4.22293,1.932386
2020-03-30 13:56:50:871,4.239051,1.929911
2020-03-30 13:56:50:914,4.262285,1.932695
2020-03-30 13:56:50:950,4.298755,1.935941
2020-03-30 13:56:50:984,4.30815,1.93546
2020-03-30 13:56:51:024,4.321974,1.938258
2020-03-30 13:56:51:057,4.340144,1.943753
2020-03-30 13:56:51:091,4.354354,1.950462
2020-03-30 13:56:51:133,4.353792,1.95407
2020-03-30 13:56:51:167,4.422451,1.988452
2020-03-30 13:56:51:205,4.430286,1.990266
2020-03-30 13:56:51:248,4.457129,2.009638
2020-03-30 13:56:51:284,4.457631,2.013644
2020-03-30 13:56:51:327,4.47341,2.036832
2020-03-30 13:56:51:369,4.499617,2.054096
2020-03-30 13:56:51:405,4.528671,2.076571
2020-03-30 13:56:51:447,4.537414,2.080129
2020-03-30 13:56:51:482,4.543886,2.102201
