2020-03-30 13:56:40:207, no_human
2020-03-30 13:56:40:218, no_human
2020-03-30 13:56:40:481, no_human
2020-03-30 13:56:40:556, no_human
2020-03-30 13:56:40:573, no_human
2020-03-30 13:56:40:590, no_human
2020-03-30 13:56:40:608, no_human
2020-03-30 13:56:40:624, no_human
2020-03-30 13:56:40:641, no_human
2020-03-30 13:56:40:657, no_human
2020-03-30 13:56:40:674, no_human
2020-03-30 13:56:40:718, no_human
2020-03-30 13:56:40:736, no_human
2020-03-30 13:56:40:742, no_human
2020-03-30 13:56:40:758, no_human
2020-03-30 13:56:40:775, no_human
2020-03-30 13:56:40:830, no_human
2020-03-30 13:56:40:858, no_human
2020-03-30 13:56:40:889, no_human
2020-03-30 13:56:40:915, no_human
2020-03-30 13:56:40:942, no_human
2020-03-30 13:56:40:948, no_human
2020-03-30 13:56:40:988, no_human
2020-03-30 13:56:41:016, no_human
2020-03-30 13:56:41:042, no_human
2020-03-30 13:56:41:048, no_human
2020-03-30 13:56:41:088, no_human
2020-03-30 13:56:41:116, no_human
2020-03-30 13:56:41:143, no_human
2020-03-30 13:56:41:152, no_human
2020-03-30 13:56:41:191, no_human
2020-03-30 13:56:41:227, no_human
2020-03-30 13:56:41:255, no_human
2020-03-30 13:56:41:282, no_human
2020-03-30 13:56:41:316, no_human
2020-03-30 13:56:41:368,-0.2450355,1.6479953.087161
2020-03-30 13:56:41:414,-0.2465037,1.6485093.087138
2020-03-30 13:56:41:451,-0.2493881,1.6492543.086127
2020-03-30 13:56:41:490,-0.2536252,1.6512693.084859
2020-03-30 13:56:41:535,-0.2643274,1.654843.082077
2020-03-30 13:56:41:568,-0.2706297,1.658843.078676
2020-03-30 13:56:41:614,-0.2785656,1.6611443.075305
2020-03-30 13:56:41:650,-0.2870861,1.6633693.070632
2020-03-30 13:56:41:688,-0.2945615,1.664113.067056
2020-03-30 13:56:41:732,-0.3099726,1.6675333.05973
2020-03-30 13:56:41:769,-0.3196513,1.6691543.053149
2020-03-30 13:56:41:813,-0.3307081,1.6701573.047738
2020-03-30 13:56:41:846,-0.3382924,1.6720143.042858
2020-03-30 13:56:41:880,-0.344451,1.6728483.040095
2020-03-30 13:56:41:917,-0.3526008,1.6748683.036396
2020-03-30 13:56:41:956,-0.3605507,1.6771063.032604
2020-03-30 13:56:41:996,-0.3706557,1.6803163.027247
2020-03-30 13:56:42:037,-0.3873183,1.6840583.021767
2020-03-30 13:56:42:072,-0.3958833,1.6852383.019601
2020-03-30 13:56:42:084,-0.3958833,1.6852383.019601
2020-03-30 13:56:42:125,-0.4035083,1.6863323.016408
2020-03-30 13:56:42:160,-0.410138,1.6874043.014282
2020-03-30 13:56:42:198,-0.4177859,1.6886463.011661
2020-03-30 13:56:42:234,-0.4292658,1.6892863.006481
2020-03-30 13:56:42:247,-0.4292658,1.6892863.006481
2020-03-30 13:56:42:289,-0.4353544,1.6894923.003351
2020-03-30 13:56:42:329,-0.4404895,1.6895373.000517
2020-03-30 13:56:42:366,-0.4491878,1.6894572.992935
2020-03-30 13:56:42:410,-0.4525658,1.6889872.989261
2020-03-30 13:56:42:450,-0.4563764,1.6883082.984875
2020-03-30 13:56:42:488,-0.4613765,1.6877522.980772
2020-03-30 13:56:42:527,-0.4661618,1.6863182.973642
2020-03-30 13:56:42:562,-0.4737426,1.6839022.960806
2020-03-30 13:56:42:600,-0.4780115,1.68282.955753
2020-03-30 13:56:42:634,-0.4819182,1.6807522.949139
2020-03-30 13:56:42:672,-0.4864053,1.6777042.940745
2020-03-30 13:56:42:712,-0.4896086,1.6744072.93302
2020-03-30 13:56:42:749,-0.4923041,1.6718452.92678
2020-03-30 13:56:42:783,-0.4937755,1.6698672.921172
2020-03-30 13:56:42:828,-0.4955051,1.668422.915473
2020-03-30 13:56:42:863,-0.495681,1.6654722.909314
2020-03-30 13:56:42:903,-0.4953074,1.6647662.907453
2020-03-30 13:56:42:943,-0.4945463,1.6641142.9061
2020-03-30 13:56:42:977,-0.4937178,1.6637892.904886
2020-03-30 13:56:43:019,-0.4920063,1.6631952.904347
2020-03-30 13:56:43:053,-0.4890031,1.6628942.904514
2020-03-30 13:56:43:088,-0.4856157,1.6629142.904402
