2020-03-30 13:56:40:207, no_human
2020-03-30 13:56:40:218, no_human
2020-03-30 13:56:40:481, no_human
2020-03-30 13:56:40:556, no_human
2020-03-30 13:56:40:573, no_human
2020-03-30 13:56:40:590, no_human
2020-03-30 13:56:40:608, no_human
2020-03-30 13:56:40:624, no_human
2020-03-30 13:56:40:641, no_human
2020-03-30 13:56:40:657, no_human
2020-03-30 13:56:40:674, no_human
2020-03-30 13:56:40:718, no_human
2020-03-30 13:56:40:736, no_human
2020-03-30 13:56:40:742, no_human
2020-03-30 13:56:40:758, no_human
2020-03-30 13:56:40:775, no_human
2020-03-30 13:56:40:830, no_human
2020-03-30 13:56:40:858, no_human
2020-03-30 13:56:40:889, no_human
2020-03-30 13:56:40:915, no_human
2020-03-30 13:56:40:942, no_human
2020-03-30 13:56:40:948, no_human
2020-03-30 13:56:40:988, no_human
2020-03-30 13:56:41:016, no_human
2020-03-30 13:56:41:042, no_human
2020-03-30 13:56:41:048, no_human
2020-03-30 13:56:41:088, no_human
2020-03-30 13:56:41:116, no_human
2020-03-30 13:56:41:143, no_human
2020-03-30 13:56:41:152, no_human
2020-03-30 13:56:41:191, no_human
2020-03-30 13:56:41:227, no_human
2020-03-30 13:56:41:255, no_human
2020-03-30 13:56:41:282, no_human
2020-03-30 13:56:41:316, no_human
2020-03-30 13:56:41:368,-0.2794072,0.934397,2.818058,-0.2836806,1.23369,2.818863,-0.2866092,1.525428,2.807275,-0.2450355,1.647995,2.767161,-0.4373294,1.411703,2.774231,-0.5066798,1.183355,2.819611,-0.4844935,0.9914773,2.841165,-0.4903012,0.9889558,2.835345,-0.1200384,1.407089,2.874455,-0.1032848,1.201926,2.927557,-0.09552842,1.062679,2.779493,-0.1436293,1.00767,2.766615,-0.348222,0.9374841,2.758701,-0.4082034,0.5404906,2.599781,-0.472916,0.1483553,2.6169,-0.473877,0.1444336,2.523438,-0.2035426,0.9355047,2.80603,-0.2268121,0.5451292,2.822992,-0.3099676,0.136428,2.863734,-0.267334,0.1195313,2.78125,-0.2861176,1.453541,2.812431,-0.4819253,0.9677371,2.802929,-0.4759178,0.9797872,2.79,-0.1381229,0.957305,2.754008,-0.1619808,1.244198,2.709316
2020-03-30 13:56:41:414,-0.2794005,0.934545,2.817062,-0.2842358,1.233867,2.818214,-0.2879893,1.525689,2.806788,-0.2465037,1.648509,2.767138,-0.4406271,1.411851,2.773498,-0.5093938,1.182263,2.818029,-0.49683,0.9898266,2.84257,-0.4327067,0.9313446,2.690898,-0.1210688,1.407749,2.873737,-0.1036247,1.20216,2.927146,-0.1011796,1.062902,2.778429,-0.1477383,0.985861,2.759137,-0.3482527,0.9375116,2.758048,-0.4102089,0.5362859,2.601781,-0.4886308,0.1410041,2.651184,-0.4930232,0.1306534,2.561393,-0.2034842,0.9358797,2.804571,-0.227441,0.5446635,2.823051,-0.3098992,0.1367116,2.864505,-0.2660137,0.1192831,2.780285,-0.2872453,1.453774,2.811902,-0.4298229,0.8622998,2.640412,-0.3833914,0.9640422,2.668596,-0.146286,0.9123138,2.751175,-0.1790158,1.228252,2.69725
2020-03-30 13:56:41:451,-0.2802087,0.935019,2.814149,-0.2855024,1.233805,2.815681,-0.2896732,1.525099,2.804565,-0.2493881,1.649254,2.766127,-0.4433683,1.412216,2.771027,-0.5123591,1.178776,2.815359,-0.4882388,0.9850889,2.82602,-0.4365229,0.9329674,2.688465,-0.1226558,1.40857,2.872677,-0.106298,1.205343,2.923354,-0.1036219,1.064221,2.776389,-0.1535269,0.9938567,2.746572,-0.3489577,0.9377886,2.755864,-0.4129136,0.5307307,2.608346,-0.5003481,0.14125,2.672808,-0.4977506,0.127443,2.571242,-0.2043621,0.9365458,2.800913,-0.227594,0.5444754,2.822296,-0.3099299,0.1367614,2.864651,-0.2659938,0.1191832,2.781222,-0.2888314,1.45332,2.80961,-0.4354129,0.8636888,2.645154,-0.3881964,0.9710162,2.66,-0.1559307,0.9147888,2.740978,-0.1832938,1.234742,2.685461
2020-03-30 13:56:41:490,-0.2819716,0.9356822,2.809989,-0.2876568,1.2341,2.812462,-0.292101,1.525059,2.802205,-0.2536252,1.651269,2.764859,-0.4454455,1.413362,2.768148,-0.5142492,1.177881,2.810283,-0.5250233,0.982115,2.807111,-0.4873826,0.9714141,2.758898,-0.1254451,1.408129,2.869066,-0.1079448,1.205291,2.920359,-0.1049608,1.06401,2.773343,-0.1504447,0.991317,2.747349,-0.3510107,0.93896,2.750993,-0.4155458,0.5262939,2.617995,-0.505814,0.143719,2.686105,-0.5025399,0.1262996,2.585957,-0.2058086,0.9367334,2.797495,-0.2283299,0.5457481,2.819524,-0.309912,0.1367954,2.864532,-0.2658786,0.1190824,2.781347,-0.2912049,1.45336,2.807046,-0.475468,0.9503874,2.701406,-0.4701945,0.968892,2.70275,-0.1481769,0.9135773,2.736674,-0.1766961,1.232279,2.68445
2020-03-30 13:56:41:535,-0.2883653,0.9351866,2.798366,-0.2959478,1.235824,2.803012,-0.302623,1.528763,2.794591,-0.2643274,1.65484,2.762077,-0.4523644,1.41576,2.758588,-0.5200067,1.173185,2.800027,-0.5205278,0.9775124,2.817096,-0.5098742,0.9836909,2.788815,-0.1369955,1.411121,2.855916,-0.115905,1.203672,2.910107,-0.1167414,1.066389,2.757059,-0.1583329,0.9908745,2.736362,-0.3572619,0.9384907,2.739764,-0.4203822,0.5161358,2.638031,-0.5059403,0.1419491,2.694268,-0.5036767,0.1234383,2.591104,-0.2121327,0.9361241,2.785517,-0.2321901,0.5474358,2.81232,-0.309846,0.1370558,2.864918,-0.2661721,0.1192862,2.78159,-0.3011403,1.456581,2.799,-0.4981425,0.9195373,2.7457,-0.5039191,0.9919102,2.744949,-0.1577061,0.9157473,2.731445,-0.1853059,1.230445,2.677167
2020-03-30 13:56:41:568,-0.2932101,0.9344624,2.79243,-0.3009639,1.23597,2.796453,-0.3073909,1.52978,2.787865,-0.2706297,1.65884,2.758676,-0.4566762,1.418768,2.752306,-0.5236256,1.171755,2.796201,-0.5320393,0.9764884,2.819174,-0.5402197,0.9133384,2.838915,-0.1399932,1.411133,2.849839,-0.1208302,1.201712,2.903737,-0.1175206,1.062556,2.751353,-0.1660645,0.9845499,2.725688,-0.3620479,0.938368,2.733927,-0.4225612,0.5150077,2.641788,-0.5061796,0.1423096,2.695299,-0.5035666,0.1224307,2.591494,-0.2169092,0.9348003,2.779425,-0.2353219,0.5496061,2.807065,-0.3094348,0.1377205,2.86526,-0.2662197,0.1193134,2.782202,-0.3060201,1.457392,2.792278,-0.5284173,0.8494252,2.795809,-0.5341013,0.922104,2.795085,-0.1672882,0.9111836,2.710179,-0.1908123,1.231892,2.6711
2020-03-30 13:56:41:614,-0.2980047,0.9360462,2.787023,-0.3060517,1.237094,2.790516,-0.3126329,1.530388,2.781513,-0.2785656,1.661144,2.755305,-0.4636278,1.418863,2.746762,-0.5268358,1.171696,2.792565,-0.5349979,0.9766538,2.821146,-0.5354682,0.9111671,2.833795,-0.1490616,1.415314,2.84027,-0.1369693,1.191687,2.842362,-0.1362896,1.01732,2.734269,-0.1643977,0.9418074,2.727719,-0.3668633,0.9392155,2.728571,-0.4239201,0.5154598,2.643157,-0.5056999,0.1427872,2.696031,-0.5039057,0.1219295,2.592406,-0.2215645,0.9371123,2.773926,-0.2381616,0.5523102,2.801445,-0.3089343,0.1394039,2.865967,-0.2663184,0.1194034,2.782151,-0.3112451,1.458134,2.786022,-0.5236772,0.8472623,2.79068,-0.5306509,0.9205338,2.791332,-0.1552366,0.8636786,2.716189,-0.1886709,1.146662,2.682734
2020-03-30 13:56:41:650,-0.3021919,0.9382074,2.782687,-0.3099507,1.239332,2.785499,-0.3161904,1.532697,2.775801,-0.2870861,1.663369,2.750632,-0.4692901,1.421858,2.74219,-0.5410115,1.189533,2.781256,-0.5325409,0.9969649,2.822249,-0.5278825,1.001669,2.793592,-0.1552166,1.416765,2.833071,-0.1428107,1.191407,2.835681,-0.1419645,1.016428,2.72812,-0.1715998,0.9402193,2.722841,-0.3707611,0.9412732,2.725119,-0.4277019,0.5171198,2.64362,-0.5050821,0.1425453,2.697804,-0.5039433,0.1217828,2.592659,-0.2259085,0.9393145,2.768617,-0.2412099,0.5531118,2.797909,-0.308029,0.1407805,2.866161,-0.2658404,0.1193588,2.781557,-0.3148973,1.460428,2.780489,-0.5203673,0.9923021,2.763929,-0.5142894,0.9965438,2.7515,-0.176321,0.8604085,2.69742,-0.1939775,1.15572,2.6765
2020-03-30 13:56:41:688,-0.3081693,0.9387767,2.780207,-0.3145981,1.239704,2.782048,-0.3198113,1.532904,2.771249,-0.2945615,1.66411,2.747056,-0.4754449,1.420662,2.737962,-0.5430113,1.188309,2.781529,-0.5368561,0.9954126,2.822443,-0.5389393,0.9984964,2.801833,-0.1606473,1.416277,2.824492,-0.145908,1.191271,2.830574,-0.146198,1.015912,2.723187,-0.1758862,0.9438497,2.718805,-0.3769448,0.942021,2.723329,-0.4326967,0.517487,2.643358,-0.5051466,0.1424572,2.698436,-0.5044131,0.1211519,2.594399,-0.2315654,0.9396939,2.765466,-0.2443812,0.5546475,2.794086,-0.3072653,0.1423534,2.866663,-0.2660563,0.1193739,2.781871,-0.3187594,1.460676,2.776235,-0.5410199,0.9988234,2.792921,-0.5345473,0.9993236,2.779,-0.1842869,0.8637114,2.687922,-0.1950467,1.171524,2.676
2020-03-30 13:56:41:732,-0.321611,0.9416866,2.771007,-0.3300734,1.242663,2.771008,-0.3369579,1.535749,2.758538,-0.3099726,1.667533,2.73973,-0.4911381,1.423096,2.7313,-0.5544068,1.192773,2.776536,-0.5411661,0.9990308,2.814717,-0.5507605,1.0061,2.803826,-0.1722977,1.419239,2.810674,-0.1538596,1.192924,2.81811,-0.153744,1.015215,2.714331,-0.1858054,0.9487234,2.71231,-0.3904942,0.9448149,2.714959,-0.4428186,0.5175517,2.642454,-0.505314,0.1416813,2.699924,-0.5045935,0.1203741,2.596174,-0.244454,0.9426524,2.755525,-0.2514901,0.5569128,2.788724,-0.306716,0.1423699,2.867003,-0.2660153,0.1194363,2.781961,-0.3355227,1.463567,2.763921,-0.5469705,1.002949,2.78442,-0.5429001,1.008643,2.762793,-0.1838339,0.8651929,2.699095,-0.2061871,1.137858,2.66875
