2020-03-30 13:56:40:207, no_human
2020-03-30 13:56:40:218, no_human
2020-03-30 13:56:40:481, no_human
2020-03-30 13:56:40:556, no_human
2020-03-30 13:56:40:573, no_human
2020-03-30 13:56:40:590, no_human
2020-03-30 13:56:40:608, no_human
2020-03-30 13:56:40:624, no_human
2020-03-30 13:56:40:641, no_human
2020-03-30 13:56:40:657, no_human
2020-03-30 13:56:40:674, no_human
2020-03-30 13:56:40:718, no_human
2020-03-30 13:56:40:736, no_human
2020-03-30 13:56:40:742, no_human
2020-03-30 13:56:40:758, no_human
2020-03-30 13:56:40:775, no_human
2020-03-30 13:56:40:830, no_human
2020-03-30 13:56:40:858, no_human
2020-03-30 13:56:40:889, no_human
2020-03-30 13:56:40:915, no_human
2020-03-30 13:56:40:942, no_human
2020-03-30 13:56:40:948, no_human
2020-03-30 13:56:40:988, no_human
2020-03-30 13:56:41:016, no_human
2020-03-30 13:56:41:042, no_human
2020-03-30 13:56:41:048, no_human
2020-03-30 13:56:41:088, no_human
2020-03-30 13:56:41:116, no_human
2020-03-30 13:56:41:143, no_human
2020-03-30 13:56:41:152, no_human
2020-03-30 13:56:41:191, no_human
2020-03-30 13:56:41:227, no_human
2020-03-30 13:56:41:255, no_human
2020-03-30 13:56:41:282, no_human
2020-03-30 13:56:41:316, no_human
2020-03-30 13:56:41:368,0.02940723,1.865603,-0.9780579,0.03368062,1.56631,-0.9788628,0.0366092,1.274572,-0.9672747,-0.004964516,1.152005,-0.9271606,0.1873294,1.388297,-0.9342309,0.2566798,1.616645,-0.979611,0.2344935,1.808523,-1.001165,0.2403012,1.811044,-0.9953449,-0.1299616,1.392911,-1.034455,-0.1467152,1.598074,-1.087556,-0.1544716,1.737321,-0.939493,-0.1063707,1.79233,-0.9266153,0.09822202,1.862516,-0.9187005,0.1582034,2.25951,-0.7597807,0.222916,2.651645,-0.7769001,0.223877,2.655566,-0.6834374,-0.04645735,1.864495,-0.9660299,-0.02318788,2.254871,-0.982992,0.05996761,2.663572,-1.023733,0.01733398,2.680469,-0.9412499,0.03611755,1.34646,-0.9724305,0.2319253,1.832263,-0.9629291,0.2259178,1.820213,-0.9499999,-0.1118771,1.842695,-0.9140082,-0.08801916,1.855802,-0.5393158,
2020-03-30 13:56:41:414,0.02940053,1.865455,-0.977062,0.03423578,1.566133,-0.9782136,0.03798926,1.274311,-0.9667881,-0.003496259,1.151491,-0.9271379,0.1906271,1.388149,-0.9334975,0.2593938,1.617737,-0.9780286,0.24683,1.810174,-1.00257,0.1827067,1.868655,-0.8508976,-0.1289312,1.392251,-1.033737,-0.1463753,1.59784,-1.087146,-0.1488204,1.737098,-0.9384285,-0.1022617,1.814139,-0.9191373,0.09825268,1.862488,-0.9180475,0.1602089,2.263714,-0.7617806,0.2386308,2.658996,-0.8111835,0.2430232,2.669347,-0.7213934,-0.04651582,1.86412,-0.9645711,-0.02255896,2.255337,-0.9830506,0.05989918,2.663289,-1.024505,0.01601365,2.680717,-0.9402853,0.03724527,1.346226,-0.9719017,0.1798229,1.9377,-0.8004115,0.1333914,1.835958,-0.8285955,-0.103714,1.887686,-0.9111753,-0.07098423,1.871748,-0.5272499,
2020-03-30 13:56:41:451,0.03020874,1.864981,-0.974149,0.03550243,1.566195,-0.9756811,0.03967324,1.274901,-0.9645646,-0.0006118864,1.150747,-0.9261268,0.1933683,1.387784,-0.9310265,0.2623591,1.621224,-0.9753593,0.2382388,1.814911,-0.9860201,0.1865229,1.867033,-0.8484645,-0.1273443,1.39143,-1.032677,-0.143702,1.594657,-1.083354,-0.1463781,1.73578,-0.936389,-0.09647308,1.806143,-0.9065722,0.09895775,1.862211,-0.9158641,0.1629136,2.269269,-0.7683461,0.2503481,2.65875,-0.8328083,0.2477506,2.672557,-0.7312418,-0.04563791,1.863454,-0.9609132,-0.022406,2.255525,-0.9822963,0.05992991,2.663239,-1.024651,0.0159938,2.680817,-0.9412223,0.03883144,1.346681,-0.9696098,0.1854129,1.936311,-0.8051544,0.1381964,1.828984,-0.8199998,-0.09406929,1.885211,-0.9009779,-0.06670623,1.865258,-0.5154611,
2020-03-30 13:56:41:490,0.03197157,1.864318,-0.9699886,0.03765681,1.5659,-0.972462,0.04210097,1.274941,-0.9622048,0.003625214,1.148731,-0.9248586,0.1954455,1.386638,-0.9281476,0.2642492,1.622119,-0.9702829,0.2750233,1.817885,-0.9671112,0.2373826,1.828586,-0.9188982,-0.1245549,1.391871,-1.029066,-0.1420552,1.594709,-1.080359,-0.1450392,1.73599,-0.933343,-0.09955534,1.808683,-0.9073485,0.1010107,1.86104,-0.9109934,0.1655458,2.273706,-0.7779952,0.255814,2.656281,-0.8461054,0.2525399,2.6737,-0.7459567,-0.04419136,1.863267,-0.9574946,-0.02167007,2.254252,-0.979524,0.059912,2.663205,-1.024531,0.01587862,2.680918,-0.9413465,0.0412049,1.34664,-0.9670458,0.225468,1.849613,-0.8614054,0.2201945,1.831108,-0.8627499,-0.1018231,1.886423,-0.896674,-0.07330391,1.867721,-0.51445,
2020-03-30 13:56:41:535,0.0383653,1.864813,-0.9583662,0.04594779,1.564176,-0.963012,0.05262303,1.271237,-0.9545909,0.01432741,1.14516,-0.922077,0.2023644,1.38424,-0.918588,0.2700067,1.626815,-0.9600268,0.2705278,1.822488,-0.9770954,0.2598742,1.816309,-0.9488149,-0.1130045,1.388879,-1.015915,-0.134095,1.596328,-1.070107,-0.1332586,1.733611,-0.9170592,-0.09166707,1.809126,-0.8963614,0.1072619,1.861509,-0.8997636,0.1703822,2.283864,-0.7980314,0.2559403,2.658051,-0.8542677,0.2536767,2.676562,-0.7511039,-0.03786729,1.863876,-0.9455174,-0.01780987,2.252564,-0.9723204,0.05984595,2.662944,-1.024918,0.01617208,2.680714,-0.9415894,0.05114028,1.343419,-0.9589995,0.2481425,1.880463,-0.9057,0.2539191,1.80809,-0.9049485,-0.09229389,1.884253,-0.891445,-0.06469409,1.869555,-0.507167,
2020-03-30 13:56:41:568,0.04321015,1.865538,-0.9524298,0.05096388,1.56403,-0.9564527,0.0573909,1.27022,-0.9478646,0.02062967,1.14116,-0.9186757,0.2066762,1.381232,-0.9123064,0.2736256,1.628245,-0.9562011,0.2820393,1.823512,-0.979174,0.2902197,1.886662,-0.9989148,-0.1100068,1.388867,-1.009839,-0.1291698,1.598288,-1.063737,-0.1324794,1.737444,-0.9113527,-0.0839355,1.81545,-0.8856876,0.1120479,1.861632,-0.8939269,0.1725612,2.284992,-0.8017877,0.2561796,2.657691,-0.8552988,0.2535666,2.677569,-0.751494,-0.03309077,1.8652,-0.9394253,-0.01467814,2.250394,-0.9670649,0.05943483,2.66228,-1.02526,0.01621968,2.680687,-0.9422014,0.05602008,1.342608,-0.9522775,0.2784173,1.950575,-0.9558085,0.2841013,1.877896,-0.9550846,-0.08271177,1.888816,-0.870179,-0.05918768,1.868108,-0.5010999,
2020-03-30 13:56:41:614,0.04800475,1.863954,-0.9470225,0.05605167,1.562906,-0.950516,0.06263289,1.269612,-0.9415129,0.02856559,1.138856,-0.9153052,0.2136278,1.381137,-0.9067617,0.2768358,1.628304,-0.9525653,0.2849979,1.823346,-0.9811459,0.2854682,1.888833,-0.9937945,-0.1009384,1.384686,-1.000269,-0.1130307,1.608313,-1.002362,-0.1137104,1.78268,-0.8942686,-0.08560233,1.858193,-0.887719,0.1168633,1.860785,-0.8885713,0.1739201,2.28454,-0.8031569,0.2556999,2.657213,-0.8560305,0.2539057,2.678071,-0.7524055,-0.02843551,1.862888,-0.9339257,-0.01183836,2.24769,-0.9614444,0.0589343,2.660596,-1.025967,0.01631841,2.680597,-0.9421507,0.06124508,1.341866,-0.9460223,0.2736772,1.952738,-0.9506803,0.2806509,1.879466,-0.9513324,-0.0947634,1.936321,-0.8761893,-0.06132907,1.953338,-0.5127336,
2020-03-30 13:56:41:650,0.05219191,1.861793,-0.9426869,0.05995071,1.560668,-0.9454992,0.06619036,1.267303,-0.9358009,0.0370861,1.136631,-0.9106322,0.2192901,1.378142,-0.9021898,0.2910115,1.610467,-0.9412561,0.2825409,1.803035,-0.9822488,0.2778825,1.798331,-0.9535916,-0.09478343,1.383235,-0.9930709,-0.1071893,1.608593,-0.9956809,-0.1080355,1.783572,-0.8881198,-0.07840021,1.859781,-0.8828407,0.1207611,1.858727,-0.8851185,0.1777019,2.28288,-0.8036204,0.2550821,2.657455,-0.8578036,0.2539433,2.678217,-0.7526589,-0.02409153,1.860686,-0.9286173,-0.00879012,2.246888,-0.9579092,0.05802897,2.65922,-1.026161,0.01584041,2.680641,-0.9415565,0.06489727,1.339572,-0.9404886,0.2703673,1.807698,-0.923929,0.2642894,1.803456,-0.9115,-0.07367899,1.939592,-0.85742,-0.05602252,1.94428,-0.5065001,
2020-03-30 13:56:41:688,0.05816931,1.861223,-0.9402073,0.06459808,1.560296,-0.9420477,0.06981131,1.267096,-0.9312485,0.04456151,1.13589,-0.9070564,0.2254449,1.379338,-0.8979619,0.2930113,1.611691,-0.9415286,0.2868561,1.804587,-0.9824432,0.2889393,1.801504,-0.9618331,-0.08935267,1.383723,-0.9844916,-0.104092,1.608729,-0.9905735,-0.103802,1.784088,-0.8831871,-0.07411385,1.85615,-0.8788052,0.1269448,1.857979,-0.8833292,0.1826967,2.282513,-0.8033579,0.2551466,2.657543,-0.8584362,0.2544131,2.678848,-0.7543989,-0.01843464,1.860306,-0.9254661,-0.005618796,2.245353,-0.9540856,0.05726531,2.657647,-1.026663,0.01605627,2.680626,-0.941871,0.06875938,1.339324,-0.9362352,0.2910199,1.801177,-0.952921,0.2845473,1.800676,-0.939,-0.06571309,1.936289,-0.8479217,-0.05495332,1.928476,-0.5060004,
2020-03-30 13:56:41:732,0.07161099,1.858313,-0.931007,0.08007345,1.557337,-0.9310079,0.08695793,1.264251,-0.9185377,0.05997255,1.132467,-0.89973,0.2411381,1.376904,-0.8913003,0.3044068,1.607227,-0.9365361,0.2911661,1.800969,-0.974717,0.3007605,1.7939,-0.9638258,-0.0777023,1.380761,-0.9706743,-0.0961404,1.607076,-0.9781099,-0.09625602,1.784785,-0.8743311,-0.06419463,1.851277,-0.8723102,0.1404942,1.855185,-0.8749593,0.1928186,2.282448,-0.8024541,0.255314,2.658319,-0.8599234,0.2545935,2.679626,-0.7561737,-0.005546018,1.857348,-0.9155253,0.001490086,2.243087,-0.9487236,0.056716,2.65763,-1.027003,0.01601526,2.680564,-0.9419606,0.08552265,1.336433,-0.9239207,0.2969705,1.797051,-0.9444194,0.2929001,1.791357,-0.9227927,-0.06616613,1.934807,-0.8590944,-0.04381289,1.962142,-0.4987498,
