2019-12-13 16:08:24:643, no_human
2019-12-13 16:08:24:653, no_human
2019-12-13 16:08:24:874, no_human
2019-12-13 16:08:24:942, no_human
2019-12-13 16:08:24:958, no_human
2019-12-13 16:08:24:975, no_human
2019-12-13 16:08:24:992, no_human
2019-12-13 16:08:25:008, no_human
2019-12-13 16:08:25:025, no_human
2019-12-13 16:08:25:046, no_human
2019-12-13 16:08:25:058, no_human
2019-12-13 16:08:25:074, no_human
2019-12-13 16:08:25:090, no_human
2019-12-13 16:08:25:107, no_human
2019-12-13 16:08:25:146, no_human
2019-12-13 16:08:25:151, no_human
2019-12-13 16:08:25:176, no_human
2019-12-13 16:08:25:201, no_human
2019-12-13 16:08:25:211, no_human
2019-12-13 16:08:25:226, no_human
2019-12-13 16:08:25:242, no_human
2019-12-13 16:08:25:282, no_human
2019-12-13 16:08:25:306, no_human
2019-12-13 16:08:25:334, no_human
2019-12-13 16:08:25:367, no_human
2019-12-13 16:08:25:399, no_human
2019-12-13 16:08:25:439, no_human
2019-12-13 16:08:25:465, no_human
2019-12-13 16:08:25:490, no_human
2019-12-13 16:08:25:515, no_human
2019-12-13 16:08:25:521, no_human
2019-12-13 16:08:25:556, no_human
2019-12-13 16:08:25:581, no_human
2019-12-13 16:08:25:586, no_human
2019-12-13 16:08:25:621, no_human
2019-12-13 16:08:25:646, no_human
2019-12-13 16:08:25:653, no_human
2019-12-13 16:08:25:690, no_human
2019-12-13 16:08:25:715, no_human
2019-12-13 16:08:25:722, no_human
2019-12-13 16:08:25:758, no_human
2019-12-13 16:08:25:785, no_human
2019-12-13 16:08:25:813, no_human
2019-12-13 16:08:25:822, no_human
2019-12-13 16:08:25:859, no_human
2019-12-13 16:08:25:889, no_human
2019-12-13 16:08:25:916, no_human
2019-12-13 16:08:25:925, no_human
2019-12-13 16:08:25:967, no_human
2019-12-13 16:08:25:995, no_human
2019-12-13 16:08:26:031, no_human
2019-12-13 16:08:26:062, no_human
2019-12-13 16:08:26:088, no_human
2019-12-13 16:08:26:114, no_human
2019-12-13 16:08:26:120, no_human
2019-12-13 16:08:26:167, no_human
2019-12-13 16:08:26:195, no_human
2019-12-13 16:08:26:222, no_human
2019-12-13 16:08:26:247, no_human
2019-12-13 16:08:26:253, no_human
2019-12-13 16:08:26:289, no_human
2019-12-13 16:08:26:316, no_human
2019-12-13 16:08:26:324, no_human
2019-12-13 16:08:26:359, no_human
2019-12-13 16:08:26:403,3.722415,2.868834
2019-12-13 16:08:26:440,3.726365,2.866355
2019-12-13 16:08:26:472,3.73148,2.862736
2019-12-13 16:08:26:486,3.73148,2.862736
2019-12-13 16:08:26:524,3.735776,2.859703
2019-12-13 16:08:26:564,3.73945,2.856555
2019-12-13 16:08:26:600,3.742555,2.853305
2019-12-13 16:08:26:632,3.74936,2.844987
2019-12-13 16:08:26:667,3.74936,2.844987
2019-12-13 16:08:26:710,3.752158,2.838288
2019-12-13 16:08:26:746,3.75304,2.835742
2019-12-13 16:08:26:786,3.753608,2.833913
2019-12-13 16:08:26:835,3.753315,2.831467
2019-12-13 16:08:26:869,3.750503,2.825605
2019-12-13 16:08:26:902,3.747967,2.823069
2019-12-13 16:08:26:935,3.743889,2.820157
2019-12-13 16:08:26:969,3.74037,2.817858
2019-12-13 16:08:27:004,3.734026,2.815486
2019-12-13 16:08:27:049,3.728157,2.813376
2019-12-13 16:08:27:191,3.694924,2.809788
2019-12-13 16:08:27:235,3.683395,2.810397
2019-12-13 16:08:27:274,3.658903,2.814488
2019-12-13 16:08:27:311,3.648311,2.814929
2019-12-13 16:08:27:352,3.635858,2.816233
2019-12-13 16:08:27:394,3.623399,2.816832
2019-12-13 16:08:27:430,3.610812,2.818596
2019-12-13 16:08:27:470,3.588871,2.819181
2019-12-13 16:08:27:506,3.574537,2.820858
2019-12-13 16:08:27:544,3.564301,2.82064
2019-12-13 16:08:27:586,3.554194,2.822269
2019-12-13 16:08:27:625,3.543824,2.821896
2019-12-13 16:08:27:667,3.533836,2.821254
2019-12-13 16:08:27:713,3.510749,2.821082
2019-12-13 16:08:27:758,3.500952,2.818657
2019-12-13 16:08:27:793,3.490189,2.817252
2019-12-13 16:08:27:827,3.480063,2.814756
2019-12-13 16:08:27:860,3.471639,2.813515
2019-12-13 16:08:27:895,3.463481,2.811199
2019-12-13 16:08:27:929,3.453203,2.808779
2019-12-13 16:08:27:962,3.444833,2.805942
2019-12-13 16:08:27:996,3.437681,2.805177
2019-12-13 16:08:28:034,3.430522,2.803209
2019-12-13 16:08:28:067,3.416366,2.800049
2019-12-13 16:08:28:100,3.416366,2.800049
2019-12-13 16:08:28:135,3.406124,2.798147
2019-12-13 16:08:28:179,3.401987,2.797818
2019-12-13 16:08:28:221,3.398469,2.797351
2019-12-13 16:08:28:253,3.394923,2.796204
2019-12-13 16:08:28:287,3.391995,2.795918
2019-12-13 16:08:28:319,3.390007,2.795143
2019-12-13 16:08:28:362,3.38795,2.794308
2019-12-13 16:08:28:405,3.387283,2.794163
2019-12-13 16:08:28:461,3.386039,2.793774
2019-12-13 16:08:28:503,3.385688,2.793255
2019-12-13 16:08:28:545,3.386777,2.792503
2019-12-13 16:08:28:594,3.388961,2.791967
2019-12-13 16:08:28:626,3.391957,2.790742
2019-12-13 16:08:28:659,3.394887,2.79034
2019-12-13 16:08:28:694,3.401155,2.78992
2019-12-13 16:08:28:727,3.407225,2.788259
2019-12-13 16:08:28:761,3.41281,2.786582
2019-12-13 16:08:28:799,3.421461,2.785186
2019-12-13 16:08:28:841,3.436408,2.783595
2019-12-13 16:08:28:891,3.444077,2.782309
2019-12-13 16:08:28:940,3.459878,2.780561
2019-12-13 16:08:28:992,3.4667,2.77898
2019-12-13 16:08:29:037,3.482148,2.778525
2019-12-13 16:08:29:069,3.488053,2.777078
2019-12-13 16:08:29:101,3.49368,2.775504
2019-12-13 16:08:29:135,3.498301,2.773946
2019-12-13 16:08:29:171,3.504215,2.772025
2019-12-13 16:08:29:206,3.508207,2.771012
2019-12-13 16:08:29:241,3.512894,2.770216
2019-12-13 16:08:29:265,3.517874,2.768389
2019-12-13 16:08:29:297,3.517874,2.768389
2019-12-13 16:08:29:328,3.521326,2.767628
2019-12-13 16:08:29:361,3.52493,2.767048
2019-12-13 16:08:29:397,3.529788,2.765637
2019-12-13 16:08:29:439,3.535229,2.763688
2019-12-13 16:08:29:491,3.539215,2.761922
2019-12-13 16:08:29:534,3.542903,2.76041
2019-12-13 16:08:29:572,3.543537,2.760077
2019-12-13 16:08:29:603,3.543604,2.760057
2019-12-13 16:08:29:621,3.543604,2.760057
2019-12-13 16:08:29:653,3.543584,2.76031
2019-12-13 16:08:29:687,3.543554,2.760366
2019-12-13 16:08:29:719,3.542561,2.760732
