2019-12-13 16:08:24:643, no_human
2019-12-13 16:08:24:653, no_human
2019-12-13 16:08:24:874, no_human
2019-12-13 16:08:24:942, no_human
2019-12-13 16:08:24:958, no_human
2019-12-13 16:08:24:975, no_human
2019-12-13 16:08:24:992, no_human
2019-12-13 16:08:25:008, no_human
2019-12-13 16:08:25:025, no_human
2019-12-13 16:08:25:046, no_human
2019-12-13 16:08:25:058, no_human
2019-12-13 16:08:25:074, no_human
2019-12-13 16:08:25:090, no_human
2019-12-13 16:08:25:107, no_human
2019-12-13 16:08:25:146, no_human
2019-12-13 16:08:25:151, no_human
2019-12-13 16:08:25:176, no_human
2019-12-13 16:08:25:201, no_human
2019-12-13 16:08:25:211, no_human
2019-12-13 16:08:25:226, no_human
2019-12-13 16:08:25:242, no_human
2019-12-13 16:08:25:282, no_human
2019-12-13 16:08:25:306, no_human
2019-12-13 16:08:25:334, no_human
2019-12-13 16:08:25:367, no_human
2019-12-13 16:08:25:399, no_human
2019-12-13 16:08:25:439, no_human
2019-12-13 16:08:25:465, no_human
2019-12-13 16:08:25:490, no_human
2019-12-13 16:08:25:515, no_human
2019-12-13 16:08:25:521, no_human
2019-12-13 16:08:25:556, no_human
2019-12-13 16:08:25:581, no_human
2019-12-13 16:08:25:586, no_human
2019-12-13 16:08:25:621, no_human
2019-12-13 16:08:25:646, no_human
2019-12-13 16:08:25:653, no_human
2019-12-13 16:08:25:690, no_human
2019-12-13 16:08:25:715, no_human
2019-12-13 16:08:25:722, no_human
2019-12-13 16:08:25:758, no_human
2019-12-13 16:08:25:785, no_human
2019-12-13 16:08:25:813, no_human
2019-12-13 16:08:25:822, no_human
2019-12-13 16:08:25:859, no_human
2019-12-13 16:08:25:889, no_human
2019-12-13 16:08:25:916, no_human
2019-12-13 16:08:25:925, no_human
2019-12-13 16:08:25:967, no_human
2019-12-13 16:08:25:995, no_human
2019-12-13 16:08:26:031, no_human
2019-12-13 16:08:26:062, no_human
2019-12-13 16:08:26:088, no_human
2019-12-13 16:08:26:114, no_human
2019-12-13 16:08:26:120, no_human
2019-12-13 16:08:26:167, no_human
2019-12-13 16:08:26:195, no_human
2019-12-13 16:08:26:222, no_human
2019-12-13 16:08:26:247, no_human
2019-12-13 16:08:26:253, no_human
2019-12-13 16:08:26:289, no_human
2019-12-13 16:08:26:316, no_human
2019-12-13 16:08:26:324, no_human
2019-12-13 16:08:26:359, no_human
2019-12-13 16:08:26:403,-0.2524149,1.6709552.868834
2019-12-13 16:08:26:440,-0.256365,1.6703622.866355
2019-12-13 16:08:26:472,-0.2614797,1.6706042.862736
2019-12-13 16:08:26:486,-0.2614797,1.6706042.862736
2019-12-13 16:08:26:524,-0.2657758,1.6710992.859703
2019-12-13 16:08:26:564,-0.2694499,1.6716822.856555
2019-12-13 16:08:26:600,-0.2725548,1.6723972.853305
2019-12-13 16:08:26:632,-0.2793595,1.6702362.844987
2019-12-13 16:08:26:667,-0.2793595,1.6702362.844987
2019-12-13 16:08:26:710,-0.2821582,1.6705022.838288
2019-12-13 16:08:26:746,-0.2830404,1.6706692.835742
2019-12-13 16:08:26:786,-0.2836074,1.6709912.833913
2019-12-13 16:08:26:835,-0.2833147,1.6723362.831467
2019-12-13 16:08:26:869,-0.2805031,1.6743512.825605
2019-12-13 16:08:26:902,-0.2779671,1.6744692.823069
2019-12-13 16:08:26:935,-0.2738885,1.6766712.820157
2019-12-13 16:08:26:969,-0.2703701,1.6780212.817858
2019-12-13 16:08:27:004,-0.2640263,1.6796892.815486
2019-12-13 16:08:27:049,-0.2581571,1.6815422.813376
2019-12-13 16:08:27:191,-0.2249242,1.6830882.809788
2019-12-13 16:08:27:235,-0.2133953,1.6852282.810397
2019-12-13 16:08:27:274,-0.188903,1.6933222.814488
2019-12-13 16:08:27:311,-0.178311,1.6957752.814929
2019-12-13 16:08:27:352,-0.1658582,1.6976042.816233
2019-12-13 16:08:27:394,-0.153399,1.698392.816832
2019-12-13 16:08:27:430,-0.1408118,1.7000492.818596
2019-12-13 16:08:27:470,-0.118871,1.7038462.819181
2019-12-13 16:08:27:506,-0.1045374,1.7066612.820858
2019-12-13 16:08:27:544,-0.09430099,1.7092882.82064
2019-12-13 16:08:27:586,-0.08419367,1.7096792.822269
2019-12-13 16:08:27:625,-0.07382374,1.7087762.821896
2019-12-13 16:08:27:667,-0.06383638,1.7096342.821254
2019-12-13 16:08:27:713,-0.04074849,1.7112362.821082
2019-12-13 16:08:27:758,-0.03095219,1.7102562.818657
2019-12-13 16:08:27:793,-0.02018895,1.7100382.817252
2019-12-13 16:08:27:827,-0.01006275,1.708912.814756
2019-12-13 16:08:27:860,-0.001639254,1.7076212.813515
2019-12-13 16:08:27:895,0.006519117,1.7072892.811199
2019-12-13 16:08:27:929,0.01679651,1.7061552.808779
2019-12-13 16:08:27:962,0.02516699,1.7047532.805942
2019-12-13 16:08:27:996,0.03231863,1.703722.805177
2019-12-13 16:08:28:034,0.0394781,1.7030792.803209
2019-12-13 16:08:28:067,0.05363389,1.7019322.800049
2019-12-13 16:08:28:100,0.05363389,1.7019322.800049
2019-12-13 16:08:28:135,0.06387584,1.7009852.798147
2019-12-13 16:08:28:179,0.06801297,1.7015012.797818
2019-12-13 16:08:28:221,0.07153078,1.7012462.797351
2019-12-13 16:08:28:253,0.07507736,1.7015392.796204
2019-12-13 16:08:28:287,0.0780046,1.7019692.795918
2019-12-13 16:08:28:319,0.07999338,1.7018922.795143
2019-12-13 16:08:28:362,0.08205035,1.7015662.794308
2019-12-13 16:08:28:405,0.08271689,1.7012942.794163
2019-12-13 16:08:28:461,0.08396159,1.7017322.793774
2019-12-13 16:08:28:503,0.0843118,1.7018632.793255
2019-12-13 16:08:28:545,0.08322285,1.7028362.792503
2019-12-13 16:08:28:594,0.08103953,1.7040332.791967
2019-12-13 16:08:28:626,0.07804285,1.7049892.790742
2019-12-13 16:08:28:659,0.07511285,1.705982.79034
2019-12-13 16:08:28:694,0.06884497,1.7063372.78992
2019-12-13 16:08:28:727,0.06277457,1.7076662.788259
2019-12-13 16:08:28:761,0.05718968,1.708072.786582
2019-12-13 16:08:28:799,0.04853901,1.7099912.785186
2019-12-13 16:08:28:841,0.03359164,1.711312.783595
2019-12-13 16:08:28:891,0.02592244,1.7122642.782309
2019-12-13 16:08:28:940,0.01012205,1.7146062.780561
2019-12-13 16:08:28:992,0.003300529,1.7162132.77898
2019-12-13 16:08:29:037,-0.01214819,1.7176082.778525
2019-12-13 16:08:29:069,-0.01805287,1.7186022.777078
2019-12-13 16:08:29:101,-0.02367988,1.7184772.775504
2019-12-13 16:08:29:135,-0.0283006,1.7185652.773946
2019-12-13 16:08:29:171,-0.0342152,1.7195292.772025
2019-12-13 16:08:29:206,-0.03820692,1.7197512.771012
2019-12-13 16:08:29:241,-0.04289433,1.7205442.770216
2019-12-13 16:08:29:265,-0.0478743,1.720572.768389
2019-12-13 16:08:29:297,-0.0478743,1.720572.768389
2019-12-13 16:08:29:328,-0.05132576,1.7206472.767628
2019-12-13 16:08:29:361,-0.05493045,1.7210432.767048
2019-12-13 16:08:29:397,-0.05978755,1.720362.765637
2019-12-13 16:08:29:439,-0.06522879,1.7206932.763688
2019-12-13 16:08:29:491,-0.06921522,1.7209922.761922
2019-12-13 16:08:29:534,-0.07290339,1.7211012.76041
2019-12-13 16:08:29:572,-0.07353702,1.7209322.760077
2019-12-13 16:08:29:603,-0.07360367,1.7209512.760057
2019-12-13 16:08:29:621,-0.07360367,1.7209512.760057
2019-12-13 16:08:29:653,-0.07358409,1.721062.76031
