2019-12-13 16:08:24:643, no_human
2019-12-13 16:08:24:653, no_human
2019-12-13 16:08:24:874, no_human
2019-12-13 16:08:24:942, no_human
2019-12-13 16:08:24:958, no_human
2019-12-13 16:08:24:975, no_human
2019-12-13 16:08:24:992, no_human
2019-12-13 16:08:25:008, no_human
2019-12-13 16:08:25:025, no_human
2019-12-13 16:08:25:046, no_human
2019-12-13 16:08:25:058, no_human
2019-12-13 16:08:25:074, no_human
2019-12-13 16:08:25:090, no_human
2019-12-13 16:08:25:107, no_human
2019-12-13 16:08:25:146, no_human
2019-12-13 16:08:25:151, no_human
2019-12-13 16:08:25:176, no_human
2019-12-13 16:08:25:201, no_human
2019-12-13 16:08:25:211, no_human
2019-12-13 16:08:25:226, no_human
2019-12-13 16:08:25:242, no_human
2019-12-13 16:08:25:282, no_human
2019-12-13 16:08:25:306, no_human
2019-12-13 16:08:25:334, no_human
2019-12-13 16:08:25:367, no_human
2019-12-13 16:08:25:399, no_human
2019-12-13 16:08:25:439, no_human
2019-12-13 16:08:25:465, no_human
2019-12-13 16:08:25:490, no_human
2019-12-13 16:08:25:515, no_human
2019-12-13 16:08:25:521, no_human
2019-12-13 16:08:25:556, no_human
2019-12-13 16:08:25:581, no_human
2019-12-13 16:08:25:586, no_human
2019-12-13 16:08:25:621, no_human
2019-12-13 16:08:25:646, no_human
2019-12-13 16:08:25:653, no_human
2019-12-13 16:08:25:690, no_human
2019-12-13 16:08:25:715, no_human
2019-12-13 16:08:25:722, no_human
2019-12-13 16:08:25:758, no_human
2019-12-13 16:08:25:785, no_human
2019-12-13 16:08:25:813, no_human
2019-12-13 16:08:25:822, no_human
2019-12-13 16:08:25:859, no_human
2019-12-13 16:08:25:889, no_human
2019-12-13 16:08:25:916, no_human
2019-12-13 16:08:25:925, no_human
2019-12-13 16:08:25:967, no_human
2019-12-13 16:08:25:995, no_human
2019-12-13 16:08:26:031, no_human
2019-12-13 16:08:26:062, no_human
2019-12-13 16:08:26:088, no_human
2019-12-13 16:08:26:114, no_human
2019-12-13 16:08:26:120, no_human
2019-12-13 16:08:26:167, no_human
2019-12-13 16:08:26:195, no_human
2019-12-13 16:08:26:222, no_human
2019-12-13 16:08:26:247, no_human
2019-12-13 16:08:26:253, no_human
2019-12-13 16:08:26:289, no_human
2019-12-13 16:08:26:316, no_human
2019-12-13 16:08:26:324, no_human
2019-12-13 16:08:26:359, no_human
2019-12-13 16:08:26:403,0.0001449883,1.925583,-0.7632371,0.01163927,1.598316,-0.7573002,0.02141026,1.280502,-0.7375219,0.002414852,1.129045,-0.7088335,0.1892351,1.392535,-0.7215391,0.2424333,1.638817,-0.7499812,0.1797841,1.928876,-0.7219015,0.1919938,2.045482,-0.6645172,-0.1549214,1.382572,-0.7633062,-0.2063141,1.635106,-0.8072827,-0.2088349,1.928319,-0.7495726,-0.1665315,1.975227,-0.6528462,0.07504496,1.924522,-0.7155712,0.06620365,2.411578,-0.6069389,0.09755987,2.290192,-0.66975,0.1130005,2.285318,-0.6526232,-0.08216912,1.919954,-0.7337132,-0.1170287,2.400017,-0.6441222,-0.1764504,2.84333,-0.6872166,-0.1539359,2.861891,-0.5273231,0.01925936,1.358649,-0.7449198,0.1883182,2.049045,-0.6533752,0.187667,2.0421,-0.6399999,-0.165679,2.047348,-0.6195181,-0.1487998,2.070721,-0.2861818,
2019-12-13 16:08:26:440,0.00199154,1.938253,-0.7147411,0.01641509,1.602886,-0.7382129,0.02543533,1.279865,-0.7364731,0.006364971,1.129638,-0.7063552,0.1937937,1.389955,-0.7165349,0.2461376,1.637867,-0.7464877,0.1762145,1.895718,-0.6107333,0.1412171,1.956985,-0.5963514,-0.1535202,1.384278,-0.76486,-0.2012431,1.643536,-0.8084348,-0.1719255,1.913274,-0.6682408,-0.1508328,1.992748,-0.6262127,0.07623604,1.934057,-0.6644197,0.08393782,2.52812,-0.6620303,0.05666459,2.947227,-0.4868043,-0.02853099,2.92399,-0.444486,-0.07991272,1.935283,-0.6870542,-0.1222486,2.499878,-0.634343,-0.2102789,2.856866,-0.6690474,-0.156065,2.885854,-0.5083871,0.02360225,1.358848,-0.7411767,0.1245229,2.047469,-0.5705677,0.1804677,1.972305,-0.6030768,-0.1597737,2.073982,-0.5838898,-0.1266713,2.085756,-0.2528182,
2019-12-13 16:08:26:472,0.003390342,1.941394,-0.7139526,0.01875281,1.604581,-0.7349842,0.02959856,1.279031,-0.734324,0.01147971,1.129396,-0.702736,0.1942861,1.39012,-0.7161987,0.2477373,1.639027,-0.7449046,0.2346391,1.859065,-0.7548001,0.2310867,1.932298,-0.7623196,-0.1511016,1.38451,-0.7658439,-0.1967599,1.63697,-0.8107134,-0.1702201,1.905608,-0.6689473,-0.1507139,1.993459,-0.6167322,0.07817626,1.938745,-0.6613536,0.08436355,2.54442,-0.6633022,0.0522258,2.95013,-0.4893697,-0.01772091,2.928564,-0.4437984,-0.07899702,1.937187,-0.6873546,-0.1246885,2.496821,-0.6287461,-0.1801816,2.863024,-0.6210588,-0.1466359,2.893401,-0.4666422,0.02735916,1.358764,-0.7381397,0.2141309,2.022923,-0.7365156,0.2697168,1.948017,-0.768967,-0.1644525,2.07629,-0.572701,-0.1239521,2.072067,-0.2502695,
2019-12-13 16:08:26:486,0.003390342,1.941394,-0.7139526,0.01875281,1.604581,-0.7349842,0.02959856,1.279031,-0.734324,0.01147971,1.129396,-0.702736,0.1942861,1.39012,-0.7161987,0.2477373,1.639027,-0.7449046,0.2346391,1.859065,-0.7548001,0.2310867,1.932298,-0.7623196,-0.1511016,1.38451,-0.7658439,-0.1967599,1.63697,-0.8107134,-0.1702201,1.905608,-0.6689473,-0.1507139,1.993459,-0.6167322,0.07817626,1.938745,-0.6613536,0.08436355,2.54442,-0.6633022,0.0522258,2.95013,-0.4893697,-0.01772091,2.928564,-0.4437984,-0.07899702,1.937187,-0.6873546,-0.1246885,2.496821,-0.6287461,-0.1801816,2.863024,-0.6210588,-0.1466359,2.893401,-0.4666422,0.02735916,1.358764,-0.7381397,0.2141309,2.022923,-0.7365156,0.2697168,1.948017,-0.768967,-0.1644525,2.07629,-0.572701,-0.1239521,2.072067,-0.2502695,
2019-12-13 16:08:26:524,0.004072517,1.942475,-0.713101,0.01920021,1.605044,-0.7337802,0.02996734,1.278868,-0.7343131,0.0157758,1.128901,-0.699703,0.1952474,1.3901,-0.7153237,0.2525145,1.637625,-0.7407477,0.2290088,1.855208,-0.758148,0.210445,1.874731,-0.6421536,-0.1477347,1.385382,-0.7661539,-0.1931083,1.632657,-0.811226,-0.1658565,1.899535,-0.6683474,-0.1500904,1.982045,-0.618583,0.07879445,1.93964,-0.6605113,0.08438438,2.544486,-0.6634832,0.04854736,2.962687,-0.4735447,-0.02977139,2.94405,-0.4504743,-0.07839443,1.938193,-0.6864803,-0.1281681,2.503473,-0.6249121,-0.1512718,2.937747,-0.5380839,-0.1441237,2.907827,-0.4104272,0.02777541,1.358715,-0.7377761,0.2082276,1.877267,-0.6302364,0.2064552,1.875414,-0.6192225,-0.1653807,2.065908,-0.5770491,-0.1239329,2.071625,-0.2501052,
2019-12-13 16:08:26:564,0.004836351,1.942052,-0.7114449,0.0225715,1.603981,-0.7285526,0.03803024,1.276692,-0.7274857,0.01944989,1.128318,-0.6965552,0.2055582,1.388686,-0.6995607,0.2545388,1.639152,-0.737536,0.1943007,1.878238,-0.5953892,0.1617055,1.92157,-0.5889016,-0.1434338,1.385595,-0.7652419,-0.1869056,1.631316,-0.8122907,-0.1599088,1.896543,-0.6671317,-0.1539648,1.963788,-0.6293235,0.07952073,1.93898,-0.6575702,0.08434296,2.544477,-0.6629453,0.0487988,2.957303,-0.4781225,-0.01563074,2.94886,-0.4451101,-0.07773772,1.937895,-0.6857238,-0.1329916,2.503397,-0.6189316,-0.1367947,2.935555,-0.5402506,-0.1534856,2.90192,-0.4136317,0.03456879,1.356947,-0.7307363,0.1427625,1.973752,-0.5711108,0.1852665,1.971326,-0.5867777,-0.1797836,2.066045,-0.5866731,-0.1384369,2.069777,-0.2557858,
2019-12-13 16:08:26:600,0.005417705,1.941861,-0.7097932,0.02468118,1.603627,-0.7259031,0.04204357,1.276062,-0.7251318,0.02255481,1.127603,-0.6933048,0.2091072,1.388022,-0.6948705,0.2589051,1.641573,-0.7322446,0.1947117,1.879488,-0.5938619,0.1502666,1.976821,-0.5848268,-0.1387944,1.386206,-0.7645801,-0.1854152,1.630512,-0.813073,-0.1564279,1.892947,-0.6632336,-0.1116198,2.182671,-0.5552018,0.08001724,1.938565,-0.6552101,0.08431062,2.544484,-0.6628421,0.04969957,2.952322,-0.4895678,-0.002769589,2.938435,-0.4412025,-0.07717435,1.937828,-0.6847118,-0.1416617,2.514389,-0.6102567,-0.2281009,2.910997,-0.5718487,-0.1570577,2.89119,-0.4473272,0.03805661,1.356438,-0.728149,0.1281276,2.067055,-0.5616322,0.1954001,1.987997,-0.6002,-0.1109425,2.28322,-0.5323642,-0.05534647,2.261176,-0.2488967,
2019-12-13 16:08:26:632,0.006724238,1.94101,-0.7049051,0.02787483,1.603481,-0.7199751,0.04699755,1.276599,-0.7196775,0.02935946,1.129764,-0.6849871,0.2145076,1.389845,-0.6869593,0.2670862,1.642934,-0.7154201,0.210065,1.84949,-0.6189426,0.1576698,1.943323,-0.5770169,-0.132274,1.386218,-0.761565,-0.1769969,1.629666,-0.8117397,-0.1724322,1.908124,-0.694747,-0.1243799,1.916516,-0.6270512,0.08136332,1.937991,-0.6472793,0.08402529,2.540218,-0.6598237,0.0464336,2.948427,-0.5064781,0.01073945,2.922974,-0.445366,-0.07603407,1.936787,-0.6821204,-0.1542713,2.502975,-0.5946472,-0.2684261,2.900512,-0.5136026,-0.1823204,2.88808,-0.4256249,0.04259276,1.356855,-0.722395,0.1261023,2.026305,-0.5550769,0.2002781,1.978553,-0.5888181,-0.113756,1.957974,-0.5949555,-0.09598695,1.962508,-0.2473889,
2019-12-13 16:08:26:667,0.006724238,1.94101,-0.7049051,0.02787483,1.603481,-0.7199751,0.04699755,1.276599,-0.7196775,0.02935946,1.129764,-0.6849871,0.2145076,1.389845,-0.6869593,0.2670862,1.642934,-0.7154201,0.210065,1.84949,-0.6189426,0.1576698,1.943323,-0.5770169,-0.132274,1.386218,-0.761565,-0.1769969,1.629666,-0.8117397,-0.1724322,1.908124,-0.694747,-0.1243799,1.916516,-0.6270512,0.08136332,1.937991,-0.6472793,0.08402529,2.540218,-0.6598237,0.0464336,2.948427,-0.5064781,0.01073945,2.922974,-0.445366,-0.07603407,1.936787,-0.6821204,-0.1542713,2.502975,-0.5946472,-0.2684261,2.900512,-0.5136026,-0.1823204,2.88808,-0.4256249,0.04259276,1.356855,-0.722395,0.1261023,2.026305,-0.5550769,0.2002781,1.978553,-0.5888181,-0.113756,1.957974,-0.5949555,-0.09598695,1.962508,-0.2473889,
2019-12-13 16:08:26:710,0.006740481,1.940583,-0.7010735,0.02895409,1.603513,-0.7156666,0.04956213,1.276494,-0.7142022,0.0321582,1.129498,-0.6782883,0.2168726,1.390756,-0.6787956,0.2691967,1.647058,-0.7020958,0.2044144,1.871038,-0.5897415,0.1616122,1.941624,-0.569933,-0.1308044,1.386372,-0.760212,-0.1715573,1.627937,-0.8081201,-0.1543488,1.909831,-0.7030829,-0.1488314,1.95966,-0.6329263,0.08047202,1.93635,-0.6425796,0.08371368,2.532525,-0.6565185,0.04557502,2.949679,-0.509568,0.01322126,2.92044,-0.4487372,-0.07526305,1.937279,-0.6793218,-0.1717228,2.505344,-0.586561,-0.322162,2.862675,-0.4678472,-0.2095098,2.879882,-0.391588,0.04475436,1.356807,-0.7171674,0.1283598,2.021883,-0.5466359,0.2015856,1.960674,-0.5768235,-0.1489447,2.001164,-0.6035205,-0.1349088,2.021902,-0.2767693,
