2019-12-13 16:11:08:992, no_human
2019-12-13 16:11:09:002, no_human
2019-12-13 16:11:09:260, no_human
2019-12-13 16:11:09:328, no_human
2019-12-13 16:11:09:344, no_human
2019-12-13 16:11:09:361, no_human
2019-12-13 16:11:09:378, no_human
2019-12-13 16:11:09:394, no_human
2019-12-13 16:11:09:411, no_human
2019-12-13 16:11:09:428, no_human
2019-12-13 16:11:09:472, no_human
2019-12-13 16:11:09:489, no_human
2019-12-13 16:11:09:503, no_human
2019-12-13 16:11:09:511, no_human
2019-12-13 16:11:09:536, no_human
2019-12-13 16:11:09:543, no_human
2019-12-13 16:11:09:560, no_human
2019-12-13 16:11:09:576, no_human
2019-12-13 16:11:09:622, no_human
2019-12-13 16:11:09:663, no_human
2019-12-13 16:11:09:688, no_human
2019-12-13 16:11:09:722, no_human
2019-12-13 16:11:09:752, no_human
2019-12-13 16:11:09:778, no_human
2019-12-13 16:11:09:788, no_human
2019-12-13 16:11:09:828, no_human
2019-12-13 16:11:09:861, no_human
2019-12-13 16:11:09:892, no_human
2019-12-13 16:11:09:924, no_human
2019-12-13 16:11:09:952, no_human
2019-12-13 16:11:09:976, no_human
2019-12-13 16:11:10:033, no_human
2019-12-13 16:11:10:065, no_human
2019-12-13 16:11:10:097, no_human
2019-12-13 16:11:10:125, no_human
2019-12-13 16:11:10:156, no_human
2019-12-13 16:11:10:185, no_human
2019-12-13 16:11:10:194, no_human
2019-12-13 16:11:10:230, no_human
2019-12-13 16:11:10:260, no_human
2019-12-13 16:11:10:288, no_human
2019-12-13 16:11:10:318, no_human
2019-12-13 16:11:10:342, no_human
2019-12-13 16:11:10:348, no_human
2019-12-13 16:11:10:389, no_human
2019-12-13 16:11:10:415, no_human
2019-12-13 16:11:10:424, no_human
2019-12-13 16:11:10:468, no_human
2019-12-13 16:11:10:507, no_human
2019-12-13 16:11:10:519, no_human
2019-12-13 16:11:10:551, no_human
2019-12-13 16:11:10:589, no_human
2019-12-13 16:11:10:614, no_human
2019-12-13 16:11:10:619, no_human
2019-12-13 16:11:10:655, no_human
2019-12-13 16:11:10:680, no_human
2019-12-13 16:11:10:684, no_human
2019-12-13 16:11:10:748,3.359439,2.95233
2019-12-13 16:11:10:784,3.347143,2.950454
2019-12-13 16:11:10:819,3.332069,2.95495
2019-12-13 16:11:10:851,3.324838,2.957935
2019-12-13 16:11:10:884,3.313868,2.965995
2019-12-13 16:11:10:927,3.302625,2.972908
2019-12-13 16:11:10:968,3.279926,2.990203
2019-12-13 16:11:11:002,3.273292,2.995611
2019-12-13 16:11:11:044,3.261903,3.003353
2019-12-13 16:11:11:084,3.256012,3.008475
2019-12-13 16:11:11:118,3.250544,3.01341
2019-12-13 16:11:11:164,3.245535,3.01809
2019-12-13 16:11:11:221,3.239728,3.024742
2019-12-13 16:11:11:305,3.237902,3.028046
2019-12-13 16:11:11:342,3.239165,3.03197
2019-12-13 16:11:11:386,3.241483,3.034005
2019-12-13 16:11:11:428,3.245081,3.035084
2019-12-13 16:11:11:487,3.263586,3.039549
2019-12-13 16:11:11:519,3.276108,3.041802
2019-12-13 16:11:11:553,3.290633,3.044659
2019-12-13 16:11:11:588,3.30515,3.045536
2019-12-13 16:11:11:623,3.321846,3.04717
2019-12-13 16:11:11:654,3.351853,3.053528
2019-12-13 16:11:11:686,3.369373,3.057075
2019-12-13 16:11:11:719,3.39457,3.062933
2019-12-13 16:11:11:755,3.418935,3.073068
2019-12-13 16:11:11:791,3.439124,3.074403
2019-12-13 16:11:11:827,3.462408,3.077562
2019-12-13 16:11:11:861,3.483765,3.078372
2019-12-13 16:11:11:897,3.498579,3.080853
2019-12-13 16:11:11:941,3.521128,3.083997
2019-12-13 16:11:11:973,3.535584,3.081298
2019-12-13 16:11:12:010,3.546935,3.07822
2019-12-13 16:11:12:035,3.557905,3.075612
2019-12-13 16:11:12:073,3.56726,3.069853
2019-12-13 16:11:12:105,3.576828,3.065036
2019-12-13 16:11:12:119,3.576828,3.065036
2019-12-13 16:11:12:154,3.585389,3.060872
2019-12-13 16:11:12:186,3.591495,3.056516
2019-12-13 16:11:12:221,3.595068,3.053101
2019-12-13 16:11:12:257,3.597563,3.048619
2019-12-13 16:11:12:322,3.597117,3.046205
2019-12-13 16:11:12:363,3.593518,3.037829
