2019-12-13 16:11:08:992, no_human
2019-12-13 16:11:09:002, no_human
2019-12-13 16:11:09:260, no_human
2019-12-13 16:11:09:328, no_human
2019-12-13 16:11:09:344, no_human
2019-12-13 16:11:09:361, no_human
2019-12-13 16:11:09:378, no_human
2019-12-13 16:11:09:394, no_human
2019-12-13 16:11:09:411, no_human
2019-12-13 16:11:09:428, no_human
2019-12-13 16:11:09:472, no_human
2019-12-13 16:11:09:489, no_human
2019-12-13 16:11:09:503, no_human
2019-12-13 16:11:09:511, no_human
2019-12-13 16:11:09:536, no_human
2019-12-13 16:11:09:543, no_human
2019-12-13 16:11:09:560, no_human
2019-12-13 16:11:09:576, no_human
2019-12-13 16:11:09:622, no_human
2019-12-13 16:11:09:663, no_human
2019-12-13 16:11:09:688, no_human
2019-12-13 16:11:09:722, no_human
2019-12-13 16:11:09:752, no_human
2019-12-13 16:11:09:778, no_human
2019-12-13 16:11:09:788, no_human
2019-12-13 16:11:09:828, no_human
2019-12-13 16:11:09:861, no_human
2019-12-13 16:11:09:892, no_human
2019-12-13 16:11:09:924, no_human
2019-12-13 16:11:09:952, no_human
2019-12-13 16:11:09:976, no_human
2019-12-13 16:11:10:033, no_human
2019-12-13 16:11:10:065, no_human
2019-12-13 16:11:10:097, no_human
2019-12-13 16:11:10:125, no_human
2019-12-13 16:11:10:156, no_human
2019-12-13 16:11:10:185, no_human
2019-12-13 16:11:10:194, no_human
2019-12-13 16:11:10:230, no_human
2019-12-13 16:11:10:260, no_human
2019-12-13 16:11:10:288, no_human
2019-12-13 16:11:10:318, no_human
2019-12-13 16:11:10:342, no_human
2019-12-13 16:11:10:348, no_human
2019-12-13 16:11:10:389, no_human
2019-12-13 16:11:10:415, no_human
2019-12-13 16:11:10:424, no_human
2019-12-13 16:11:10:468, no_human
2019-12-13 16:11:10:507, no_human
2019-12-13 16:11:10:519, no_human
2019-12-13 16:11:10:551, no_human
2019-12-13 16:11:10:589, no_human
2019-12-13 16:11:10:614, no_human
2019-12-13 16:11:10:619, no_human
2019-12-13 16:11:10:655, no_human
2019-12-13 16:11:10:680, no_human
2019-12-13 16:11:10:684, no_human
2019-12-13 16:11:10:748,0.1105612,1.5590532.95233
2019-12-13 16:11:10:784,0.1228569,1.5582082.950454
2019-12-13 16:11:10:819,0.1379314,1.5581152.95495
2019-12-13 16:11:10:851,0.145162,1.5593252.957935
2019-12-13 16:11:10:884,0.1561321,1.5616582.965995
2019-12-13 16:11:10:927,0.1673753,1.5649132.972908
2019-12-13 16:11:10:968,0.1900745,1.5727512.990203
2019-12-13 16:11:11:002,0.1967078,1.5756062.995611
2019-12-13 16:11:11:044,0.2080967,1.5818583.003353
2019-12-13 16:11:11:084,0.213988,1.5855753.008475
2019-12-13 16:11:11:118,0.2194562,1.5893973.01341
2019-12-13 16:11:11:164,0.2244651,1.5923293.01809
2019-12-13 16:11:11:221,0.2302719,1.597293.024742
2019-12-13 16:11:11:305,0.2320985,1.5991183.028046
2019-12-13 16:11:11:342,0.2308346,1.6009933.03197
2019-12-13 16:11:11:386,0.2285171,1.6025393.034005
2019-12-13 16:11:11:428,0.2249187,1.6028223.035084
2019-12-13 16:11:11:487,0.2064145,1.604313.039549
2019-12-13 16:11:11:519,0.1938919,1.603263.041802
2019-12-13 16:11:11:553,0.1793673,1.6025543.044659
2019-12-13 16:11:11:588,0.1648499,1.6025813.045536
2019-12-13 16:11:11:623,0.1481536,1.6042643.04717
2019-12-13 16:11:11:654,0.1181467,1.6012213.053528
2019-12-13 16:11:11:686,0.1006268,1.602263.057075
2019-12-13 16:11:11:719,0.07542993,1.6011243.062933
2019-12-13 16:11:11:755,0.05106486,1.6005463.073068
2019-12-13 16:11:11:791,0.03087607,1.5985073.074403
2019-12-13 16:11:11:827,0.007591983,1.5992873.077562
2019-12-13 16:11:11:861,-0.01376503,1.6079813.078372
2019-12-13 16:11:11:897,-0.02857906,1.6086023.080853
2019-12-13 16:11:11:941,-0.05112831,1.6069053.083997
2019-12-13 16:11:11:973,-0.06558377,1.6098293.081298
2019-12-13 16:11:12:010,-0.07693446,1.6138683.07822
2019-12-13 16:11:12:035,-0.08790548,1.6200763.075612
2019-12-13 16:11:12:073,-0.09725944,1.6217833.069853
2019-12-13 16:11:12:105,-0.1068285,1.6224053.065036
2019-12-13 16:11:12:119,-0.1068285,1.6224053.065036
2019-12-13 16:11:12:154,-0.1153892,1.6231713.060872
2019-12-13 16:11:12:186,-0.1214952,1.6235283.056516
2019-12-13 16:11:12:221,-0.1250674,1.6239943.053101
2019-12-13 16:11:12:257,-0.1275632,1.6263793.048619
2019-12-13 16:11:12:322,-0.1271173,1.6265423.046205
2019-12-13 16:11:12:363,-0.1235177,1.6289873.037829
2019-12-13 16:11:12:397,-0.1185671,1.6275723.03441
2019-12-13 16:11:12:442,-0.1120192,1.6266733.031254
2019-12-13 16:11:12:484,-0.09389448,1.6254453.026643
2019-12-13 16:11:12:520,-0.08413025,1.6261023.026814
2019-12-13 16:11:12:556,-0.07416498,1.6239573.025634
2019-12-13 16:11:12:589,-0.06623636,1.6235573.024281
2019-12-13 16:11:12:623,-0.05852285,1.6227253.024237
2019-12-13 16:11:12:656,-0.05179585,1.6226613.02421
2019-12-13 16:11:12:688,-0.0437123,1.6222083.024969
2019-12-13 16:11:12:719,-0.03511671,1.6262983.023078
2019-12-13 16:11:12:755,-0.02820294,1.6247173.0235
2019-12-13 16:11:12:797,-0.01982502,1.6363023.019879
2019-12-13 16:11:12:828,-0.01203263,1.6326543.021127
2019-12-13 16:11:12:864,-0.002250464,1.629863.020602
2019-12-13 16:11:12:898,0.001676806,1.6334763.018703
2019-12-13 16:11:12:933,0.02152202,1.628023.016609
2019-12-13 16:11:12:970,0.02751544,1.6273873.016628
2019-12-13 16:11:13:008,0.03399142,1.6270113.016689
2019-12-13 16:11:13:057,0.04245888,1.6259443.017428
2019-12-13 16:11:13:099,0.04933459,1.624663.018824
2019-12-13 16:11:13:134,0.06212029,1.6249673.019561
2019-12-13 16:11:13:168,0.06589619,1.6259613.019027
2019-12-13 16:11:13:202,0.07163324,1.6289423.017284
2019-12-13 16:11:13:235,0.07600217,1.6313953.016446
2019-12-13 16:11:13:289,0.07905028,1.6340113.015128
2019-12-13 16:11:13:335,0.08263581,1.6348973.013224
2019-12-13 16:11:13:386,0.09093068,1.6419983.009114
2019-12-13 16:11:13:426,0.09362809,1.640743.005369
2019-12-13 16:11:13:470,0.09661861,1.6397363.002285
2019-12-13 16:11:13:520,0.1013038,1.6344372.992036
2019-12-13 16:11:13:563,0.100585,1.6320142.983411
2019-12-13 16:11:13:597,0.0949323,1.6308012.973604
2019-12-13 16:11:13:629,0.09337547,1.6310252.96314
2019-12-13 16:11:13:662,0.08554906,1.6365432.948647
2019-12-13 16:11:13:696,0.07699881,1.6426162.937396
2019-12-13 16:11:13:728,0.0543164,1.6582782.921533
2019-12-13 16:11:13:765,0.05434708,1.6570322.91568
2019-12-13 16:11:13:797,0.04806248,1.657692.893565
2019-12-13 16:11:13:830,0.04467132,1.6582522.884329
2019-12-13 16:11:13:864,0.04467132,1.6582522.884329
2019-12-13 16:11:13:898,0.04300063,1.6589182.877928
2019-12-13 16:11:13:932,0.03937267,1.6623272.866109
2019-12-13 16:11:13:969,0.03848805,1.6638752.860638
2019-12-13 16:11:14:004,0.03795281,1.6646442.856241
2019-12-13 16:11:14:046,0.03711921,1.6670622.850841
2019-12-13 16:11:14:084,0.03698195,1.6679842.84725
2019-12-13 16:11:14:120,0.03677117,1.6688342.844275
2019-12-13 16:11:14:155,0.03671165,1.6692762.841957
2019-12-13 16:11:14:192,0.03710144,1.6694972.840146
2019-12-13 16:11:14:228,0.03782394,1.6703642.839076
2019-12-13 16:11:14:267,0.03879476,1.671162.838111
2019-12-13 16:11:14:324,0.04241042,1.6724362.837329
2019-12-13 16:11:14:363,0.04479503,1.6729052.838306
2019-12-13 16:11:14:424,0.05490508,1.673642.845196
2019-12-13 16:11:14:465,0.05101801,1.6794452.849923
2019-12-13 16:11:14:505,0.04999064,1.6820612.854258
2019-12-13 16:11:14:560,0.05509102,1.6854262.872027
2019-12-13 16:11:14:595,0.06078745,1.6852662.882004
2019-12-13 16:11:14:640,0.07092117,1.6841212.897679
2019-12-13 16:11:14:684,0.1224829,1.6495132.92369
2019-12-13 16:11:14:719,0.1254479,1.6527122.923498
2019-12-13 16:11:14:756,0.1305976,1.6536622.927553
2019-12-13 16:11:14:791,0.1369661,1.6532622.932231
2019-12-13 16:11:14:832,0.1439099,1.6519772.936511
2019-12-13 16:11:14:872,0.159541,1.6522262.944592
2019-12-13 16:11:14:922,0.1684646,1.6541172.947706
2019-12-13 16:11:14:964,0.1787682,1.6539342.950234
2019-12-13 16:11:15:004,0.1885975,1.6527792.952212
2019-12-13 16:11:15:041,0.2123891,1.6529072.952772
2019-12-13 16:11:15:091,0.2242315,1.653982.950626
2019-12-13 16:11:15:132,0.2368494,1.6534962.94628
2019-12-13 16:11:15:174,0.2619778,1.6531042.935032
2019-12-13 16:11:15:217,0.2734587,1.6560352.927737
2019-12-13 16:11:15:258,0.2844236,1.6575092.920388
2019-12-13 16:11:15:300,0.2959219,1.6613572.912972
2019-12-13 16:11:15:340,0.3179254,1.6692132.897761
2019-12-13 16:11:15:385,0.3293822,1.6733282.891069
2019-12-13 16:11:15:428,0.3389556,1.6745012.886125
2019-12-13 16:11:15:470,0.3504595,1.676352.880555
2019-12-13 16:11:15:508,0.3509905,1.6890012.850354
2019-12-13 16:11:15:524,0.3509905,1.6890012.850354
