2019-12-13 16:11:08:992, no_human
2019-12-13 16:11:09:002, no_human
2019-12-13 16:11:09:260, no_human
2019-12-13 16:11:09:328, no_human
2019-12-13 16:11:09:344, no_human
2019-12-13 16:11:09:361, no_human
2019-12-13 16:11:09:378, no_human
2019-12-13 16:11:09:394, no_human
2019-12-13 16:11:09:411, no_human
2019-12-13 16:11:09:428, no_human
2019-12-13 16:11:09:472, no_human
2019-12-13 16:11:09:489, no_human
2019-12-13 16:11:09:503, no_human
2019-12-13 16:11:09:511, no_human
2019-12-13 16:11:09:536, no_human
2019-12-13 16:11:09:543, no_human
2019-12-13 16:11:09:560, no_human
2019-12-13 16:11:09:576, no_human
2019-12-13 16:11:09:622, no_human
2019-12-13 16:11:09:663, no_human
2019-12-13 16:11:09:688, no_human
2019-12-13 16:11:09:722, no_human
2019-12-13 16:11:09:752, no_human
2019-12-13 16:11:09:778, no_human
2019-12-13 16:11:09:788, no_human
2019-12-13 16:11:09:828, no_human
2019-12-13 16:11:09:861, no_human
2019-12-13 16:11:09:892, no_human
2019-12-13 16:11:09:924, no_human
2019-12-13 16:11:09:952, no_human
2019-12-13 16:11:09:976, no_human
2019-12-13 16:11:10:033, no_human
2019-12-13 16:11:10:065, no_human
2019-12-13 16:11:10:097, no_human
2019-12-13 16:11:10:125, no_human
2019-12-13 16:11:10:156, no_human
2019-12-13 16:11:10:185, no_human
2019-12-13 16:11:10:194, no_human
2019-12-13 16:11:10:230, no_human
2019-12-13 16:11:10:260, no_human
2019-12-13 16:11:10:288, no_human
2019-12-13 16:11:10:318, no_human
2019-12-13 16:11:10:342, no_human
2019-12-13 16:11:10:348, no_human
2019-12-13 16:11:10:389, no_human
2019-12-13 16:11:10:415, no_human
2019-12-13 16:11:10:424, no_human
2019-12-13 16:11:10:468, no_human
2019-12-13 16:11:10:507, no_human
2019-12-13 16:11:10:519, no_human
2019-12-13 16:11:10:551, no_human
2019-12-13 16:11:10:589, no_human
2019-12-13 16:11:10:614, no_human
2019-12-13 16:11:10:619, no_human
2019-12-13 16:11:10:655, no_human
2019-12-13 16:11:10:680, no_human
2019-12-13 16:11:10:684, no_human
2019-12-13 16:11:10:748,0.1550767,0.8468056,2.739233,0.1610889,1.14899,2.717355,0.1661726,1.443823,2.682714,0.1105612,1.559053,2.63233,0.02441244,1.324426,2.714526,0.006413774,1.123399,2.763579,-0.00462964,0.8538327,2.68707,-0.02381294,0.8088156,2.634544,0.3349369,1.349397,2.649613,0.4293651,1.097766,2.685016,0.3277771,0.9250839,2.626004,0.3055914,0.8546289,2.599154,0.08229213,0.8444567,2.71335,-0.1027756,0.5871474,2.583877,-0.06929179,0.2388177,2.599572,0.023301,0.2470894,2.585614,0.223823,0.8557665,2.693591,0.2547656,0.5488367,2.542608,0.3076537,0.2251636,2.565302,0.2857324,0.2122073,2.431604,0.165062,1.371144,2.693676,-0.01321235,0.7640882,2.595707,0.01923278,0.8137661,2.602889,0.3017799,0.7785271,2.56826,0.2774988,1.074418,2.56295
2019-12-13 16:11:10:784,0.1531486,0.8628858,2.757558,0.1646136,1.153377,2.72638,0.1768017,1.441961,2.684827,0.1228569,1.558208,2.630454,0.02397922,1.328337,2.739252,0.006629004,1.111915,2.81629,-0.03514457,0.8561882,2.700282,-0.02802695,0.7856597,2.646655,0.3464995,1.344453,2.649937,0.4346271,1.096694,2.68507,0.339209,0.9168699,2.633796,0.3088651,0.8771753,2.599219,0.08126315,0.8633396,2.743341,0.02272592,0.5704191,2.621313,0.03326744,0.2145181,2.655825,0.007771447,0.2055608,2.571241,0.2210201,0.8678962,2.700059,0.2686316,0.5673189,2.605543,0.353743,0.2274446,2.696736,0.2935096,0.1847175,2.593709,0.1732899,1.370619,2.69625,-0.04553983,0.6979736,2.614062,0.003326714,0.8001378,2.609,0.2826496,0.7960099,2.557911,0.277913,1.110226,2.564846
2019-12-13 16:11:10:819,0.1607391,0.8610929,2.727262,0.1709772,1.153293,2.720534,0.1851106,1.440544,2.688315,0.1379314,1.558115,2.63495,0.03046666,1.334808,2.747746,0.008256684,1.114907,2.818895,0.009969505,0.8659106,2.67528,0.01218553,0.8554012,2.66313,0.3561004,1.344322,2.652691,0.4464217,1.093921,2.683663,0.3399828,0.9176164,2.633853,0.3031777,0.8740008,2.598405,0.08880076,0.8631634,2.706593,0.04386018,0.4657032,2.615083,0.02516456,0.2077036,2.663657,0.01341008,0.2519332,2.571371,0.2281477,0.8653949,2.677622,0.2874479,0.5770769,2.60215,0.3299825,0.1753176,2.637453,0.2952496,0.1525684,2.542696,0.1807448,1.369696,2.697706,0.003437788,0.7824916,2.621066,0.05472663,0.8925384,2.62,0.2517757,0.8003155,2.56117,0.2759237,1.120554,2.568232
2019-12-13 16:11:10:851,0.1630686,0.8599716,2.723668,0.1756148,1.153177,2.718554,0.1919809,1.440882,2.693543,0.145162,1.559325,2.637935,0.03221921,1.34237,2.767214,0.01228593,1.119965,2.827207,-0.01731044,0.8669338,2.692603,-0.004302854,0.8474376,2.679124,0.3637337,1.342335,2.65409,0.4495106,1.093732,2.683793,0.4175003,0.8934358,2.724686,0.3893628,0.9076595,2.677444,0.08992892,0.8629797,2.706125,0.02925663,0.5584839,2.62624,0.02906676,0.2774568,2.640048,-0.008727979,0.2036395,2.511198,0.2322704,0.8623108,2.66769,0.2789433,0.5538585,2.615625,0.3232623,0.09097421,2.688755,0.2760655,0.07559192,2.573501,0.1872915,1.369904,2.701056,-0.0386451,0.7592936,2.632845,0.02533164,0.853411,2.634727,0.3376968,0.8338375,2.640248,0.3625823,1.154069,2.648063
2019-12-13 16:11:10:884,0.1650049,0.861228,2.722491,0.1822216,1.155826,2.718287,0.2029732,1.444385,2.699278,0.1561321,1.561658,2.645995,0.03523578,1.34498,2.777892,0.0161799,1.122137,2.835866,-0.01567824,0.8697849,2.699544,-0.001292695,0.8444273,2.684566,0.3716763,1.341311,2.656577,0.4540112,1.093701,2.683941,0.4071119,0.8932022,2.713565,0.3775706,0.8941148,2.663129,0.09184168,0.8646057,2.706519,0.03045229,0.5497717,2.627313,0.02902149,0.2662791,2.647092,-0.0110027,0.1970862,2.518472,0.2343433,0.8634704,2.665391,0.2808364,0.5446554,2.616653,0.3292474,0.124411,2.689654,0.2831989,0.09859431,2.57971,0.1977258,1.373301,2.705556,-0.03475649,0.7588603,2.640839,0.02465972,0.8508894,2.63877,0.3637196,0.8733079,2.650714,0.3805915,1.106579,2.642
2019-12-13 16:11:10:927,0.1681939,0.8605536,2.721772,0.1889642,1.15616,2.719074,0.2115431,1.445782,2.703484,0.1673753,1.564913,2.652909,0.03928054,1.347848,2.784146,0.01926774,1.125285,2.841516,-0.01067067,0.8745708,2.701558,0.001116388,0.8444288,2.687615,0.3808515,1.339631,2.659039,0.4586183,1.09354,2.682873,0.3987782,0.8932443,2.69276,0.4131981,0.9174882,2.712096,0.09453281,0.8646553,2.706884,0.03440564,0.560458,2.631213,0.03658726,0.2530283,2.672686,0.01361719,0.1941935,2.606698,0.2378723,0.8620999,2.664118,0.2823262,0.5540854,2.619846,0.3295486,0.1265216,2.68996,0.2836835,0.09957266,2.580489,0.2060625,1.374394,2.709152,-0.031526,0.7655854,2.639891,0.02884922,0.8516707,2.646167,0.4093179,0.9091815,2.711219,0.3749624,1.09793,2.644667
2019-12-13 16:11:10:968,0.1734473,0.8646383,2.72255,0.1993396,1.161248,2.72453,0.2257623,1.450839,2.715799,0.1900745,1.572751,2.670203,0.04893694,1.35225,2.792528,0.02738686,1.12923,2.849859,0.0057886,0.8792676,2.707515,0.01054591,0.8478693,2.688568,0.3932669,1.339634,2.662359,0.4659691,1.093819,2.682256,0.3937152,0.8968261,2.680071,0.3732798,0.863622,2.640112,0.09947775,0.8702419,2.70975,0.04417202,0.5785875,2.642712,0.04043303,0.2554584,2.72399,-0.0002517067,0.2474705,2.604343,0.243413,0.865172,2.663899,0.2826802,0.57061,2.622917,0.3245928,0.1028961,2.687965,0.2787573,0.07743454,2.576479,0.2193876,1.379512,2.719929,-0.01923144,0.7719539,2.650828,0.0321875,0.8398044,2.6416,0.3808787,0.804342,2.620713,0.362498,1.087754,2.607083
2019-12-13 16:11:11:002,0.1757648,0.8681037,2.723601,0.2029426,1.164043,2.726763,0.2298798,1.452605,2.71868,0.1967078,1.575606,2.675611,0.05300486,1.356145,2.795761,0.02987977,1.128266,2.851067,0.007159989,0.8787927,2.707831,0.01099064,0.8443971,2.691458,0.3989615,1.338661,2.664385,0.4714841,1.094027,2.683626,0.392796,0.8992897,2.679348,0.3768988,0.8636496,2.639795,0.101852,0.8740503,2.711594,0.0447315,0.5795633,2.644752,0.03983859,0.2658248,2.727489,-0.005643085,0.2607896,2.605025,0.2455185,0.8682594,2.664512,0.2831554,0.5760243,2.623291,0.3246067,0.1030152,2.686694,0.2789939,0.07760811,2.575959,0.2234003,1.381526,2.722752,-0.01854938,0.7707957,2.651529,0.03945342,0.8502787,2.6451,0.3782518,0.8143845,2.62698,0.3680563,1.091659,2.609735
2019-12-13 16:11:11:044,0.1771678,0.8702232,2.723911,0.2049573,1.165981,2.728602,0.2323574,1.45434,2.722323,0.2080967,1.581858,2.683353,0.05530834,1.357353,2.797744,0.03165528,1.127727,2.853427,0.01095895,0.8789471,2.708337,0.01691886,0.856709,2.699854,0.4036874,1.337775,2.666917,0.474638,1.093372,2.685422,0.3920907,0.8999867,2.676629,0.3746934,0.8641551,2.636326,0.102938,0.8765141,2.712086,0.0450235,0.5811217,2.648769,0.04515236,0.29613,2.765609,-0.0004719865,0.2455369,2.640894,0.2471148,0.8699996,2.664764,0.2842221,0.575183,2.623579,0.3286579,0.1120628,2.682206,0.2828855,0.08787739,2.57572,0.2257626,1.383313,2.725955,-0.02463505,0.7724491,2.659636,0.03400884,0.85093,2.653533,0.37291,0.8157053,2.61474,0.3645355,1.083893,2.604714
2019-12-13 16:11:11:084,0.1784488,0.872389,2.724354,0.2077871,1.1685,2.730878,0.2368875,1.45709,2.726838,0.213988,1.585575,2.688475,0.05712845,1.358357,2.799575,0.03216399,1.127809,2.853828,0.01292282,0.8796607,2.707246,0.01713673,0.7993486,2.666748,0.4085301,1.3366,2.669288,0.4781977,1.09315,2.686759,0.3906353,0.901898,2.671529,0.3761847,0.8702591,2.636385,0.1038187,0.8789176,2.712887,0.04462274,0.5852959,2.653641,0.03223255,0.2772849,2.752392,-0.002568945,0.2238802,2.672347,0.2487278,0.8719182,2.664939,0.2861488,0.574527,2.623483,0.3298581,0.1051285,2.683545,0.2832467,0.08449674,2.576436,0.2298432,1.386006,2.729915,0.007204688,0.7351928,2.632239,0.05463084,0.8188634,2.63381,0.3727868,0.8229501,2.613752,0.362583,1.0939,2.597
