2019-12-13 16:11:08:992, no_human
2019-12-13 16:11:09:002, no_human
2019-12-13 16:11:09:260, no_human
2019-12-13 16:11:09:328, no_human
2019-12-13 16:11:09:344, no_human
2019-12-13 16:11:09:361, no_human
2019-12-13 16:11:09:378, no_human
2019-12-13 16:11:09:394, no_human
2019-12-13 16:11:09:411, no_human
2019-12-13 16:11:09:428, no_human
2019-12-13 16:11:09:472, no_human
2019-12-13 16:11:09:489, no_human
2019-12-13 16:11:09:503, no_human
2019-12-13 16:11:09:511, no_human
2019-12-13 16:11:09:536, no_human
2019-12-13 16:11:09:543, no_human
2019-12-13 16:11:09:560, no_human
2019-12-13 16:11:09:576, no_human
2019-12-13 16:11:09:622, no_human
2019-12-13 16:11:09:663, no_human
2019-12-13 16:11:09:688, no_human
2019-12-13 16:11:09:722, no_human
2019-12-13 16:11:09:752, no_human
2019-12-13 16:11:09:778, no_human
2019-12-13 16:11:09:788, no_human
2019-12-13 16:11:09:828, no_human
2019-12-13 16:11:09:861, no_human
2019-12-13 16:11:09:892, no_human
2019-12-13 16:11:09:924, no_human
2019-12-13 16:11:09:952, no_human
2019-12-13 16:11:09:976, no_human
2019-12-13 16:11:10:033, no_human
2019-12-13 16:11:10:065, no_human
2019-12-13 16:11:10:097, no_human
2019-12-13 16:11:10:125, no_human
2019-12-13 16:11:10:156, no_human
2019-12-13 16:11:10:185, no_human
2019-12-13 16:11:10:194, no_human
2019-12-13 16:11:10:230, no_human
2019-12-13 16:11:10:260, no_human
2019-12-13 16:11:10:288, no_human
2019-12-13 16:11:10:318, no_human
2019-12-13 16:11:10:342, no_human
2019-12-13 16:11:10:348, no_human
2019-12-13 16:11:10:389, no_human
2019-12-13 16:11:10:415, no_human
2019-12-13 16:11:10:424, no_human
2019-12-13 16:11:10:468, no_human
2019-12-13 16:11:10:507, no_human
2019-12-13 16:11:10:519, no_human
2019-12-13 16:11:10:551, no_human
2019-12-13 16:11:10:589, no_human
2019-12-13 16:11:10:614, no_human
2019-12-13 16:11:10:619, no_human
2019-12-13 16:11:10:655, no_human
2019-12-13 16:11:10:680, no_human
2019-12-13 16:11:10:684, no_human
2019-12-13 16:11:10:748,-0.4050767,1.953194,-0.8992332,-0.4110889,1.65101,-0.8773544,-0.4161726,1.356178,-0.8427139,-0.3605612,1.240947,-0.7923298,-0.2744124,1.475574,-0.8745261,-0.2564138,1.676601,-0.9235793,-0.2453704,1.946167,-0.8470696,-0.2261871,1.991184,-0.7945436,-0.584937,1.450603,-0.8096126,-0.6793651,1.702234,-0.8450158,-0.5777771,1.874916,-0.7860044,-0.5555915,1.945371,-0.7591544,-0.3322921,1.955543,-0.87335,-0.1472244,2.212853,-0.7438772,-0.1807082,2.561182,-0.7595723,-0.273301,2.552911,-0.7456141,-0.473823,1.944234,-0.8535913,-0.5047656,2.251163,-0.7026075,-0.5576537,2.574836,-0.7253023,-0.5357324,2.587793,-0.5916038,-0.415062,1.428856,-0.8536757,-0.2367876,2.035912,-0.7557073,-0.2692328,1.986234,-0.762889,-0.5517799,2.021473,-0.7282599,-0.5274988,2.025582,-0.3929501,
2019-12-13 16:11:10:784,-0.4031487,1.937114,-0.917558,-0.4146136,1.646623,-0.88638,-0.4268017,1.358039,-0.8448268,-0.3728569,1.241792,-0.7904537,-0.2739792,1.471663,-0.8992522,-0.256629,1.688086,-0.9762896,-0.2148554,1.943812,-0.8602815,-0.221973,2.01434,-0.806655,-0.5964995,1.455547,-0.8099368,-0.6846271,1.703307,-0.8450697,-0.589209,1.88313,-0.7937959,-0.5588651,1.922825,-0.7592188,-0.3312632,1.936661,-0.9033409,-0.2727259,2.229581,-0.7813125,-0.2832674,2.585482,-0.8158246,-0.2577714,2.594439,-0.7312413,-0.4710202,1.932104,-0.8600593,-0.5186316,2.232681,-0.765543,-0.603743,2.572556,-0.8567355,-0.5435096,2.615283,-0.7537084,-0.4232899,1.429381,-0.8562496,-0.2044602,2.102026,-0.7740615,-0.2533267,1.999862,-0.7690001,-0.5326496,2.00399,-0.7179106,-0.527913,1.989774,-0.3948461,
2019-12-13 16:11:10:819,-0.4107391,1.938907,-0.8872617,-0.4209772,1.646707,-0.8805335,-0.4351106,1.359456,-0.8483146,-0.3879313,1.241885,-0.7949496,-0.2804667,1.465192,-0.9077461,-0.2582567,1.685093,-0.9788945,-0.2599695,1.934089,-0.8352798,-0.2621855,1.944599,-0.8231297,-0.6061004,1.455678,-0.8126906,-0.6964216,1.706079,-0.8436628,-0.5899827,1.882384,-0.7938531,-0.5531777,1.925999,-0.7584053,-0.3388008,1.936837,-0.8665927,-0.2938602,2.334297,-0.7750826,-0.2751646,2.592297,-0.8236569,-0.2634101,2.548067,-0.731371,-0.4781477,1.934605,-0.8376215,-0.5374479,2.222923,-0.7621503,-0.5799825,2.624682,-0.7974525,-0.5452496,2.647432,-0.7026961,-0.4307448,1.430304,-0.8577064,-0.2534378,2.017509,-0.7810655,-0.3047266,1.907462,-0.7800003,-0.5017757,1.999685,-0.7211702,-0.5259237,1.979446,-0.3982318,
2019-12-13 16:11:10:851,-0.4130686,1.940028,-0.883668,-0.4256148,1.646823,-0.8785542,-0.4419809,1.359118,-0.8535431,-0.395162,1.240675,-0.7979351,-0.2822192,1.45763,-0.9272142,-0.2622859,1.680035,-0.987207,-0.2326896,1.933066,-0.8526025,-0.2456971,1.952563,-0.8391235,-0.6137336,1.457666,-0.8140903,-0.6995106,1.706268,-0.8437927,-0.6675003,1.906564,-0.8846858,-0.6393628,1.892341,-0.8374434,-0.3399289,1.93702,-0.8661249,-0.2792566,2.241516,-0.7862399,-0.2790668,2.522543,-0.8000482,-0.241272,2.596361,-0.6711982,-0.4822704,1.937689,-0.8276899,-0.5289433,2.246142,-0.7756246,-0.5732623,2.709026,-0.8487545,-0.5260655,2.724408,-0.7335005,-0.4372915,1.430096,-0.8610564,-0.2113549,2.040706,-0.7928453,-0.2753316,1.946589,-0.7947274,-0.5876968,1.966163,-0.800248,-0.6125823,1.945931,-0.478063,
2019-12-13 16:11:10:884,-0.4150049,1.938772,-0.8824909,-0.4322217,1.644174,-0.8782874,-0.4529732,1.355615,-0.8592778,-0.4061321,1.238342,-0.8059946,-0.2852358,1.45502,-0.9378923,-0.2661799,1.677863,-0.9958659,-0.2343218,1.930215,-0.8595441,-0.2487073,1.955573,-0.8445657,-0.6216763,1.458689,-0.8165768,-0.7040112,1.706299,-0.8439406,-0.6571119,1.906798,-0.8735648,-0.6275706,1.905885,-0.8231285,-0.3418417,1.935394,-0.8665186,-0.2804523,2.250228,-0.7873128,-0.2790215,2.533721,-0.8070915,-0.2389973,2.602914,-0.6784721,-0.4843433,1.93653,-0.8253914,-0.5308363,2.255345,-0.7766531,-0.5792474,2.675589,-0.8496535,-0.5331989,2.701406,-0.7397099,-0.4477258,1.426699,-0.8655561,-0.2152435,2.04114,-0.8008392,-0.2746597,1.949111,-0.7987702,-0.6137196,1.926692,-0.8107138,-0.6305915,1.993421,-0.472,
2019-12-13 16:11:10:927,-0.4181939,1.939446,-0.8817723,-0.4389642,1.64384,-0.8790739,-0.4615431,1.354218,-0.8634842,-0.4173753,1.235087,-0.8129085,-0.2892805,1.452152,-0.9441462,-0.2692677,1.674715,-1.001516,-0.2393293,1.925429,-0.8615583,-0.2511164,1.955571,-0.8476146,-0.6308515,1.460369,-0.8190392,-0.7086183,1.70646,-0.8428724,-0.6487782,1.906756,-0.8527601,-0.6631981,1.882512,-0.8720956,-0.3445328,1.935345,-0.8668836,-0.2844056,2.239542,-0.7912129,-0.2865873,2.546972,-0.8326858,-0.2636172,2.605807,-0.7666977,-0.4878723,1.9379,-0.8241182,-0.5323262,2.245915,-0.7798458,-0.5795486,2.673478,-0.8499604,-0.5336835,2.700428,-0.7404893,-0.4560625,1.425606,-0.8691519,-0.218474,2.034415,-0.7998913,-0.2788492,1.948329,-0.8061665,-0.6593179,1.890819,-0.8712192,-0.6249624,2.00207,-0.4746667,
2019-12-13 16:11:10:968,-0.4234473,1.935362,-0.8825496,-0.4493396,1.638752,-0.8845299,-0.4757623,1.349161,-0.8757988,-0.4400745,1.227249,-0.8302034,-0.2989369,1.44775,-0.9525283,-0.2773868,1.67077,-1.009859,-0.2557886,1.920732,-0.8675151,-0.2605459,1.952131,-0.8485675,-0.6432669,1.460366,-0.8223589,-0.7159691,1.706181,-0.8422557,-0.6437153,1.903174,-0.840071,-0.6232798,1.936378,-0.8001121,-0.3494777,1.929758,-0.8697501,-0.294172,2.221413,-0.8027118,-0.290433,2.544542,-0.8839896,-0.2497483,2.55253,-0.7643428,-0.493413,1.934828,-0.8238993,-0.5326803,2.22939,-0.7829168,-0.5745928,2.697104,-0.8479646,-0.5287573,2.722566,-0.7364789,-0.4693876,1.420488,-0.8799294,-0.2307686,2.028046,-0.8108283,-0.2821875,1.960196,-0.8016,-0.6308787,1.995658,-0.7807131,-0.612498,2.012246,-0.4370833,
2019-12-13 16:11:11:002,-0.4257647,1.931896,-0.883601,-0.4529426,1.635957,-0.8867624,-0.4798799,1.347395,-0.8786801,-0.4467078,1.224394,-0.8356114,-0.3030049,1.443855,-0.9557608,-0.2798798,1.671734,-1.011066,-0.25716,1.921207,-0.8678306,-0.2609906,1.955603,-0.8514577,-0.6489614,1.461339,-0.8243852,-0.7214841,1.705973,-0.8436256,-0.642796,1.90071,-0.8393481,-0.6268988,1.93635,-0.7997945,-0.351852,1.92595,-0.871594,-0.2947315,2.220437,-0.8047515,-0.2898386,2.534175,-0.8874884,-0.2443569,2.53921,-0.7650252,-0.4955185,1.931741,-0.8245118,-0.5331554,2.223976,-0.7832912,-0.5746067,2.696985,-0.8466938,-0.528994,2.722392,-0.7359586,-0.4734003,1.418474,-0.882752,-0.2314506,2.029204,-0.8115287,-0.2894534,1.949721,-0.8051,-0.6282518,1.985615,-0.7869802,-0.6180563,2.008341,-0.439735,
2019-12-13 16:11:11:044,-0.4271678,1.929777,-0.8839112,-0.4549573,1.634019,-0.8886018,-0.4823574,1.34566,-0.8823226,-0.4580967,1.218142,-0.8433526,-0.3053083,1.442647,-0.9577442,-0.2816553,1.672273,-1.013427,-0.2609589,1.921053,-0.868337,-0.2669189,1.943291,-0.8598536,-0.6536874,1.462225,-0.826917,-0.724638,1.706628,-0.8454219,-0.6420907,1.900013,-0.8366287,-0.6246934,1.935845,-0.7963257,-0.3529381,1.923486,-0.8720863,-0.2950235,2.218878,-0.8087693,-0.2951524,2.50387,-0.9256085,-0.249528,2.554463,-0.8008941,-0.4971148,1.930001,-0.8247643,-0.5342221,2.224817,-0.7835792,-0.5786579,2.687937,-0.8422061,-0.5328856,2.712123,-0.7357195,-0.4757625,1.416687,-0.8859552,-0.225365,2.027551,-0.8196359,-0.2840088,1.94907,-0.8135334,-0.62291,1.984295,-0.77474,-0.6145355,2.016107,-0.4347144,
2019-12-13 16:11:11:084,-0.4284488,1.927611,-0.8843539,-0.4577872,1.6315,-0.8908778,-0.4868875,1.34291,-0.8868378,-0.463988,1.214425,-0.8484748,-0.3071285,1.441643,-0.9595752,-0.282164,1.672191,-1.013828,-0.2629228,1.920339,-0.8672457,-0.2671367,2.000651,-0.8267477,-0.6585301,1.4634,-0.8292881,-0.7281977,1.70685,-0.8467594,-0.6406353,1.898102,-0.8315285,-0.6261847,1.929741,-0.7963849,-0.3538187,1.921082,-0.8728872,-0.2946227,2.214704,-0.8136409,-0.2822326,2.522715,-0.9123922,-0.2474311,2.57612,-0.832347,-0.4987278,1.928082,-0.8249393,-0.5361488,2.225473,-0.7834831,-0.5798581,2.694871,-0.8435453,-0.5332467,2.715503,-0.7364355,-0.4798432,1.413994,-0.8899153,-0.2572047,2.064807,-0.792239,-0.3046308,1.981137,-0.7938095,-0.6227868,1.97705,-0.7737523,-0.612583,2.0061,-0.4270001,
